Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210506,9.85000000,9.85000000,9.80000000,9.80000000,175,1715,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210507,9.81000000,9.97000000,9.80000000,9.81000000,76,746,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.81000000,9.81000000
20210510,9.99000000,9.99000000,9.79000000,9.79000000,160,1566,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210511,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210512,9.76000000,9.76000000,9.75000000,9.75000000,47,458,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210513,9.74000000,9.75000000,9.71000000,9.75000000,78,761,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210514,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210517,9.75000000,9.75000000,9.75000000,9.75000000,3,29,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210518,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210519,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210520,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210521,9.80400000,9.80400000,9.70000000,9.73000000,48,467,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210524,9.73000000,9.73000000,9.73000000,9.73000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210525,9.73000000,9.73000000,9.73000000,9.73000000,15,146,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210526,9.91300000,9.91300000,9.71000000,9.78000000,11,108,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210527,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210528,9.78000000,9.78000000,9.70000000,9.70000000,99,960,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
20210531,9.78000000,9.78000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210601,9.71000000,9.79000000,9.71000000,9.73000000,2578,25084,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210602,9.77000000,9.77000000,9.71000000,9.74000000,32,312,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210603,9.71000000,9.74000000,9.71000000,9.74000000,6,58,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210604,9.74000000,9.74000000,9.74000000,9.74000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210607,9.92200000,9.92200000,9.74500000,9.74500000,2,19,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74500000,9.74500000
20210608,9.74500000,9.74500000,9.74500000,9.74500000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74500000,9.74500000
20210609,9.75000000,9.77000000,9.74000000,9.76000000,1612,15733,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210610,9.76000000,9.76000000,9.76000000,9.76000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210611,9.77000000,9.79000000,9.77000000,9.79000000,176,1723,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210614,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210615,9.95000000,9.95000000,9.67000000,9.75000000,540,5265,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210616,9.78000000,9.78000000,9.72500000,9.75000000,549,5353,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.75000000,9.75000000
20210617,9.76000000,9.76000000,9.67000000,9.76000000,332,3240,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.76000000,9.76000000
20210618,9.73000000,9.73000000,9.73000000,9.73000000,1,10,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.73000000,9.73000000
20210621,9.95000000,9.99600000,9.75000000,9.80000000,112,1098,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80000000,9.80000000
20210622,9.79000000,9.79000000,9.78000000,9.78000000,26,254,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210623,9.80500000,9.80500000,9.80500000,9.80500000,24,235,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.80500000,9.80500000
20210624,9.78000000,9.79000000,9.78000000,9.79000000,20,196,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210625,9.80000000,9.80000000,9.78000000,9.78000000,21,205,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78000000,9.78000000
20210628,9.77000000,9.77000000,9.74000000,9.74000000,9,88,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.74000000,9.74000000
20210629,9.78000000,9.79000000,9.72000000,9.79000000,79,773,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210630,9.78000000,9.79500000,9.75000000,9.78500000,168,1644,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.78500000,9.78500000
20210701,9.72000000,9.83000000,9.72000000,9.83000000,413,4060,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.83000000,9.83000000
20210702,9.79000000,9.79000000,9.79000000,9.79000000,2,20,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.79000000,9.79000000
20210705,9.79000000,9.79000000,9.79000000,9.79000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20210706,9.78000000,9.78000000,9.70000000,9.72000000,3499,34010,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.72000000,9.72000000
20210707,9.67000000,9.70000000,9.67000000,9.70000000,7,68,N/A,N/A,0,-5,"NYSE","","","Common Stock",9.70000000,9.70000000
