Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20080102,4.28000000,4.34000000,4.28000000,4.34000000,10,43,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.34000000,4.34000000
20080103,4.34000000,4.40000000,4.30000000,4.33000000,569,2464,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.33000000,4.33000000
20080104,4.25000000,4.27000000,4.25000000,4.26000000,23,98,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.26000000,4.26000000
20080107,4.15000000,4.20000000,4.00000000,4.05000000,85,344,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.05000000,4.05000000
20080108,4.15000000,4.18000000,3.96000000,4.04000000,169,683,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.04000000,4.04000000
20080109,3.95000000,4.99000000,3.85000000,4.10000000,709,2907,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.10000000,4.10000000
20080110,4.10000000,4.19000000,4.05000000,4.05000000,687,2782,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.05000000,4.05000000
20080111,4.14000000,4.14000000,4.01000000,4.03000000,183,737,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.03000000,4.03000000
20080114,4.01000000,4.16000000,4.01000000,4.16000000,620,2579,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.16000000,4.16000000
20080115,4.18000000,4.18000000,4.00000000,4.00000000,317,1268,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",4.00000000,4.00000000
20080116,3.99000000,4.00000000,3.85000000,3.97000000,247,981,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.97000000,3.97000000
20080117,4.06000000,4.06000000,3.90000000,3.96000000,100,396,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.96000000,3.96000000
20080118,3.87000000,3.95000000,3.75000000,3.87000000,363,1405,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.87000000,3.87000000
20080121,3.87000000,3.95000000,3.75000000,3.87000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.87000000,3.87000000
20080122,3.40000000,3.62000000,3.33000000,3.50000000,299,1047,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.50000000,3.50000000
20080123,3.44000000,3.45000000,3.20000000,3.35000000,243,814,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.35000000,3.35000000
20080124,3.39000000,3.78000000,3.39000000,3.75000000,563,2111,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.75000000,3.75000000
20080125,3.84000000,3.84000000,3.70000000,3.70000000,204,755,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.70000000,3.70000000
20080128,3.70000000,3.70000000,3.65000000,3.65000000,79,288,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.65000000,3.65000000
20080129,3.70000000,3.74000000,3.70000000,3.74000000,7,26,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.74000000,3.74000000
20080130,3.70000000,3.71000000,3.55000000,3.70000000,200,740,N/A,N/A,0,-5,"NYSE MKTS LLC","Basic Materials","Basic Materials/Gold","Common Stock",3.70000000,3.70000000
