Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19920715,2.31957775,2.33890756,2.31957775,2.31957775,7908,18343,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31957775,2.31957775
19920716,2.31957775,2.31957775,2.31957775,2.31957775,1090,2528,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31957775,2.31957775
19920717,2.31957775,2.31957775,2.31957775,2.31957775,977,2266,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31957775,2.31957775
19920720,2.31957775,2.33890756,2.31957775,2.31957775,1173,2721,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31957775,2.31957775
19920721,2.31957775,2.33890756,2.31957775,2.31957775,432,1002,N/A,N/A,0,0,"NYSE","","","Common Stock",2.31957775,2.31957775
19920722,2.31957775,2.31957775,2.28091812,2.28091812,878,2003,N/A,N/A,0,0,"NYSE","","","Common Stock",2.28091812,2.28091812
19920723,2.22292868,2.22292868,2.10694979,2.12627960,2673,5684,N/A,N/A,0,0,"NYSE","","","Common Stock",2.12627960,2.12627960
19920724,2.04896034,2.06829016,1.99097090,2.06829016,2664,5510,N/A,N/A,0,0,"NYSE","","","Common Stock",2.06829016,2.06829016
19920727,2.04896034,2.06829016,2.01030072,2.02963053,560,1137,N/A,N/A,0,0,"NYSE","","","Common Stock",2.02963053,2.02963053
19920728,2.04896034,2.10694979,2.02963053,2.08761997,791,1651,N/A,N/A,0,0,"NYSE","","","Common Stock",2.08761997,2.08761997
19920729,2.08761997,2.10694979,2.04896034,2.10694979,484,1020,N/A,N/A,0,0,"NYSE","","","Common Stock",2.10694979,2.10694979
19920730,2.08761997,2.08761997,2.01030072,2.06829016,1705,3526,N/A,N/A,0,0,"NYSE","","","Common Stock",2.06829016,2.06829016
19920731,2.06829016,2.08761997,2.02963053,2.04896034,374,766,N/A,N/A,0,0,"NYSE","","","Common Stock",2.04896034,2.04896034
19920803,2.06829016,2.08761997,2.04896034,2.06829016,230,476,N/A,N/A,0,0,"NYSE","","","Common Stock",2.06829016,2.06829016
19920804,2.08761997,2.18426905,2.08761997,2.18426905,1090,2381,N/A,N/A,0,0,"NYSE","","","Common Stock",2.18426905,2.18426905
19920805,2.20359886,2.20359886,2.14560942,2.16493923,493,1067,N/A,N/A,0,0,"NYSE","","","Common Stock",2.16493923,2.16493923
19920806,2.16493923,2.20359886,2.14560942,2.18426905,354,773,N/A,N/A,0,0,"NYSE","","","Common Stock",2.18426905,2.18426905
19920807,2.14560942,2.18426905,2.12627960,2.12627960,2164,4601,N/A,N/A,0,0,"NYSE","","","Common Stock",2.12627960,2.12627960
19920810,2.18426905,2.22292868,2.16493923,2.22292868,295,656,N/A,N/A,0,0,"NYSE","","","Common Stock",2.22292868,2.22292868
19920811,2.20359886,2.24225849,2.18426905,2.22292868,534,1187,N/A,N/A,0,0,"NYSE","","","Common Stock",2.22292868,2.22292868
19920812,2.22292868,2.22292868,2.16493923,2.20359886,476,1049,N/A,N/A,0,0,"NYSE","","","Common Stock",2.20359886,2.20359886
19920813,2.18426905,2.20359886,2.16493923,2.16493923,253,548,N/A,N/A,0,0,"NYSE","","","Common Stock",2.16493923,2.16493923
