Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20140204,6.21088124,6.79681343,6.06439819,6.15228802,15393,94702,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",6.15228802,6.15228802
20140205,6.29877107,7.20110665,6.24017785,7.20110665,7480,53864,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.20110665,7.20110665
20140206,7.05462360,8.27922188,7.00188970,8.13859816,2964,24123,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.13859816,8.13859816
20140207,8.20305070,8.34367442,7.91008460,8.20305070,2678,21968,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.20305070,8.20305070
20140210,8.19719138,8.32609646,8.11516087,8.30265917,855,7099,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.30265917,8.30265917
20140211,8.34367442,8.34953375,7.99211511,8.08586426,591,4779,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.08586426,8.08586426
20140212,8.05656765,8.11516087,7.91008460,7.99797443,869,6950,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.99797443,7.99797443
20140213,7.85149138,8.02141172,7.35344902,7.42376088,4349,32286,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.42376088,7.42376088
20140214,7.32415241,7.88664731,7.32415241,7.49993207,13419,100642,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.49993207,7.49993207
20140217,7.32415241,7.88664731,7.32415241,7.49993207,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",12.80000000,7.49993207
20140218,7.35344902,7.64641511,7.07806089,7.21868461,15649,112965,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.21868461,7.21868461
20140219,7.23626258,7.30657444,7.03704563,7.10735750,12086,85900,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.10735750,7.10735750
20140220,7.06634224,7.20696597,6.89056259,7.14837275,7974,57001,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.14837275,7.14837275
20140221,7.09563885,7.21282529,7.03118631,7.06048292,11417,80610,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.06048292,7.06048292
20140224,7.03118631,7.09563885,6.93157784,6.99017106,11067,77360,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",6.99017106,6.99017106
20140225,6.91399987,7.41204224,6.91399987,7.37688631,7807,57591,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.37688631,7.37688631
20140226,7.37688631,8.15031680,7.17766936,7.67571172,10622,81531,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.67571172,7.67571172
20140227,7.69914901,7.86321003,7.68157105,7.79289816,5210,40601,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.79289816,7.79289816
20140228,7.78703884,8.61320323,7.71672698,8.43742357,10900,91968,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.43742357,8.43742357
20140303,8.40812696,8.63664052,8.22062866,8.61906255,5950,51283,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.61906255,8.61906255
20140304,8.66007781,8.93546594,8.56046933,8.75968628,4103,35941,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.75968628,8.75968628
20140305,8.75382696,9.16983882,8.49601679,8.63664052,5348,46189,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.63664052,8.63664052
20140306,8.60734391,8.70109306,8.49601679,8.52531340,2015,17179,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.52531340,8.52531340
20140307,8.64835916,8.66593713,8.49601679,8.53703205,2810,23989,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.53703205,8.53703205
20140310,8.54289137,8.87687272,8.54289137,8.77726425,2446,21469,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.77726425,8.77726425
20140311,8.74796764,8.84757611,8.10344222,8.22062866,8041,66102,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.22062866,8.22062866
20140312,8.13859816,8.35539307,7.91008460,8.23234731,3476,28616,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.23234731,8.23234731
20140313,8.30851849,8.46672018,8.00969307,8.30851849,2601,21610,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.30851849,8.30851849
20140314,8.18547273,8.34953375,7.97453714,8.02141172,3076,24674,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.02141172,8.02141172
20140317,8.00383375,8.36125239,7.93938121,8.32023714,3035,25252,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.32023714,8.32023714
20140318,8.34367442,8.78898289,8.26164392,8.67179645,4848,42041,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.67179645,8.67179645
20140319,8.92374729,8.93546594,8.58976594,8.69523374,3702,32190,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.69523374,8.69523374
20140320,8.70109306,8.88273204,8.61906255,8.75968628,4558,39927,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.75968628,8.75968628
20140321,8.78898289,8.89445068,8.71867103,8.83585747,5661,50020,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.83585747,8.83585747
20140324,8.83585747,8.87101340,8.34367442,8.79484221,4199,36930,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.79484221,8.79484221
20140325,8.84757611,8.84757611,8.60148459,8.75382696,5285,46264,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.75382696,8.75382696
20140326,8.73038967,8.77140492,8.66593713,8.70695238,5991,52163,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.70695238,8.70695238
20140327,8.72453035,8.81242018,8.62492188,8.73038967,4568,39880,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.73038967,8.73038967
20140328,8.76554560,8.80656086,8.67765577,8.78312357,5410,47517,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.78312357,8.78312357
20140331,8.79484221,8.87101340,8.66593713,8.80070153,2815,24774,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.80070153,8.80070153
20140401,8.78898289,9.19913542,8.70109306,9.19913542,3437,31617,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",9.19913542,9.19913542
20140402,9.18741678,9.25186932,9.04093373,9.16983882,3238,29692,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",9.16983882,9.16983882
20140403,9.21085407,9.21085407,8.94132526,9.11710492,2516,22939,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",9.11710492,9.11710492
20140404,9.10538627,9.11124560,8.84757611,8.95890323,1291,11566,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.95890323,8.95890323
20140407,8.90616933,8.93546594,8.78898289,8.84757611,7001,61942,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.84757611,8.84757611
20140408,8.83585747,8.91788797,8.72453035,8.91202865,3137,27957,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.91202865,8.91202865
20140409,8.84757611,9.21085407,8.78898289,8.95304390,2111,18900,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.95304390,8.95304390
20140410,8.97062187,9.16983882,8.85929475,8.95304390,1977,17700,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.95304390,8.95304390
20140411,8.86515407,8.96476255,8.70109306,8.74796764,1717,15020,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.74796764,8.74796764
20140414,8.75968628,8.87101340,8.52531340,8.64835916,2585,22356,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.64835916,8.64835916
20140415,8.68937442,8.74796764,8.50187612,8.74796764,2170,18983,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.74796764,8.74796764
20140416,8.77726425,8.81242018,8.66007781,8.78898289,1951,17147,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.78898289,8.78898289
20140417,8.74796764,8.78898289,8.60734391,8.68351510,1848,16047,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.68351510,8.68351510
20140418,8.74796764,8.78898289,8.60734391,8.68351510,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",14.82000000,8.68351510
20140421,8.61320323,8.77140492,8.61320323,8.73038967,3794,33123,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.73038967,8.73038967
20140422,8.71281170,8.78312357,8.64835916,8.73038967,1575,13750,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.73038967,8.73038967
20140423,8.68351510,8.70109306,8.60734391,8.60734391,910,7833,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.60734391,8.60734391
20140424,8.64835916,8.67765577,8.58390662,8.63078120,1194,10305,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.63078120,8.63078120
20140425,8.62492188,8.65421849,8.41398629,8.44914222,2206,18639,N/A,N/A,0,-5,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.44914222,8.44914222
20140428,8.44914222,8.66593713,8.35539307,8.39640832,2264,19009,N/A,N/A,430127,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.39640832,8.39640832
20140429,8.39054900,8.39054900,8.08000494,8.19133205,5200,42595,N/A,N/A,419622,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.19133205,8.19133205
20140430,8.17375409,8.41984561,8.12102019,8.36125239,3408,28495,N/A,N/A,428326,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.36125239,8.36125239
20140501,8.23234731,8.23820663,7.67571172,8.15617612,11026,89930,N/A,N/A,417821,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.15617612,8.15617612
20140502,8.15617612,8.29679985,8.09758290,8.18547273,2198,17992,N/A,N/A,419322,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.18547273,8.18547273
20140505,8.12102019,8.33781510,8.10930155,8.22648798,1435,11805,N/A,N/A,421423,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.22648798,8.22648798
20140506,8.19719138,8.26164392,8.15617612,8.17961341,868,7100,N/A,N/A,419022,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.17961341,8.17961341
20140507,8.19133205,8.24992527,7.95109985,7.99797443,2129,17028,N/A,N/A,409717,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.99797443,7.99797443
20140508,7.98625579,8.08586426,7.88078799,7.98039646,1585,12649,N/A,N/A,408816,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.98039646,7.98039646
20140509,7.88078799,7.96281850,7.82219477,7.91008460,1806,14286,N/A,N/A,405214,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.91008460,7.91008460
20140512,7.89836596,8.19133205,7.86906935,8.06828629,1436,11586,N/A,N/A,413319,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.06828629,8.06828629
20140513,8.02727104,8.29679985,8.01555240,8.17375409,1534,12539,N/A,N/A,418721,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.17375409,8.17375409
20140514,8.13273883,8.19719138,8.09758290,8.14445748,814,6630,N/A,N/A,417221,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.14445748,8.14445748
20140515,8.14445748,8.18547273,7.98039646,8.03898968,1358,10917,N/A,N/A,411818,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",8.03898968,8.03898968
20140516,8.00969307,8.05656765,7.96281850,7.99211511,1382,11045,N/A,N/A,409416,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.99211511,7.99211511
20140519,7.99211511,8.01555240,7.76360155,7.91594392,2718,21516,N/A,N/A,405514,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.91594392,7.91594392
20140520,7.87492867,7.99211511,7.80461681,7.91008460,1267,10022,N/A,N/A,405214,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.91008460,7.91008460
20140521,7.89250664,8.02727104,7.89250664,7.96281850,1688,13441,N/A,N/A,407916,30016,"NYSE","Consumer Cyclical","Consumer Cyclical/Publishing","Common Stock",7.96281850,7.96281850
