Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19931022,1.38529986,1.38529986,1.38529986,1.38529986,2520,3491,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931025,1.38529986,1.38529986,1.38529986,1.38529986,223,309,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931026,1.38529986,1.38529986,1.38529986,1.38529986,457,633,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931027,1.38529986,1.38529986,1.38529986,1.38529986,142,197,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931028,1.38529986,1.38529986,1.38529986,1.38529986,146,202,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931029,1.38529986,1.38529986,1.38529986,1.38529986,224,310,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931101,1.38529986,1.38529986,1.38529986,1.38529986,74,103,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931102,1.38529986,1.38529986,1.38529986,1.38529986,113,157,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931103,1.38529986,1.38529986,1.38529986,1.38529986,56,78,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931104,1.38529986,1.38529986,1.38529986,1.38529986,145,201,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931105,1.38529986,1.39684403,1.38529986,1.39684403,105,147,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39684403,1.39684403
19931108,1.38529986,1.39684403,1.38529986,1.38529986,111,154,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931109,1.39684403,1.39684403,1.38529986,1.38529986,74,103,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931110,1.38529986,1.39684403,1.38529986,1.38529986,149,206,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931111,1.39684403,1.39684403,1.38529986,1.38529986,124,172,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931112,1.38529986,1.39684403,1.38529986,1.38529986,140,194,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931115,1.38529986,1.38529986,1.38529986,1.38529986,216,299,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931116,1.38529986,1.39684403,1.38529986,1.38529986,161,223,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931117,1.39684403,1.39684403,1.38529986,1.39684403,140,196,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39684403,1.39684403
19931118,1.39684403,1.39684403,1.38529986,1.38529986,138,191,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931119,1.38529986,1.38529986,1.38529986,1.38529986,172,238,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931122,1.38529986,1.38529986,1.38529986,1.38529986,1381,1913,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931123,1.38529986,1.38529986,1.38529986,1.38529986,905,1254,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931124,1.38529986,1.39684403,1.38529986,1.38529986,593,821,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931125,1.38529986,1.39684403,1.38529986,1.38529986,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",15.00000000,1.38529986
19931126,1.38529986,1.38529986,1.38529986,1.38529986,30,42,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931129,1.38529986,1.39684403,1.38529986,1.38529986,318,441,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931130,1.38529986,1.39684403,1.38529986,1.38529986,391,542,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931201,1.38529986,1.38529986,1.38529986,1.38529986,317,439,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931202,1.38529986,1.39684403,1.38529986,1.38529986,381,528,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931203,1.38529986,1.39684403,1.38529986,1.39684403,374,522,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39684403,1.39684403
19931206,1.38529986,1.39684403,1.38529986,1.38529986,106,147,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931207,1.38529986,1.39684403,1.38529986,1.38529986,209,290,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931208,1.39684403,1.39684403,1.38529986,1.38529986,338,468,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931209,1.39684403,1.39684403,1.38529986,1.38529986,239,331,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931210,1.38529986,1.39684403,1.38529986,1.39684403,248,346,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39684403,1.39684403
19931213,1.38529986,1.39684403,1.38529986,1.38529986,228,316,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931214,1.38529986,1.39684403,1.38529986,1.38529986,184,255,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38529986,1.38529986
19931215,1.38529986,1.39684403,1.36221153,1.37375570,383,526,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37375570,1.37375570
19931216,1.37375570,1.37375570,1.36221153,1.37375570,205,282,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37375570,1.37375570
19931217,1.37310406,1.38474053,1.37310406,1.37310406,216,297,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931220,1.37310406,1.38474053,1.37310406,1.37310406,347,476,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931221,1.37310406,1.38474053,1.37310406,1.37310406,129,177,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931222,1.37310406,1.38474053,1.37310406,1.38474053,338,468,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38474053,1.38474053
19931223,1.38474053,1.38474053,1.37310406,1.37310406,193,265,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931224,1.38474053,1.38474053,1.37310406,1.37310406,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",14.75000000,1.37310406
19931227,1.37310406,1.38474053,1.37310406,1.37310406,103,141,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931228,1.37310406,1.38474053,1.37310406,1.38474053,84,116,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38474053,1.38474053
19931229,1.38474053,1.38474053,1.37310406,1.37310406,122,168,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37310406,1.37310406
19931230,1.37310406,1.38474053,1.37310406,1.38474053,107,148,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38474053,1.38474053
19931231,1.38474053,1.39637701,1.38474053,1.39637701,399,557,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940103,1.39637701,1.39637701,1.38474053,1.39637701,145,202,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940104,1.38474053,1.39637701,1.38474053,1.39637701,107,149,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940105,1.39637701,1.39637701,1.38474053,1.38474053,515,713,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38474053,1.38474053
19940106,1.39637701,1.40801348,1.39637701,1.40801348,558,786,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40801348,1.40801348
19940107,1.40801348,1.40801348,1.39637701,1.39637701,283,395,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940110,1.39637701,1.40801348,1.39637701,1.40801348,98,138,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40801348,1.40801348
19940111,1.39637701,1.39637701,1.38474053,1.39637701,134,187,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940112,1.39637701,1.40801348,1.39637701,1.39637701,209,292,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39637701,1.39637701
19940113,1.40801348,1.40801348,1.38474053,1.38474053,207,287,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38474053,1.38474053
19940114,1.39581320,1.40754272,1.38408368,1.39581320,257,359,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.39581320,1.39581320
19940117,1.39581320,1.39581320,1.38408368,1.38408368,137,190,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38408368,1.38408368
19940118,1.38408368,1.39581320,1.34889511,1.37235416,831,1140,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37235416,1.37235416
19940119,1.37235416,1.40754272,1.37235416,1.40754272,646,909,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40754272,1.40754272
19940120,1.41927225,1.41927225,1.39581320,1.40754272,412,580,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40754272,1.40754272
19940121,1.40754272,1.40754272,1.39581320,1.40754272,140,197,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.40754272,1.40754272
19940124,1.40754272,1.40754272,1.36062463,1.37235416,621,852,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37235416,1.37235416
19940125,1.38408368,1.39581320,1.37235416,1.38408368,145,201,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.38408368,1.38408368
19940126,1.38408368,1.38408368,1.37235416,1.37235416,207,284,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37235416,1.37235416
19940127,1.38408368,1.38408368,1.37235416,1.37235416,108,148,N/A,N/A,0,-5,"NYSE","","","Common Stock",1.37235416,1.37235416
