Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20050201,4.58618421,4.76257591,4.50680795,4.63028214,11180,51767,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63028214,4.63028214
20050202,4.70965840,4.92662020,4.63028214,4.67261615,17184,80294,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.67261615,4.67261615
20050203,4.85606352,4.85606352,4.63028214,4.70789449,4468,21035,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.70789449,4.70789449
20050204,4.69201923,4.76257591,4.67438006,4.70083882,12532,58911,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.70083882,4.70083882
20050207,4.67614398,4.70436665,4.60911514,4.63028214,10712,49600,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63028214,4.63028214
20050208,4.60382338,4.64262956,4.55796154,4.60558730,18128,83490,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.60558730,4.60558730
20050209,4.55619763,4.58618421,4.49798836,4.54032237,7160,32509,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.54032237,4.54032237
20050210,4.56678113,4.56678113,4.36745851,4.40979251,11816,52106,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.40979251,4.40979251
20050211,4.40097293,4.58618421,4.25103998,4.51739145,9432,42608,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.51739145,4.51739145
20050214,4.51739145,4.69201923,4.47682136,4.50504403,4068,18327,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.50504403,4.50504403
20050215,4.47505744,4.61793472,4.47152961,4.52797495,3012,13638,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.52797495,4.52797495
20050216,4.51562753,4.59147597,4.47152961,4.47152961,3524,15758,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.47152961,4.47152961
20050217,4.49446053,4.58618421,4.46976569,4.49446053,2464,11074,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.49446053,4.49446053
20050218,4.58442030,4.69201923,4.42743168,4.52444712,3604,16306,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.52444712,4.52444712
20050221,4.58442030,4.69201923,4.42743168,4.52444712,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",25.65000000,4.52444712
20050222,4.55972546,4.55972546,4.39920901,4.44683477,8872,39452,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.44683477,4.44683477
20050223,4.40979251,4.45565436,4.40979251,4.45389044,1712,7625,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.45389044,4.45389044
20050224,4.46623786,4.74317283,4.42743168,4.63028214,2124,9835,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63028214,4.63028214
20050225,4.59500380,4.67085223,4.52621104,4.63204606,1292,5985,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63204606,4.63204606
20050228,4.55796154,4.64615739,4.46271002,4.50328011,1940,8736,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.50328011,4.50328011
20050301,4.52797495,4.57560071,4.39568118,4.40979251,8072,35596,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.40979251,4.40979251
20050302,4.40979251,4.45389044,4.39215334,4.41155643,4568,20152,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.41155643,4.41155643
20050303,4.40979251,4.43625127,4.34805542,4.42390385,2496,11042,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.42390385,4.42390385
20050304,4.45389044,4.54208629,4.40979251,4.40979251,1256,5539,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.40979251,4.40979251
20050307,4.51033578,4.71318624,4.40979251,4.67614398,2388,11167,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.67614398,4.67614398
20050308,4.65674089,4.93896762,4.65674089,4.85253568,6820,33094,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.85253568,4.85253568
20050309,4.85077177,4.96542637,4.82784084,4.92132845,5780,28445,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.92132845,4.92132845
20050310,4.88605011,4.98659337,4.80667384,4.94602328,2160,10683,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.94602328,4.94602328
20050311,4.91427278,5.00423254,4.78374292,4.91250886,2184,10729,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.91250886,4.91250886
20050314,4.90368928,4.93896762,4.73611716,4.88605011,1956,9557,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.88605011,4.88605011
20050315,4.85606352,4.91074494,4.73082541,4.79785425,1404,6736,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.79785425,4.79785425
20050316,4.72906149,4.74493674,4.64086564,4.64792131,3428,15933,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.64792131,4.64792131
20050317,4.64792131,4.70613057,4.59500380,4.66908831,9704,45309,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.66908831,4.66908831
20050318,4.63028214,4.67614398,4.59323988,4.65144914,2820,13117,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.65144914,4.65144914
20050321,4.67438006,4.70083882,4.61440689,4.68849140,1580,7408,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.68849140,4.68849140
20050322,4.62499039,4.69201923,4.62499039,4.64968523,3672,17074,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.64968523,4.64968523
20050323,4.61264297,4.83136868,4.48916878,4.61087905,4420,20380,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.61087905,4.61087905
20050324,4.55443371,4.65674089,4.55090587,4.59500380,1004,4613,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.59500380,4.59500380
20050325,4.55443371,4.65674089,4.55090587,4.59500380,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",26.05000000,4.59500380
20050328,4.59500380,4.65497698,4.55443371,4.61969864,872,4028,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.61969864,4.61969864
20050329,4.57383680,4.63733781,4.44859869,4.63028214,3008,13928,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63028214,4.63028214
20050330,4.58794813,4.72729757,4.54032237,4.66908831,2960,13821,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.66908831,4.66908831
20050331,4.71318624,4.93720370,4.55090587,4.73258933,20928,99044,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.73258933,4.73258933
20050401,4.94073153,4.94073153,4.50680795,4.55796154,4456,20310,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.55796154,4.55796154
20050404,4.57912855,4.63380997,4.50680795,4.58089246,2048,9382,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.58089246,4.58089246
20050405,4.57383680,4.67790790,4.55090587,4.61793472,1768,8165,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.61793472,4.61793472
20050406,4.65321306,4.76257591,4.62146255,4.63204606,1576,7300,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.63204606,4.63204606
20050407,4.65674089,4.72200582,4.58265638,4.69201923,1256,5893,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.69201923,4.69201923
20050408,4.68672748,4.68672748,4.49798836,4.52621104,1788,8093,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.52621104,4.52621104
20050411,4.49269661,4.53855846,4.49269661,4.51562753,984,4443,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.51562753,4.51562753
20050412,4.51562753,4.79079859,4.44859869,4.71847799,3048,14382,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.71847799,4.71847799
20050413,4.64792131,4.66379656,4.46623786,4.48740486,788,3536,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.48740486,4.48740486
20050414,4.46623786,4.55090587,4.46623786,4.49798836,2364,10633,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.49798836,4.49798836
20050415,4.52797495,4.56854504,4.48740486,4.49798836,1648,7413,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.49798836,4.49798836
20050418,4.49798836,4.58442030,4.49798836,4.56325329,1552,7082,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.56325329,4.56325329
20050419,4.58618421,4.63028214,4.57207288,4.61264297,1748,8063,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.61264297,4.61264297
20050420,4.57207288,4.58618421,4.49975228,4.54032237,436,1980,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.54032237,4.54032237
20050421,4.52444712,4.61087905,4.52444712,4.57912855,1224,5605,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.57912855,4.57912855
20050422,4.57560071,4.57560071,4.32512450,4.33923583,2708,11751,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.33923583,4.33923583
20050425,4.33923583,4.35511109,4.15578846,4.33923583,2096,9095,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.33923583,4.33923583
20050426,4.29866574,4.33570800,4.23340081,4.24927607,1300,5524,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.24927607,4.24927607
20050427,4.19106680,4.21752556,3.94764626,4.06582870,9156,37227,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.06582870,4.06582870
20050428,4.12756579,4.18930289,3.99527202,4.14520496,3740,15503,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.14520496,4.14520496
20050429,4.14167713,4.17166372,4.07112045,4.11874621,2264,9325,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.11874621,4.11874621
20050502,4.13638538,4.22458123,4.13462146,4.21046989,1436,6046,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.21046989,4.21046989
20050503,4.20694206,4.23340081,4.06935653,4.09228745,4600,18825,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.09228745,4.09228745
20050504,4.09228745,4.17166372,4.07112045,4.10110704,3132,12845,N/A,N/A,0,-5,"NYSE","","","Common Stock",4.10110704,4.10110704
