Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20040525,17.73528013,18.25938339,17.54810039,18.25002441,399215,7285683,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.25002441,18.25002441
20040526,18.25002441,18.27810137,18.25002441,18.25002441,81318,1484055,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.25002441,18.25002441
20040527,18.25002441,18.25938339,18.24066542,18.25002441,107781,1967006,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.25002441,18.25002441
20040528,18.25002441,18.26874238,18.25002441,18.25002441,57586,1050946,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.25002441,18.25002441
20040531,18.25002441,18.26874238,18.25002441,18.25002441,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",19.50000000,18.25002441
20040601,18.25002441,18.31553732,17.79143405,18.27810137,57999,1060112,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.27810137,18.27810137
20040602,18.28746035,18.39040921,18.14707555,18.22194745,29312,534122,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.22194745,18.22194745
20040603,18.21258846,18.29681934,18.01604974,18.25938339,20409,372656,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.25938339,18.25938339
20040604,18.33425529,18.75540970,18.25938339,18.67117882,28326,528880,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.67117882,18.67117882
20040607,18.73669172,19.07361525,18.71797375,19.06425627,33206,633048,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",19.06425627,19.06425627
20040608,19.03617930,19.03617930,18.62438388,18.80220463,19718,370742,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.80220463,18.80220463
20040609,18.67117882,18.79284565,18.62438388,18.76476869,10389,194947,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.76476869,18.76476869
20040610,18.81156362,18.89579450,18.76476869,18.83028159,13952,262720,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.83028159,18.83028159
20040611,18.81156362,18.89579450,18.76476869,18.83028159,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",20.12000000,18.83028159
20040614,18.81156362,18.88643551,18.71797375,18.85835855,11614,219021,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.85835855,18.85835855
20040615,18.86771754,18.87707653,18.71797375,18.83964058,13901,261890,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.83964058,18.83964058
20040616,18.78348666,18.97066640,18.78348666,18.93323045,10075,190752,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",18.93323045,18.93323045
20040617,18.88643551,19.74746231,18.85835855,19.56028257,27653,540900,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",19.56028257,19.56028257
20040618,19.41989777,20.37451443,19.18592309,20.30900152,39180,795707,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.30900152,20.30900152
20040621,20.21541165,20.26220659,19.98143698,20.06566786,21466,430730,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.06566786,20.06566786
20040622,20.02823191,20.21541165,19.65387244,20.11246280,11684,234994,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.11246280,20.11246280
20040623,20.01887293,20.34643747,19.79425724,20.34643747,12613,256630,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.34643747,20.34643747
20040624,20.21541165,20.82374580,20.02823191,20.54297619,39880,819254,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.54297619,20.54297619
20040625,20.54297619,20.77695086,20.42130936,20.77695086,61262,1272838,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.77695086,20.77695086
20040628,20.73015593,21.04836148,20.56169417,20.92669465,29125,609490,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",20.92669465,20.92669465
20040629,21.03900250,21.41336197,20.82374580,21.12323338,31352,662256,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",21.12323338,21.12323338
20040630,21.15131034,21.56310576,21.01092554,21.47887488,40630,872687,N/A,N/A,0,-5,"NYSE","Financials","Financials/Insurance","Common Stock",21.47887488,21.47887488
