Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20161028,15.39870401,16.30451013,15.30812340,16.25921982,69048,1122667,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.25921982,16.25921982
20161031,16.37697462,16.37697462,15.77008452,15.77008452,4654,73394,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",15.77008452,15.77008452
20161101,15.75196840,16.08258763,15.53457493,15.81537483,5860,92678,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",15.81537483,15.81537483
20161102,15.58892330,15.95124574,15.53457493,15.81537483,2991,47304,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",15.81537483,15.81537483
20161103,15.60703942,15.79635290,15.57986524,15.67044585,1849,28975,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",15.67044585,15.67044585
20161104,15.86972319,16.30451013,15.77914258,16.13240697,6403,103296,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.13240697,16.13240697
20161107,16.46755523,16.66683258,15.94218768,16.54907778,6657,110167,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.54907778,16.54907778
20161108,16.48567135,16.56719390,16.05269603,16.52190360,3222,53234,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.52190360,16.52190360
20161109,16.19581340,16.66683258,16.01465217,16.63060033,2764,45967,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.63060033,16.63060033
20161110,16.58531003,16.66683258,16.30451013,16.60342615,2682,44530,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.60342615,16.60342615
20161111,16.45849717,16.91140023,16.44943911,16.72118094,2383,39847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.72118094,16.72118094
20161114,16.86610992,16.98386472,16.70849966,16.79364543,2689,45158,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.79364543,16.79364543
20161115,16.69400676,16.97842988,16.62154227,16.81176156,1223,20561,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.81176156,16.81176156
20161116,16.81176156,16.97480666,16.77643512,16.86610992,1267,21369,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Leisure","Common Stock",16.86610992,16.86610992
