Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19820104,2.68542488,2.70737658,2.66347318,2.68542488,3566,9576,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.68542488,2.68542488
19820105,2.66347318,2.70005935,2.61956978,2.61956978,602,1577,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.61956978,2.61956978
19820106,2.60493531,2.62688701,2.58298361,2.59030084,1768,4580,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.59030084,2.59030084
19820107,2.56834914,2.59761807,2.53908020,2.53908020,358,909,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.53908020,2.53908020
19820108,2.56103190,2.57566637,2.53908020,2.54639744,514,1309,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.54639744,2.54639744
19820111,2.51712850,2.56103190,2.47322510,2.47322510,4716,11664,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.47322510,2.47322510
19820112,2.45859063,2.47322510,2.44395616,2.46590786,634,1563,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.46590786,2.46590786
19820113,2.42200446,2.45859063,2.37810105,2.39273552,1176,2814,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.39273552,2.39273552
19820114,2.37810105,2.39273552,2.35614935,2.37810105,296,704,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.37810105,2.37810105
19820115,2.42200446,2.44395616,2.39273552,2.42200446,372,901,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.42200446,2.42200446
19820118,2.43663893,2.45127339,2.41468722,2.43663893,148,361,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.43663893,2.43663893
19820119,2.45127339,2.47322510,2.42932169,2.44395616,1670,4081,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.44395616,2.44395616
19820120,2.43663893,2.44395616,2.42200446,2.43663893,220,536,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.43663893,2.43663893
19820121,2.47322510,2.50249403,2.44395616,2.49517680,1118,2790,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.49517680,2.49517680
19820122,2.49517680,2.50249403,2.48785956,2.48785956,582,1448,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.48785956,2.48785956
19820125,2.50249403,2.51712850,2.48785956,2.51712850,300,755,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",2.51712850,2.51712850
