Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210309,4.50000000,4.75000000,3.39000000,3.58000000,35019,125368,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",3.58000000,3.58000000
20210310,3.72000000,4.79000000,3.70000000,4.79000000,51159,245052,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",4.79000000,4.79000000
20210311,4.90000000,4.95000000,4.60000000,4.72000000,11853,55946,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",4.72000000,4.72000000
20210312,4.80000000,5.00000000,4.73000000,5.00000000,6332,31660,N/A,N/A,204125,40825,"NYSE MKTS LLC","","","Common Stock",5.00000000,5.00000000
20210315,5.20000000,5.20000000,4.75000000,4.97000000,6914,34363,N/A,N/A,202900,40825,"NYSE MKTS LLC","","","Common Stock",4.97000000,4.97000000
20210316,4.98000000,4.99000000,4.77000000,4.84500000,5048,24458,N/A,N/A,197797,40825,"NYSE MKTS LLC","","","Common Stock",4.84500000,4.84500000
20210317,4.83000000,4.89000000,4.75000000,4.89000000,3357,16416,N/A,N/A,199634,40825,"NYSE MKTS LLC","","","Common Stock",4.89000000,4.89000000
20210318,4.89000000,4.90000000,4.72000000,4.76000000,2029,9658,N/A,N/A,194327,40825,"NYSE MKTS LLC","","","Common Stock",4.76000000,4.76000000
20210319,4.80000000,4.82600000,4.70000000,4.72000000,1437,6783,N/A,N/A,192694,40825,"NYSE MKTS LLC","","","Common Stock",4.72000000,4.72000000
20210322,4.75000000,4.84000000,4.70000000,4.75000000,1648,7828,N/A,N/A,193919,40825,"NYSE MKTS LLC","","","Common Stock",4.75000000,4.75000000
20210323,4.76000000,4.79000000,4.53000000,4.56000000,2632,12002,N/A,N/A,186162,40825,"NYSE MKTS LLC","","","Common Stock",4.56000000,4.56000000
20210324,4.55000000,4.65000000,4.52000000,4.55000000,1377,6265,N/A,N/A,185754,40825,"NYSE MKTS LLC","","","Common Stock",4.55000000,4.55000000
20210325,4.60000000,4.70000000,4.52000000,4.57000000,972,4442,N/A,N/A,186570,40825,"NYSE MKTS LLC","","","Common Stock",4.57000000,4.57000000
20210326,4.52000000,4.60000000,4.51000000,4.54000000,1466,6656,N/A,N/A,185346,40825,"NYSE MKTS LLC","","","Common Stock",4.54000000,4.54000000
20210329,4.58000000,4.58000000,4.50000000,4.50000000,3135,14108,N/A,N/A,183712,40825,"NYSE MKTS LLC","","","Common Stock",4.50000000,4.50000000
20210330,4.51000000,4.56000000,4.47000000,4.51000000,1714,7730,N/A,N/A,184121,40825,"NYSE MKTS LLC","","","Common Stock",4.51000000,4.51000000
20210331,4.55000000,4.59900000,4.47000000,4.50000000,1738,7821,N/A,N/A,183712,40825,"NYSE MKTS LLC","","","Common Stock",4.50000000,4.50000000
20210401,4.50000000,4.62000000,4.45000000,4.47000000,2198,9825,N/A,N/A,182488,40825,"NYSE MKTS LLC","","","Common Stock",4.47000000,4.47000000
20210402,4.50000000,4.62000000,4.45000000,4.47000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","","","Common Stock",4.47000000,4.47000000
20210405,4.65000000,4.70000000,4.55000000,4.58000000,2258,10342,N/A,N/A,186978,40825,"NYSE MKTS LLC","","","Common Stock",4.58000000,4.58000000
20210406,4.60000000,4.68000000,4.55000000,4.59000000,987,4530,N/A,N/A,187387,40825,"NYSE MKTS LLC","","","Common Stock",4.59000000,4.59000000
20210407,4.56000000,4.58400000,4.50000000,4.52000000,779,3521,N/A,N/A,184529,40825,"NYSE MKTS LLC","","","Common Stock",4.52000000,4.52000000
20210408,4.64000000,4.64000000,4.52000000,4.55000000,845,3845,N/A,N/A,185754,40825,"NYSE MKTS LLC","","","Common Stock",4.55000000,4.55000000
20210409,4.60000000,4.65000000,4.57000000,4.62800000,552,2555,N/A,N/A,188938,40825,"NYSE MKTS LLC","","","Common Stock",4.62800000,4.62800000
20210412,4.63000000,4.68000000,4.50000000,4.50000000,1218,5481,N/A,N/A,183712,40825,"NYSE MKTS LLC","","","Common Stock",4.50000000,4.50000000
20210413,4.54000000,4.64000000,4.50000000,4.63000000,938,4343,N/A,N/A,189020,40825,"NYSE MKTS LLC","","","Common Stock",4.63000000,4.63000000
20210414,4.63000000,4.70000000,4.50000000,4.70000000,426,2002,N/A,N/A,191878,40825,"NYSE MKTS LLC","","","Common Stock",4.70000000,4.70000000
20210415,4.70000000,4.75000000,4.65000000,4.65000000,616,2864,N/A,N/A,189836,40825,"NYSE MKTS LLC","","","Common Stock",4.65000000,4.65000000
20210416,4.60000000,4.66000000,4.50000000,4.62000000,782,3613,N/A,N/A,188612,40825,"NYSE MKTS LLC","","","Common Stock",4.62000000,4.62000000
20210419,4.64000000,4.64000000,4.54500000,4.60000000,553,2544,N/A,N/A,187795,40825,"NYSE MKTS LLC","","","Common Stock",4.60000000,4.60000000
20210420,4.60000000,4.60000000,4.51000000,4.55400000,403,1835,N/A,N/A,185917,40825,"NYSE MKTS LLC","","","Common Stock",4.55400000,4.55400000
20210421,4.74000000,4.75000000,4.61000000,4.74000000,976,4626,N/A,N/A,193510,40825,"NYSE MKTS LLC","","","Common Stock",4.74000000,4.74000000
20210422,4.74000000,4.75000000,4.51000000,4.63000000,481,2227,N/A,N/A,189020,40825,"NYSE MKTS LLC","","","Common Stock",4.63000000,4.63000000
20210423,4.65000000,4.69000000,4.52000000,4.52100000,535,2419,N/A,N/A,184570,40825,"NYSE MKTS LLC","","","Common Stock",4.52100000,4.52100000
20210426,4.55000000,4.70000000,4.52000000,4.66000000,510,2377,N/A,N/A,190244,40825,"NYSE MKTS LLC","","","Common Stock",4.66000000,4.66000000
20210427,4.70000000,4.70000000,4.63000000,4.66000000,239,1114,N/A,N/A,190244,40825,"NYSE MKTS LLC","","","Common Stock",4.66000000,4.66000000
