Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930317,4.75679186,4.75679186,4.75679186,4.75679186,11,52,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930318,4.75679186,4.75679186,4.75679186,4.75679186,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930319,4.75679186,4.75679186,4.75679186,4.75679186,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930322,4.75679186,4.75679186,4.75679186,4.75679186,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930323,4.67333937,4.67333937,4.58988688,4.58988688,232,1065,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930324,4.33952941,4.33952941,4.33952941,4.33952941,7,30,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930325,4.33952941,4.33952941,4.33952941,4.33952941,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930326,4.33952941,4.33952941,4.33952941,4.33952941,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930329,4.58988688,4.58988688,4.58988688,4.58988688,7,32,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930330,4.58988688,4.58988688,4.58988688,4.58988688,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930331,4.67333937,4.67333937,4.67333937,4.67333937,11,51,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67333937,4.67333937
19930401,4.67333937,4.67333937,4.67333937,4.67333937,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67333937,4.67333937
19930402,4.33952941,4.50643439,4.33952941,4.50643439,47,212,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.50643439,4.50643439
19930405,4.84024435,4.84024435,4.84024435,4.84024435,11,53,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930406,4.33952941,4.46470815,4.33952941,4.46470815,45,201,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.46470815,4.46470815
19930407,4.58988688,4.58988688,4.58988688,4.58988688,11,50,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930408,4.58988688,4.58988688,4.58988688,4.58988688,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930409,4.58988688,4.58988688,4.58988688,4.58988688,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",13.75000000,4.58988688
19930412,4.33952941,4.33952941,4.33952941,4.33952941,23,100,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930413,4.33952941,4.33952941,4.33952941,4.33952941,5,22,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930414,4.58988688,4.58988688,4.58988688,4.58988688,23,106,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.58988688,4.58988688
19930415,4.84024435,4.84024435,4.84024435,4.84024435,11,53,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930416,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930419,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930420,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930421,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930422,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930423,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930426,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930427,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930428,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930429,4.33952941,4.33952941,4.33952941,4.33952941,5,22,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930430,4.33952941,4.33952941,4.33952941,4.33952941,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930503,4.33952941,4.33952941,4.33952941,4.33952941,2,9,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930504,4.33952941,4.33952941,4.33952941,4.33952941,7,30,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.33952941,4.33952941
19930505,4.33952941,4.50643439,4.33952941,4.50643439,36,162,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.50643439,4.50643439
19930506,4.67333937,5.00714932,4.67333937,5.00714932,151,756,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930507,5.00714932,5.00714932,4.92369683,4.92369683,180,886,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.92369683,4.92369683
19930510,4.67333937,5.00714932,4.67333937,5.00714932,110,551,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930511,4.67333937,4.84024435,4.67333937,4.84024435,23,111,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930512,5.00714932,5.00714932,4.84024435,5.00714932,43,215,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930513,4.84024435,4.84024435,4.67333937,4.67333937,41,192,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67333937,4.67333937
19930514,4.67333937,4.84024435,4.67333937,4.84024435,187,905,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930517,5.00714932,5.00714932,5.00714932,5.00714932,9,45,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930518,4.67333937,4.75679186,4.67333937,4.67333937,137,640,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67333937,4.67333937
19930519,4.75679186,4.84024435,4.75679186,4.84024435,90,436,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930520,4.67333937,5.00714932,4.67333937,5.00714932,34,170,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930521,5.00714932,5.00714932,5.00714932,5.00714932,5,25,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",5.00714932,5.00714932
19930524,4.67333937,4.67333937,4.67333937,4.67333937,23,107,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67333937,4.67333937
19930525,4.84024435,4.84024435,4.75679186,4.75679186,61,290,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930526,4.75679186,4.75679186,4.75679186,4.75679186,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.75679186,4.75679186
19930527,4.75679186,4.84024435,4.75679186,4.84024435,68,329,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930528,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930531,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",14.50000000,4.84024435
19930601,4.84024435,4.84024435,4.84024435,4.84024435,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84024435,4.84024435
19930602,4.84692977,4.84692977,4.84692977,4.84692977,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84692977,4.84692977
19930603,4.67979426,4.67979426,4.67979426,4.67979426,20,94,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930604,4.67979426,4.67979426,4.67979426,4.67979426,11,51,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930607,4.67979426,4.67979426,4.67979426,4.67979426,2,9,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930608,4.67979426,4.67979426,4.67979426,4.67979426,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930609,4.67979426,4.67979426,4.67979426,4.67979426,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930610,4.67979426,4.67979426,4.67979426,4.67979426,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930611,4.67979426,4.67979426,4.67979426,4.67979426,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
19930614,4.84692977,4.84692977,4.84692977,4.84692977,2,10,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.84692977,4.84692977
19930615,4.67979426,5.01406528,3.84411671,4.17838773,650,2716,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.17838773,4.17838773
19930616,4.17838773,4.17838773,3.96946834,4.01125222,191,766,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.01125222,4.01125222
19930617,4.09481998,4.09481998,4.01125222,4.09481998,322,1319,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.09481998,4.09481998
19930618,3.92768447,3.92768447,3.92768447,3.92768447,5,20,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",3.92768447,3.92768447
19930621,3.92768447,3.92768447,3.92768447,3.92768447,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",3.92768447,3.92768447
19930622,4.17838773,4.17838773,4.01125222,4.17838773,126,526,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.17838773,4.17838773
19930623,4.30373936,4.51265875,4.30373936,4.51265875,862,3890,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.51265875,4.51265875
19930624,4.42909099,4.67979426,4.34552324,4.67979426,1793,8391,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/TV","Common Stock",4.67979426,4.67979426
