Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130418,7.45180164,7.63809668,7.08563553,7.32332230,52213,382373,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.32332230,7.32332230
20130419,7.32332230,7.38756197,7.11133140,7.22696280,9713,70195,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.22696280,7.22696280
20130422,7.25908263,7.38756197,7.22696280,7.30405040,4280,31261,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.30405040,7.30405040
20130423,7.29120247,7.29120247,5.87792974,7.18841900,7369,52971,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.18841900,7.18841900
20130424,7.51604131,7.51604131,7.22696280,7.23338677,2465,17830,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.23338677,7.23338677
20130425,7.22696280,7.34901817,7.22696280,7.31047437,2653,19395,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.31047437,7.31047437
20130426,7.36829007,7.38756197,7.31689834,7.38756197,1381,10202,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.38756197,7.38756197
20130429,7.31689834,7.32974627,7.22696280,7.29120247,1890,13780,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.29120247,7.29120247
20130430,7.25908263,7.31047437,7.23338677,7.31047437,1695,12391,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.31047437,7.31047437
20130501,7.25265867,7.34901817,7.22696280,7.34901817,3430,25207,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.34901817,7.34901817
20130502,7.35544214,7.38756197,7.29762644,7.38756197,2686,19843,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.38756197,7.38756197
20130503,7.35544214,7.40683387,7.31047437,7.40040991,2235,16540,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.40040991,7.40040991
20130506,7.39398594,7.50961734,7.32974627,7.50961734,1549,11632,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.50961734,7.50961734
20130507,7.49676941,7.75372809,7.44537768,7.70876032,4521,34851,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.70876032,7.70876032
20130508,7.74088015,7.74730412,7.59955288,7.69591239,1567,12059,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.69591239,7.69591239
20130509,7.49034544,7.70876032,7.43895371,7.65094462,2091,15998,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.65094462,7.65094462
20130510,7.65094462,7.69591239,7.64452065,7.68948842,2024,15564,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.68948842,7.68948842
20130513,7.69591239,7.74088015,7.64452065,7.70876032,2353,18139,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.70876032,7.70876032
20130514,7.64452065,7.77299999,7.61240082,7.75372809,3328,25804,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.75372809,7.75372809
20130515,7.76657602,7.86935949,7.74088015,7.84366363,3500,27453,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.84366363,7.84366363
20130516,7.84366363,7.93359916,7.83723966,7.92717520,2575,20412,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.92717520,7.92717520
20130517,7.88863139,8.03638263,7.79869586,8.02995867,4864,39058,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",8.02995867,8.02995867
20130520,7.87578346,8.03638263,7.87578346,7.99141486,3083,24638,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.99141486,7.99141486
20130521,7.90790329,8.01068677,7.81796776,7.95929503,2099,16707,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.95929503,7.95929503
20130522,7.79227189,7.92075123,7.57385701,7.58028098,3596,27259,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.58028098,7.58028098
20130523,7.48392148,7.74088015,7.36186611,7.74088015,3076,23811,N/A,N/A,199185,16530,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.74088015,7.74088015
20130524,7.74088015,7.74088015,7.46464958,7.65094462,2203,16855,N/A,N/A,196871,16530,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.65094462,7.65094462
20130527,7.74088015,7.74088015,7.46464958,7.65094462,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",11.91000000,7.65094462
20130528,7.70233635,7.75372809,7.60597685,7.69591239,1482,11405,N/A,N/A,198028,16530,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.69591239,7.69591239
20130529,7.62524875,7.67021652,7.36186611,7.40683387,1768,13095,N/A,N/A,190590,16530,"NYSE","Financials","Financials/Diversified REIT","Common Stock",7.40683387,7.40683387
