Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20170926,32.41127744,32.41127744,28.70713145,28.70713145,33,947,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",28.70713145,28.70713145
20170927,28.70713145,28.70713145,26.85505845,27.17454104,58,1576,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",27.17454104,27.17454104
20170928,27.43383126,30.56846481,27.43383126,28.93864057,138,3994,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",28.93864057,28.93864057
20170929,27.87369860,30.65180809,27.87369860,30.65180809,147,4506,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",30.65180809,30.65180809
20171002,30.42955933,32.04086284,27.31807670,27.99408334,1411,39500,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",27.99408334,27.99408334
20171003,28.80899546,31.67044824,28.36449794,31.39263729,732,22979,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",31.39263729,31.39263729
20171004,31.39263729,33.95775839,30.55920444,32.03160247,926,29661,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",32.03160247,32.03160247
20171005,32.70760912,33.80033219,32.41127744,32.88355605,843,27721,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",32.88355605,32.88355605
20171006,33.33731394,35.18012657,33.33731394,34.81897233,309,10759,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",34.81897233,34.81897233
20171009,34.84675343,37.96749643,33.87441511,35.77278993,378,13522,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",35.77278993,35.77278993
20171010,35.77278993,35.77278993,33.80033219,34.26335044,501,17166,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",34.26335044,34.26335044
20171011,33.64290598,35.89317467,32.99468043,35.30051131,637,22486,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",35.30051131,35.30051131
20171012,35.28199058,35.28199058,34.50411993,35.14308511,297,10437,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",35.14308511,35.14308511
20171013,35.52276007,35.75426920,34.55042175,35.39311496,328,11609,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",35.39311496,35.39311496
20171016,35.60610336,36.30063073,35.14771529,36.05060088,440,15862,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.05060088,36.05060088
20171017,36.07838197,36.45805694,35.68018628,36.42101548,324,11800,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.42101548,36.42101548
20171018,36.54140022,36.82847154,36.11542343,36.57844168,322,11778,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.57844168,36.57844168
20171019,36.37934383,37.06924103,36.01355942,36.62474351,258,9449,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.62474351,36.62474351
20171020,36.88403373,37.50447818,36.28211000,36.73586789,338,12417,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.73586789,36.73586789
20171023,36.91181482,36.91181482,36.34693256,36.73586789,246,9037,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.73586789,36.73586789
20171024,36.73586789,37.30075015,36.61548314,36.92107519,405,14953,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.92107519,36.92107519
20171025,36.95626457,37.04145993,36.03208015,36.38397402,504,18338,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",36.38397402,36.38397402
20171026,36.37471365,36.57844168,35.68018628,35.97651796,83,2986,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",35.97651796,35.97651796
20171027,35.83761248,37.01367884,35.56906190,36.93959592,356,13150,N/A,N/A,279862,7016,"NYSE","Technology","Technology/Hardware","Common Stock",36.93959592,36.93959592
20171030,36.21728745,36.83773190,36.21728745,36.57844168,158,5779,N/A,N/A,277126,7016,"NYSE","Technology","Technology/Hardware","Common Stock",36.57844168,36.57844168
20171031,36.76364898,36.76364898,35.54128080,35.90243504,251,9012,N/A,N/A,272004,7016,"NYSE","Technology","Technology/Hardware","Common Stock",35.90243504,35.90243504
20171101,36.05986124,36.05986124,35.00417963,35.73574847,165,5896,N/A,N/A,270741,7016,"NYSE","Technology","Technology/Hardware","Common Stock",35.73574847,35.73574847
20171102,34.81897233,35.43015642,34.12444496,34.48559920,436,15036,N/A,N/A,261270,7016,"NYSE","Technology","Technology/Hardware","Common Stock",34.48559920,34.48559920
20171103,34.53190102,34.56894248,33.18729602,33.56882306,502,16852,N/A,N/A,254324,7016,"NYSE","Technology","Technology/Hardware","Common Stock",33.56882306,33.56882306
20171106,33.24471029,33.24471029,28.27189429,30.34621605,432,13110,N/A,N/A,229909,7016,"NYSE","Technology","Technology/Hardware","Common Stock",30.34621605,30.34621605
20171107,30.34621605,30.34621605,28.82751619,29.71651123,400,11887,N/A,N/A,225138,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.71651123,29.71651123
20171108,29.54056429,29.66094904,29.23960243,29.48500210,261,7696,N/A,N/A,223384,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.48500210,29.48500210
20171109,29.02198386,29.02198386,27.78572513,28.24411320,301,8501,N/A,N/A,213983,7016,"NYSE","Technology","Technology/Hardware","Common Stock",28.24411320,28.24411320
20171110,27.93852115,28.77195400,27.88295896,28.52192415,252,7188,N/A,N/A,216088,7016,"NYSE","Technology","Technology/Hardware","Common Stock",28.52192415,28.52192415
20171113,28.72565218,30.04988437,28.57748634,29.52204356,590,17418,N/A,N/A,223665,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.52204356,29.52204356
20171114,29.42017955,30.23509167,29.38776827,29.98506181,208,6237,N/A,N/A,227173,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.98506181,29.98506181
20171115,29.81837524,30.41103860,29.67946977,30.41103860,391,11891,N/A,N/A,230400,7016,"NYSE","Technology","Technology/Hardware","Common Stock",30.41103860,30.41103860
20171116,30.51290262,30.79071357,30.08692583,30.27213313,276,8355,N/A,N/A,229348,7016,"NYSE","Technology","Technology/Hardware","Common Stock",30.27213313,30.27213313
20171117,30.08692583,30.42029897,28.10520772,29.48500210,614,18104,N/A,N/A,223384,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.48500210,29.48500210
20171120,29.50352283,30.04988437,29.44796064,29.53130393,234,6910,N/A,N/A,223735,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.53130393,29.53130393
20171121,29.60538685,30.43881970,28.75343327,29.03124422,345,10016,N/A,N/A,219947,7016,"NYSE","Technology","Technology/Hardware","Common Stock",29.03124422,29.03124422
20171122,29.01272349,29.17941006,27.39215962,27.89221933,302,8423,N/A,N/A,211317,7016,"NYSE","Technology","Technology/Hardware","Common Stock",27.89221933,27.89221933
20171123,29.01272349,29.17941006,27.39215962,27.89221933,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",30.12000000,27.89221933
20171124,27.80887604,28.35060739,25.08632874,25.82715794,313,8084,N/A,N/A,195672,7016,"NYSE","Technology","Technology/Hardware","Common Stock",25.82715794,25.82715794
20171127,25.78085611,26.16053108,23.57688925,23.85470020,930,22185,N/A,N/A,180728,7016,"NYSE","Technology","Technology/Hardware","Common Stock",23.85470020,23.85470020
20171128,23.66023253,24.42884282,22.73882621,23.71579472,785,18617,N/A,N/A,179676,7016,"NYSE","Technology","Technology/Hardware","Common Stock",23.71579472,23.71579472
20171129,23.97508494,25.73455429,23.53058742,25.69751283,494,12695,N/A,N/A,194690,7016,"NYSE","Technology","Technology/Hardware","Common Stock",25.69751283,25.69751283
