Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20060906,3.94966481,4.25686096,3.89979530,4.21098101,305840,1287886,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.21098101,4.21098101
20060907,4.21297579,4.55607799,4.09927332,4.40846425,215392,949548,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.40846425,4.40846425
20060908,4.37056343,4.53214063,4.31072002,4.40048513,156180,687268,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.40048513,4.40048513
20060911,4.29077222,4.38253211,4.28877744,4.33665217,207516,899925,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.33665217,4.33665217
20060912,4.32667826,4.39849035,4.27880354,4.37455299,91540,400447,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.37455299,4.37455299
20060913,4.39051123,4.62789008,4.39051123,4.49822936,122788,552329,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.49822936,4.49822936
20060914,4.43838596,4.48825546,4.32268870,4.35061563,55152,239945,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.35061563,4.35061563
20060915,4.33066782,4.35659997,4.22893403,4.24289750,80640,342147,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.24289750,4.24289750
20060918,4.28877744,4.33864695,4.24289750,4.32069392,36016,155614,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.32069392,4.32069392
20060919,4.29875134,4.48825546,4.23491837,4.26882964,37888,161737,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.26882964,4.26882964
20060920,4.26484008,4.44038074,4.26085052,4.42841205,25368,112340,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.42841205,4.42841205
20060921,4.32867304,4.38851645,4.32268870,4.33864695,27676,120076,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.33864695,4.33864695
20060922,4.34263651,4.43240162,4.32069392,4.41644337,14488,63985,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.41644337,4.41644337
20060925,4.37255821,4.49025024,4.35859475,4.44237552,32040,142334,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.44237552,4.44237552
20060926,4.46830766,4.48825546,4.44835986,4.46232332,16900,75413,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.46232332,4.46232332
20060927,4.36058953,4.52615628,4.34862085,4.50820326,45524,205231,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.50820326,4.50820326
20060928,4.45833376,4.57403101,4.44636508,4.47828156,29996,134331,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.47828156,4.47828156
20060929,4.49822936,4.51618238,4.43040683,4.49025024,31732,142485,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.49025024,4.49025024
20061002,4.46431810,4.51019804,4.44835986,4.48626068,21940,98429,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.48626068,4.48626068
20061003,4.50421370,4.53413541,4.45234942,4.49025024,26804,120357,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.49025024,4.49025024
20061004,4.46830766,4.60594749,4.43838596,4.52815106,29988,135790,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.52815106,4.52815106
20061005,4.50820326,4.64185354,4.50820326,4.61791617,45232,208878,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Apparel Manufacturers","Common Stock",4.61791617,4.61791617
