Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19921028,1.66781670,1.97415038,1.66781670,1.87203915,34026,63698,N/A,N/A,0,0,"NYSE","","","Common Stock",1.87203915,1.87203915
19921029,1.97415038,2.11029868,1.90607623,2.11029868,17702,37357,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921030,2.07626161,2.14433576,2.07626161,2.07626161,5743,11924,N/A,N/A,0,0,"NYSE","","","Common Stock",2.07626161,2.07626161
19921102,2.07626161,2.14433576,2.07626161,2.14433576,1811,3883,N/A,N/A,0,0,"NYSE","","","Common Stock",2.14433576,2.14433576
19921103,2.07626161,2.14433576,2.07626161,2.11029868,2801,5911,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921104,2.07626161,2.14433576,2.07626161,2.07626161,1204,2500,N/A,N/A,0,0,"NYSE","","","Common Stock",2.07626161,2.07626161
19921105,2.07626161,2.14433576,2.07626161,2.14433576,4258,9131,N/A,N/A,0,0,"NYSE","","","Common Stock",2.14433576,2.14433576
19921106,2.14433576,2.14433576,2.04222453,2.09328014,3268,6841,N/A,N/A,0,0,"NYSE","","","Common Stock",2.09328014,2.09328014
19921109,2.14433576,2.14433576,2.04222453,2.04222453,692,1413,N/A,N/A,0,0,"NYSE","","","Common Stock",2.04222453,2.04222453
19921110,2.11029868,2.11029868,2.04222453,2.11029868,1766,3727,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921111,2.11029868,2.11029868,2.00818746,2.00818746,1761,3536,N/A,N/A,0,0,"NYSE","","","Common Stock",2.00818746,2.00818746
19921112,2.04222453,2.11029868,2.04222453,2.11029868,2616,5521,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921113,2.11029868,2.11029868,2.04222453,2.11029868,979,2066,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921116,2.11029868,2.14433576,2.04222453,2.14433576,349,748,N/A,N/A,0,0,"NYSE","","","Common Stock",2.14433576,2.14433576
19921117,2.14433576,2.14433576,2.04222453,2.11029868,2891,6101,N/A,N/A,0,0,"NYSE","","","Common Stock",2.11029868,2.11029868
19921118,2.00818746,2.14433576,2.00818746,2.14433576,608,1304,N/A,N/A,0,0,"NYSE","","","Common Stock",2.14433576,2.14433576
19921119,2.14433576,2.14433576,2.00818746,2.14433576,461,989,N/A,N/A,0,0,"NYSE","","","Common Stock",2.14433576,2.14433576
19921120,2.14433576,2.38259529,2.14433576,2.29750260,3555,8168,N/A,N/A,0,0,"NYSE","","","Common Stock",2.29750260,2.29750260
19921123,2.38259529,2.45066944,2.31452114,2.41663236,7774,18787,N/A,N/A,0,0,"NYSE","","","Common Stock",2.41663236,2.41663236
