Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.89999377,0.90453919,0.89999377,0.90453919,88,80,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.90453919,0.90453919
19800804,0.87726665,0.87726665,0.87272123,0.87272123,60,52,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.87272123,0.87272123
19800805,0.87272123,0.87726665,0.86363038,0.86363038,48,41,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.86363038,0.86363038
19800806,0.86363038,0.86817581,0.86363038,0.86817581,100,87,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.86817581,0.86817581
19800807,0.86817581,0.86817581,0.85908496,0.85908496,100,86,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.85908496,0.85908496
19800808,0.85908496,0.86363038,0.85453954,0.85453954,64,55,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.85453954,0.85453954
19800811,0.85453954,0.85908496,0.83635784,0.84544869,456,386,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84544869,0.84544869
19800812,0.84544869,0.84999411,0.84090327,0.84090327,200,168,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800813,0.84090327,0.84544869,0.83181242,0.84090327,156,131,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800814,0.83635784,0.83635784,0.83181242,0.83635784,184,154,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83635784,0.83635784
19800815,0.83635784,0.84090327,0.83635784,0.84090327,252,212,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800818,0.84090327,0.84090327,0.84090327,0.84090327,512,431,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800819,0.84090327,0.84090327,0.83635784,0.83635784,120,100,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83635784,0.83635784
19800820,0.83635784,0.84544869,0.83635784,0.84544869,144,122,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84544869,0.84544869
19800821,0.84544869,0.84999411,0.84090327,0.84544869,104,88,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84544869,0.84544869
19800822,0.84544869,0.84544869,0.84090327,0.84090327,100,84,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800825,0.84090327,0.84090327,0.83635784,0.83635784,116,97,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83635784,0.83635784
19800826,0.83635784,0.84090327,0.83181242,0.83181242,164,136,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83181242,0.83181242
19800827,0.83181242,0.83635784,0.82272157,0.82272157,152,125,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.82272157,0.82272157
19800828,0.82726700,0.83635784,0.82726700,0.83181242,112,93,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83181242,0.83181242
19800829,0.83181242,0.83635784,0.82726700,0.83635784,76,64,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.83635784,0.83635784
19800901,0.83181242,0.83635784,0.82726700,0.83635784,0,0,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",23.00000000,0.83635784
19800902,0.83635784,0.84544869,0.83181242,0.84544869,72,61,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84544869,0.84544869
19800903,0.84544869,0.84544869,0.84090327,0.84090327,64,54,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84090327,0.84090327
19800904,0.84090327,0.84999411,0.84090327,0.84999411,96,82,N/A,N/A,0,0,"NYSE","Utilities","Utilities/Electric","Common Stock",0.84999411,0.84999411
