Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20131212,41.85118121,43.06938461,41.75293900,42.24415005,129355,5464492,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.24415005,42.24415005
20131213,43.20692370,43.97321294,42.34239226,43.42305656,12249,531889,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",43.42305656,43.42305656
20131216,45.34860387,50.59473785,42.28344694,42.28344694,47177,1994806,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.28344694,42.28344694
20131217,42.46028291,43.20692370,42.40133759,42.85325175,23138,991539,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.85325175,42.85325175
20131218,42.89254863,43.58024410,42.55852512,42.89254863,28578,1225783,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.89254863,42.89254863
20131219,42.73536110,44.03215826,42.34239226,43.77672852,14691,643124,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",43.77672852,43.77672852
20131220,44.20899424,44.30723645,42.95149396,43.08903305,9948,428650,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",43.08903305,43.08903305
20131223,43.24622059,43.59989254,42.36204070,42.36204070,12207,517113,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.36204070,42.36204070
20131224,42.44063447,42.57817356,41.55645459,42.26379849,12341,521578,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.26379849,42.26379849
20131225,42.44063447,42.57817356,41.55645459,42.26379849,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",21.51000000,42.26379849
20131226,42.36204070,43.14797838,42.34239226,42.63711889,13092,558205,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Hotels & Casinos","Common Stock",42.63711889,42.63711889
