Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19911115,4.57792010,4.67329344,4.57792010,4.57792010,60934,278951,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.57792010,4.57792010
19911118,4.57792010,4.57792010,4.45075566,4.57792010,8118,37164,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.57792010,4.57792010
19911119,4.51433788,4.51433788,4.41896455,4.48254677,2350,10534,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.48254677,4.48254677
19911120,4.51433788,4.51433788,4.41896455,4.51433788,2092,9444,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911121,4.48254677,4.51433788,4.45075566,4.51433788,1700,7674,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911122,4.48254677,4.51433788,4.45075566,4.51433788,948,4280,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911125,4.51433788,4.51433788,4.45075566,4.51433788,604,2727,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911126,4.48254677,4.51433788,4.45075566,4.51433788,3254,14690,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911127,4.45075566,4.51433788,4.45075566,4.51433788,408,1842,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911128,4.45075566,4.51433788,4.45075566,4.51433788,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",17.75000000,4.51433788
19911129,4.45075566,4.51433788,4.45075566,4.51433788,582,2627,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911202,4.45075566,4.51433788,4.45075566,4.51433788,1038,4686,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911203,4.45075566,4.51433788,4.45075566,4.51433788,846,3819,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911204,4.51433788,4.51433788,4.45075566,4.51433788,1340,6049,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
19911205,4.48254677,4.54612899,4.48254677,4.51433788,1560,7042,N/A,N/A,0,0,"NYSE","Financials","Financials/Insurance","Common Stock",4.51433788,4.51433788
