Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930527,2.64047632,2.65740245,2.64047632,2.64047632,13955,36848,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930528,2.64047632,2.67432858,2.64047632,2.67432858,1187,3174,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.67432858,2.67432858
19930531,2.64047632,2.67432858,2.64047632,2.67432858,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",19.75000000,2.67432858
19930601,2.67432858,2.69125471,2.65740245,2.67432858,1222,3268,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.67432858,2.67432858
19930602,2.69125471,2.69125471,2.65740245,2.65740245,1163,3091,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.65740245,2.65740245
19930603,2.67432858,2.67432858,2.64047632,2.64047632,518,1368,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930604,2.64047632,2.69125471,2.64047632,2.65740245,480,1276,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.65740245,2.65740245
19930607,2.65740245,2.67432858,2.64047632,2.65740245,327,869,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.65740245,2.65740245
19930608,2.64047632,2.65740245,2.64047632,2.65740245,420,1116,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.65740245,2.65740245
19930609,2.65740245,2.65740245,2.64047632,2.64047632,292,771,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930610,2.64047632,2.65740245,2.64047632,2.64047632,453,1196,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930611,2.64047632,2.65740245,2.64047632,2.64047632,245,647,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930614,2.64047632,2.65740245,2.64047632,2.65740245,119,316,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.65740245,2.65740245
19930615,2.64047632,2.65740245,2.64047632,2.64047632,72,190,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.64047632,2.64047632
19930616,2.64047632,2.64047632,2.57277180,2.57277180,579,1490,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.57277180,2.57277180
19930617,2.53891954,2.53891954,2.40351050,2.50506728,892,2235,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.50506728,2.50506728
19930618,2.55584567,2.55584567,2.50506728,2.50506728,250,626,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.50506728,2.50506728
19930621,2.52199341,2.53891954,2.50506728,2.50506728,443,1110,N/A,N/A,0,-5,"NYSE","Financials","Financials/Commercial REIT","Common Stock",2.50506728,2.50506728
