Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19810211,1.45450875,1.45450875,1.45450875,1.45450875,245,356,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.45450875,1.45450875
19810212,1.44454636,1.44454636,1.42462158,1.42462158,26,37,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.42462158,1.42462158
19810213,1.44454636,1.44454636,1.44454636,1.44454636,5,7,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.44454636,1.44454636
19810216,1.44454636,1.44454636,1.44454636,1.44454636,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",18.12500000,1.44454636
19810217,1.42462158,1.42462158,1.42462158,1.42462158,36,51,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.42462158,1.42462158
19810218,1.41465919,1.41465919,1.39473441,1.39473441,357,498,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.39473441,1.39473441
19810219,1.39473441,1.39473441,1.34492247,1.35488486,776,1051,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810220,1.37480964,1.39473441,1.37480964,1.37480964,46,63,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.37480964,1.37480964
19810223,1.37480964,1.41465919,1.37480964,1.41465919,36,51,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.41465919,1.41465919
19810224,1.41465919,1.42462158,1.39473441,1.39473441,87,121,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.39473441,1.39473441
19810225,1.39473441,1.39473441,1.39473441,1.39473441,117,163,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.39473441,1.39473441
19810226,1.39473441,1.39473441,1.35488486,1.35488486,97,131,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810227,1.35488486,1.37480964,1.35488486,1.37480964,15,21,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.37480964,1.37480964
19810302,1.37480964,1.37480964,1.35488486,1.37480964,623,857,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.37480964,1.37480964
19810303,1.37480964,1.37480964,1.35488486,1.35488486,378,512,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810304,1.35488486,1.35488486,1.34492247,1.35488486,56,76,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810305,1.35488486,1.35488486,1.35488486,1.35488486,189,256,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810306,1.35488486,1.35488486,1.35488486,1.35488486,5,7,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810309,1.35488486,1.35488486,1.35488486,1.35488486,245,332,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810310,1.35488486,1.37480964,1.35488486,1.35488486,745,1009,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.35488486,1.35488486
19810311,1.35488486,1.41465919,1.35488486,1.41465919,56,79,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.41465919,1.41465919
19810312,1.41465919,1.46447113,1.38477202,1.46447113,403,590,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.46447113,1.46447113
19810313,1.46447113,1.50432069,1.46447113,1.50432069,77,116,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.50432069,1.50432069
19810316,1.50432069,1.50432069,1.50432069,1.50432069,5,8,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.50432069,1.50432069
19810317,1.50432069,1.53420785,1.49435830,1.49435830,97,145,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.49435830,1.49435830
19810318,1.50432069,1.52424547,1.50432069,1.52424547,26,40,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.52424547,1.52424547
19810319,1.49435830,1.49435830,1.46447113,1.49435830,107,160,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.49435830,1.49435830
19810320,1.48439591,1.48439591,1.46447113,1.46447113,56,82,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.46447113,1.46447113
19810323,1.49435830,1.55413263,1.49435830,1.55413263,306,476,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Diversified Industrials","Common Stock",1.55413263,1.55413263
