Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19811231,2.00899692,2.03029371,1.98770014,1.98770014,680,1352,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.98770014,1.98770014
19820101,2.00899692,2.03029371,1.98770014,1.98770014,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",35.00000000,1.98770014
19820104,2.03739264,2.06578836,2.00189800,2.05868943,1066,2195,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.05868943,2.05868943
19820105,2.04449157,2.07998622,2.00899692,2.01609585,2408,4855,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.01609585,2.01609585
19820106,2.00899692,2.03029371,1.98060121,2.00189800,2390,4785,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.00189800,2.00189800
19820107,1.99479907,2.00189800,1.98770014,2.00189800,1627,3257,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.00189800,2.00189800
19820108,2.00899692,2.02319478,1.99479907,2.01609585,2110,4254,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.01609585,2.01609585
19820111,2.00899692,2.03029371,1.98060121,1.98060121,2182,4322,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.98060121,1.98060121
19820112,1.97350228,1.98060121,1.95930442,1.96640335,1984,3901,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.96640335,1.96640335
19820113,1.96640335,1.97350228,1.95930442,1.96640335,4651,9146,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.96640335,1.96640335
19820114,1.93800763,1.95220549,1.91671085,1.93800763,2884,5589,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.93800763,1.93800763
19820115,1.93090871,1.93800763,1.92380978,1.92380978,4082,7853,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.92380978,1.92380978
19820118,1.90961192,1.92380978,1.88831513,1.89541406,6235,11818,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.89541406,1.89541406
19820119,1.88831513,1.91671085,1.85991941,1.86701834,4208,7856,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.86701834,1.86701834
19820120,1.84572156,1.86701834,1.82442477,1.85991941,3460,6435,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.85991941,1.85991941
19820121,1.85282049,1.85991941,1.83862263,1.84572156,3402,6279,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.84572156,1.84572156
19820122,1.83862263,1.84572156,1.83152370,1.83152370,2578,4722,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.83152370,1.83152370
19820125,1.84572156,1.85991941,1.82442477,1.83152370,2693,4932,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.83152370,1.83152370
19820126,1.81022691,1.83862263,1.78183119,1.78893012,1872,3349,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.78893012,1.78893012
19820127,1.79602905,1.80312798,1.78183119,1.79602905,2369,4255,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.79602905,1.79602905
19820128,1.88121620,1.94510656,1.81022691,1.94510656,4489,8732,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.94510656,1.94510656
19820129,2.01609585,2.03739264,1.98770014,2.02319478,4324,8748,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",2.02319478,2.02319478
19820201,1.96995282,2.00189800,1.92735924,1.93800763,3151,6107,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Health Insurance","Common Stock",1.93800763,1.93800763
