Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20020122,4.80920023,5.77104028,4.20805020,5.41035026,58,314,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020123,5.77104028,5.77104028,5.77104028,5.77104028,4,23,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020124,5.77104028,5.77104028,4.80920023,4.80920023,42,202,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020125,5.53058027,6.37219031,5.41035026,6.01150029,23,138,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.01150029,6.01150029
20020128,6.85311033,6.85311033,6.85311033,6.85311033,2,14,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020129,6.85311033,6.85311033,6.13173030,6.13173030,6,37,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.13173030,6.13173030
20020130,6.13173030,6.13173030,6.13173030,6.13173030,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.13173030,6.13173030
20020131,6.37219031,6.37219031,6.13173030,6.37219031,12,76,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.37219031,6.37219031
20020201,6.37219031,6.37219031,6.37219031,6.37219031,2,13,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.37219031,6.37219031
20020204,5.16989025,5.16989025,4.80920023,4.80920023,8,38,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020205,3.84736019,5.29012025,3.84736019,4.80920023,24,115,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020206,5.04966024,5.77104028,5.04966024,5.77104028,16,92,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020207,6.01150029,6.01150029,5.53058027,5.53058027,12,66,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.53058027,5.53058027
20020208,5.41035026,6.01150029,5.41035026,6.01150029,52,313,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.01150029,6.01150029
20020211,5.65081027,6.01150029,5.65081027,6.01150029,8,48,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.01150029,6.01150029
20020212,5.65081027,6.01150029,5.65081027,6.01150029,19,114,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.01150029,6.01150029
20020213,6.01150029,6.25196030,5.89127028,6.25196030,23,144,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.25196030,6.25196030
20020214,6.25196030,6.25196030,6.25196030,6.25196030,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.25196030,6.25196030
20020215,6.13173030,6.37219031,6.13173030,6.37219031,8,51,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.37219031,6.37219031
20020218,6.13173030,6.37219031,6.13173030,6.37219031,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",0.53000000,6.37219031
20020219,6.37219031,7.81495038,6.01150029,7.21380035,104,750,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.21380035,7.21380035
20020220,6.85311033,6.85311033,6.85311033,6.85311033,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020221,6.85311033,6.85311033,6.85311033,6.85311033,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020222,7.45426036,7.45426036,7.45426036,7.45426036,1,7,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.45426036,7.45426036
20020225,7.45426036,7.45426036,7.21380035,7.21380035,4,29,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.21380035,7.21380035
20020226,7.45426036,7.45426036,7.45426036,7.45426036,2,15,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.45426036,7.45426036
20020227,7.45426036,7.45426036,7.21380035,7.21380035,8,58,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.21380035,7.21380035
20020228,7.45426036,7.45426036,6.61265032,6.61265032,8,53,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.61265032,6.61265032
20020301,7.21380035,7.45426036,7.21380035,7.45426036,2,15,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.45426036,7.45426036
20020304,7.45426036,8.41610041,7.21380035,8.05541039,27,217,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020305,8.41610041,9.01725043,8.05541039,8.05541039,28,226,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020306,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020307,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020308,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020311,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020312,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020313,8.05541039,8.05541039,8.05541039,8.05541039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020314,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020315,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020318,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020319,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020320,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020321,8.17564039,8.17564039,8.17564039,8.17564039,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.17564039,8.17564039
20020322,7.69472037,7.69472037,7.69472037,7.69472037,8,62,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.69472037,7.69472037
20020325,7.69472037,7.69472037,7.69472037,7.69472037,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.69472037,7.69472037
20020326,7.81495038,7.81495038,7.81495038,7.81495038,2,16,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.81495038,7.81495038
20020327,7.93518038,7.93518038,7.93518038,7.93518038,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.93518038,7.93518038
20020328,7.93518038,7.93518038,7.93518038,7.93518038,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.93518038,7.93518038
20020329,7.93518038,7.93518038,7.93518038,7.93518038,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",0.66000000,7.93518038
20020401,7.93518038,8.05541039,7.93518038,8.05541039,8,64,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.05541039,8.05541039
20020402,8.65656042,8.65656042,8.65656042,8.65656042,1,9,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.65656042,8.65656042
20020403,8.65656042,8.65656042,8.65656042,8.65656042,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.65656042,8.65656042
20020404,8.65656042,8.65656042,7.57449036,7.57449036,4,30,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020405,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020408,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020409,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020410,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020411,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020412,7.57449036,7.57449036,7.57449036,7.57449036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.57449036,7.57449036
20020415,6.85311033,6.85311033,6.85311033,6.85311033,1,7,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020416,6.85311033,6.85311033,6.85311033,6.85311033,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020417,6.85311033,6.85311033,6.85311033,6.85311033,8,55,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020418,6.85311033,6.85311033,6.85311033,6.85311033,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.85311033,6.85311033
20020419,7.21380035,7.21380035,6.61265032,6.97334034,16,112,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.97334034,6.97334034
20020422,6.97334034,6.97334034,6.97334034,6.97334034,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.97334034,6.97334034
20020423,6.97334034,6.97334034,6.97334034,6.97334034,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.97334034,6.97334034
20020424,6.97334034,6.97334034,6.97334034,6.97334034,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.97334034,6.97334034
20020425,7.81495038,7.81495038,7.45426036,7.45426036,19,142,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.45426036,7.45426036
20020426,7.45426036,7.45426036,7.45426036,7.45426036,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.45426036,7.45426036
20020429,6.37219031,6.61265032,6.37219031,6.37219031,23,147,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.37219031,6.37219031
20020430,8.29587040,8.29587040,8.29587040,8.29587040,2,17,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.29587040,8.29587040
20020501,8.29587040,8.29587040,8.29587040,8.29587040,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.29587040,8.29587040
20020502,8.29587040,8.29587040,8.29587040,8.29587040,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.29587040,8.29587040
20020503,8.29587040,8.29587040,8.29587040,8.29587040,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",8.29587040,8.29587040
20020506,7.81495038,7.81495038,7.81495038,7.81495038,2,16,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",7.81495038,7.81495038
20020507,6.13173030,6.13173030,6.13173030,6.13173030,4,25,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.13173030,6.13173030
20020508,6.01150029,6.01150029,5.77104028,5.77104028,8,46,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020509,5.77104028,5.77104028,5.77104028,5.77104028,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020510,5.77104028,5.77104028,5.77104028,5.77104028,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020513,5.77104028,5.77104028,5.77104028,5.77104028,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.77104028,5.77104028
20020514,4.20805020,4.80920023,4.20805020,4.80920023,4,19,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020515,4.80920023,4.80920023,4.80920023,4.80920023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020516,4.20805020,4.20805020,4.20805020,4.20805020,4,17,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020517,4.80920023,4.80920023,4.80920023,4.80920023,2,10,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020520,4.80920023,4.80920023,4.80920023,4.80920023,2,10,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.80920023,4.80920023
20020521,5.41035026,6.61265032,5.41035026,6.61265032,46,304,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",6.61265032,6.61265032
20020522,6.13173030,6.61265032,5.41035026,5.41035026,23,124,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020523,5.41035026,5.41035026,5.41035026,5.41035026,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020524,5.53058027,5.53058027,5.53058027,5.53058027,12,66,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.53058027,5.53058027
20020527,5.53058027,5.53058027,5.53058027,5.53058027,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",0.46000000,5.53058027
20020528,4.44851021,4.44851021,4.44851021,4.44851021,3,13,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.44851021,4.44851021
20020529,4.44851021,4.44851021,2.76529013,3.60690017,45,162,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.60690017,3.60690017
20020530,3.96759019,3.96759019,3.96759019,3.96759019,4,16,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.96759019,3.96759019
20020531,6.13173030,6.13173030,5.41035026,5.41035026,22,119,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020603,5.41035026,5.41035026,5.41035026,5.41035026,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020604,5.41035026,5.41035026,5.41035026,5.41035026,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",5.41035026,5.41035026
20020605,4.32828021,4.32828021,4.32828021,4.32828021,4,17,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.32828021,4.32828021
20020606,4.32828021,4.44851021,3.48667017,3.48667017,44,153,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.48667017,3.48667017
20020607,3.48667017,3.48667017,3.48667017,3.48667017,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.48667017,3.48667017
20020610,3.48667017,3.48667017,3.48667017,3.48667017,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.48667017,3.48667017
20020611,3.48667017,3.48667017,3.48667017,3.48667017,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",3.48667017,3.48667017
20020612,4.68897023,4.68897023,4.68897023,4.68897023,2,9,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020613,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020614,4.20805020,4.20805020,4.20805020,4.20805020,2,8,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020617,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020618,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020619,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020620,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020621,4.20805020,4.68897023,4.20805020,4.20805020,15,63,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020624,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020625,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020626,4.20805020,4.20805020,4.20805020,4.20805020,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.20805020,4.20805020
20020627,4.20805020,4.68897023,4.20805020,4.68897023,21,98,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020628,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020701,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020702,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020703,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020704,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",0.39000000,4.68897023
20020705,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
20020708,4.68897023,4.68897023,4.68897023,4.68897023,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Energy","Energy/Oil & Gas Exploration & Production","Common Stock",4.68897023,4.68897023
