Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150623,16.25000000,16.25000000,16.25000000,16.25000000,1,16,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.25000000,16.25000000
20150624,16.25000000,16.25000000,16.25000000,16.25000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.25000000,16.25000000
20150625,16.25000000,16.25000000,16.25000000,16.25000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.25000000,16.25000000
20150626,16.25000000,16.25000000,16.25000000,16.25000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.25000000,16.25000000
20150629,16.25000000,16.25000000,16.25000000,16.25000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",16.25000000,16.25000000
20150630,15.88000000,15.88000000,15.05000000,15.05000000,202,3040,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",15.05000000,15.05000000
20150701,15.50000000,15.75000000,13.32000000,13.75000000,7112,97790,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.75000000,13.75000000
20150702,13.85000000,14.06000000,12.17000000,12.21000000,8253,100769,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.21000000,12.21000000
20150703,13.85000000,14.06000000,12.17000000,12.21000000,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.21000000,12.21000000
20150706,12.21000000,13.05000000,11.38000000,12.90000000,7335,94622,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.90000000,12.90000000
20150707,12.90000000,13.68000000,12.82000000,13.36000000,6869,91770,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.36000000,13.36000000
20150708,13.60000000,13.79000000,12.48000000,12.79000000,6836,87432,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.79000000,12.79000000
20150709,12.72000000,13.13000000,11.97000000,12.59000000,7221,90912,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.59000000,12.59000000
20150710,12.82000000,13.08000000,12.66000000,12.73000000,3635,46274,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.73000000,12.73000000
20150713,12.65000000,13.09000000,12.65000000,13.09000000,3862,50554,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.09000000,13.09000000
20150714,13.14000000,14.06000000,13.03000000,13.94000000,2002,27908,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.94000000,13.94000000
20150715,13.99000000,14.20000000,13.85000000,13.95000000,2358,32894,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.95000000,13.95000000
20150716,14.13000000,14.20000000,13.97000000,14.11000000,5254,74134,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",14.11000000,14.11000000
20150717,14.10000000,14.10000000,13.88500000,13.94000000,1528,21300,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.94000000,13.94000000
20150720,13.87000000,14.14000000,13.13000000,13.24000000,1013,13412,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",13.24000000,13.24000000
20150721,13.38000000,13.40000000,12.84000000,12.93000000,2796,36152,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.93000000,12.93000000
20150722,12.94000000,13.12000000,12.82000000,12.95000000,801,10373,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.95000000,12.95000000
20150723,13.00000000,13.00000000,12.72000000,12.90000000,2268,29257,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.90000000,12.90000000
20150724,12.79000000,13.01000000,12.71000000,12.86000000,486,6250,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.86000000,12.86000000
20150727,12.75000000,12.90000000,12.57000000,12.74000000,384,4892,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.74000000,12.74000000
20150728,12.86000000,12.89000000,12.55000000,12.77000000,451,5759,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.77000000,12.77000000
20150729,12.79000000,13.13000000,12.10000000,12.35000000,4896,60466,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.35000000,12.35000000
20150730,12.34000000,12.53000000,12.16000000,12.41000000,686,8513,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.41000000,12.41000000
20150731,12.43000000,12.71000000,12.35000000,12.52000000,391,4895,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.52000000,12.52000000
20150803,12.60000000,12.63000000,12.18000000,12.46000000,457,5694,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.46000000,12.46000000
20150804,12.57000000,13.02000000,12.32000000,12.55000000,748,9387,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.55000000,12.55000000
20150805,12.52000000,12.52000000,10.82000000,10.83000000,4490,48627,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.83000000,10.83000000
20150806,10.83000000,10.87000000,9.98000000,10.00000000,1311,13110,N/A,N/A,180620,18062,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.00000000,10.00000000
20150807,9.91000000,10.20000000,9.70000000,10.07000000,9998,100680,N/A,N/A,181885,18062,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.07000000,10.07000000
