Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201210,10.10000000,10.35000000,9.91000000,9.91000000,457,4529,N/A,N/A,0,0,"NYSE","","","Common Stock",9.91000000,9.91000000
20201211,10.18000000,10.40000000,9.93000000,10.20000000,3059,31202,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20000000,10.20000000
20201214,11.25000000,11.25000000,10.29000000,10.56000000,8312,87775,N/A,N/A,0,0,"NYSE","","","Common Stock",10.56000000,10.56000000
20201215,10.70000000,10.70000000,10.18500000,10.21000000,2907,29680,N/A,N/A,0,0,"NYSE","","","Common Stock",10.21000000,10.21000000
20201216,10.31000000,10.35000000,10.16000000,10.25000000,1276,13079,N/A,N/A,0,0,"NYSE","","","Common Stock",10.25000000,10.25000000
20201217,10.23000000,10.35000000,10.21500000,10.35000000,1227,12699,N/A,N/A,0,0,"NYSE","","","Common Stock",10.35000000,10.35000000
20201218,10.50000000,10.50000000,10.30000000,10.37500000,1889,19598,N/A,N/A,0,0,"NYSE","","","Common Stock",10.37500000,10.37500000
20201221,10.43000000,10.49000000,10.37000000,10.42000000,3715,38710,N/A,N/A,0,0,"NYSE","","","Common Stock",10.42000000,10.42000000
20201222,10.50000000,10.60000000,10.30000000,10.35000000,2034,21052,N/A,N/A,0,0,"NYSE","","","Common Stock",10.35000000,10.35000000
20201223,10.38000000,10.40000000,10.15000000,10.24000000,2959,30300,N/A,N/A,0,0,"NYSE","","","Common Stock",10.24000000,10.24000000
20201224,10.35000000,10.44000000,10.24000000,10.34000000,2447,25302,N/A,N/A,0,0,"NYSE","","","Common Stock",10.34000000,10.34000000
20201225,10.35000000,10.44000000,10.24000000,10.34000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.34000000,10.34000000
20201228,10.51000000,10.55500000,10.35000000,10.50000000,5179,54380,N/A,N/A,0,0,"NYSE","","","Common Stock",10.50000000,10.50000000
20201229,10.54000000,10.54000000,10.30000000,10.40000000,3814,39666,N/A,N/A,0,0,"NYSE","","","Common Stock",10.40000000,10.40000000
20201230,10.42000000,10.44000000,10.29000000,10.35000000,1537,15908,N/A,N/A,0,0,"NYSE","","","Common Stock",10.35000000,10.35000000
20201231,10.35000000,10.35000000,10.18000000,10.33000000,1575,16270,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33000000,10.33000000
20210101,10.35000000,10.35000000,10.18000000,10.33000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.33000000,10.33000000
20210104,10.25000000,10.34000000,10.16000000,10.23000000,3043,31130,N/A,N/A,0,0,"NYSE","","","Common Stock",10.23000000,10.23000000
20210105,10.27000000,10.27000000,10.19000000,10.22000000,1221,12479,N/A,N/A,0,0,"NYSE","","","Common Stock",10.22000000,10.22000000
20210106,10.20000000,10.25000000,10.17000000,10.21000000,3222,32897,N/A,N/A,0,0,"NYSE","","","Common Stock",10.21000000,10.21000000
20210107,10.24000000,10.35000000,10.18400000,10.32000000,885,9133,N/A,N/A,0,0,"NYSE","","","Common Stock",10.32000000,10.32000000
20210108,10.38000000,10.44000000,10.30000000,10.37000000,1721,17847,N/A,N/A,0,0,"NYSE","","","Common Stock",10.37000000,10.37000000
20210111,10.38000000,10.42000000,10.28000000,10.41000000,11219,116790,N/A,N/A,0,0,"NYSE","","","Common Stock",10.41000000,10.41000000
20210112,10.45000000,10.59000000,10.35000000,10.58000000,4222,44669,N/A,N/A,0,0,"NYSE","","","Common Stock",10.58000000,10.58000000
20210113,10.65000000,10.88000000,10.48000000,10.63000000,4440,47197,N/A,N/A,0,0,"NYSE","","","Common Stock",10.63000000,10.63000000
20210114,10.73000000,10.85000000,10.62000000,10.66000000,3633,38728,N/A,N/A,0,0,"NYSE","","","Common Stock",10.66000000,10.66000000
20210115,10.65000000,10.78000000,10.46700000,10.56000000,3089,32620,N/A,N/A,0,0,"NYSE","","","Common Stock",10.56000000,10.56000000
