Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20190617,41.00000000,41.00000000,36.00000000,36.57000000,723,26440,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",36.57000000,36.57000000
20190618,36.95000000,38.43000000,36.60000000,38.20000000,5398,206204,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",38.20000000,38.20000000
20190619,38.25000000,40.40000000,38.25000000,39.78000000,21202,843416,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",39.78000000,39.78000000
20190620,40.00000000,40.13000000,39.50000000,40.00000000,12772,510880,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.00000000,40.00000000
20190621,39.12000000,40.25000000,39.12000000,39.65000000,6598,261611,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",39.65000000,39.65000000
20190624,39.50000000,39.80000000,38.50000000,38.51000000,6662,256554,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",38.51000000,38.51000000
20190625,38.43000000,38.43000000,37.08000000,37.65000000,6892,259484,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",37.65000000,37.65000000
20190626,38.90000000,39.72000000,37.74000000,39.03000000,14808,577956,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",39.03000000,39.03000000
20190627,39.11000000,39.60000000,38.35000000,38.59000000,7109,274336,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",38.59000000,38.59000000
20190628,38.50000000,41.42200000,38.08000000,38.78000000,42570,1650865,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",38.78000000,38.78000000
20190701,39.88000000,41.81000000,39.64000000,40.97000000,34521,1414325,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.97000000,40.97000000
20190702,40.56000000,41.72000000,40.01000000,41.61000000,59246,2465226,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",41.61000000,41.61000000
20190703,41.50000000,41.93000000,40.65000000,40.95000000,9461,387428,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.95000000,40.95000000
20190704,41.50000000,41.93000000,40.65000000,40.95000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.95000000,40.95000000
20190705,41.07000000,41.43000000,39.76000000,40.48000000,40862,1654094,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.48000000,40.48000000
20190708,40.20000000,40.55000000,39.82000000,39.98000000,25283,1010814,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",39.98000000,39.98000000
20190709,40.01000000,41.24000000,38.75000000,40.30000000,20643,831913,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.30000000,40.30000000
20190710,40.21000000,40.40000000,39.84000000,40.00000000,10041,401640,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",40.00000000,40.00000000
20190711,39.90000000,41.86000000,39.90000000,41.40000000,15407,637850,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",41.40000000,41.40000000
20190712,41.93000000,44.11000000,41.47000000,43.04000000,11587,498704,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",43.04000000,43.04000000
20190715,43.40000000,44.25000000,43.05000000,44.14000000,19279,850975,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",44.14000000,44.14000000
20190716,44.05000000,44.27500000,43.27000000,43.94000000,15561,683750,N/A,N/A,5862904,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",43.94000000,43.94000000
20190717,44.26000000,44.38700000,43.68000000,43.96000000,12137,533543,N/A,N/A,5865573,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",43.96000000,43.96000000
20190718,43.96000000,45.29000000,43.76000000,45.09000000,20677,932326,N/A,N/A,6016348,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.09000000,45.09000000
20190719,45.12000000,45.52000000,44.68000000,45.20000000,26529,1199111,N/A,N/A,6031026,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.20000000,45.20000000
20190722,45.27000000,46.38000000,44.50000000,44.78000000,17657,790680,N/A,N/A,5974985,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",44.78000000,44.78000000
20190723,45.05000000,45.24000000,44.39000000,45.06000000,10984,494939,N/A,N/A,6012345,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.06000000,45.06000000
20190724,45.26000000,46.42000000,44.51000000,46.22000000,10445,482768,N/A,N/A,6167124,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.22000000,46.22000000
20190725,46.02000000,46.84000000,45.52000000,46.67000000,7006,326970,N/A,N/A,6227167,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.67000000,46.67000000
20190726,47.11000000,47.81000000,46.62000000,47.47000000,7774,369032,N/A,N/A,6333911,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.47000000,47.47000000
20190729,47.47000000,47.88500000,46.73000000,46.97000000,13392,629022,N/A,N/A,6267196,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.97000000,46.97000000
20190730,46.62000000,47.47000000,46.28500000,46.73000000,7709,360242,N/A,N/A,6235173,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.73000000,46.73000000
20190731,47.20000000,47.59000000,46.32000000,46.75000000,8559,400133,N/A,N/A,6237842,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.75000000,46.75000000
20190801,46.75000000,47.99000000,46.65000000,46.88000000,6765,317143,N/A,N/A,6255188,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.88000000,46.88000000
20190802,46.67000000,47.85000000,46.31000000,47.50000000,5494,260965,N/A,N/A,6337914,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.50000000,47.50000000
20190805,46.90000000,47.11000000,46.39000000,46.73000000,11583,541274,N/A,N/A,6235173,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.73000000,46.73000000
20190806,46.82000000,47.88500000,46.10000000,47.76000000,4033,192616,N/A,N/A,6372606,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.76000000,47.76000000
20190807,47.59000000,48.49000000,46.87000000,47.83000000,12356,590987,N/A,N/A,6381946,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.83000000,47.83000000
20190808,47.83000000,48.12000000,46.68000000,47.01000000,13799,648691,N/A,N/A,6272533,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.01000000,47.01000000
20190809,46.88000000,47.22000000,44.58000000,45.01000000,16278,732673,N/A,N/A,6005674,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.01000000,45.01000000
20190812,44.68000000,44.70000000,43.03000000,43.59500000,14110,615125,N/A,N/A,5816871,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",43.59500000,43.59500000
20190813,43.68000000,48.45000000,43.68000000,45.53000000,28568,1300701,N/A,N/A,6075057,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.53000000,45.53000000
20190814,44.88000000,45.66500000,44.02000000,45.42000000,22766,1034032,N/A,N/A,6060380,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.42000000,45.42000000
20190815,45.62000000,45.62000000,43.87000000,44.06000000,15379,677599,N/A,N/A,5878916,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",44.06000000,44.06000000
20190816,43.81000000,44.49000000,43.11000000,43.30000000,12836,555799,N/A,N/A,5777509,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",43.30000000,43.30000000
20190819,43.57000000,44.74000000,43.24000000,44.56000000,7311,325778,N/A,N/A,5945630,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",44.56000000,44.56000000
20190820,44.44000000,47.00000000,44.00000000,46.65000000,6648,310129,N/A,N/A,6224499,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",46.65000000,46.65000000
20190821,46.88000000,48.74000000,46.67000000,48.66000000,9862,479885,N/A,N/A,6492693,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.66000000,48.66000000
20190822,48.70000000,49.06000000,47.80000000,48.29000000,4617,222955,N/A,N/A,6443323,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.29000000,48.29000000
20190823,48.10000000,48.30000000,46.93000000,47.07000000,7822,368182,N/A,N/A,6280539,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.07000000,47.07000000
20190826,47.33000000,47.51000000,46.50000000,47.24000000,5198,245554,N/A,N/A,6303222,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.24000000,47.24000000
20190827,47.61000000,48.31500000,47.01000000,47.07000000,8888,418358,N/A,N/A,6280539,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.07000000,47.07000000
20190828,47.09000000,48.40000000,46.81500000,48.17000000,2789,134346,N/A,N/A,6427312,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.17000000,48.17000000
20190829,48.54000000,48.94000000,47.91000000,48.28000000,4076,196789,N/A,N/A,6441989,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.28000000,48.28000000
20190830,48.46000000,49.37000000,48.45700000,48.85000000,4835,236190,N/A,N/A,6518044,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.85000000,48.85000000
20190902,48.46000000,49.37000000,48.45700000,48.85000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.85000000,48.85000000
20190903,48.76000000,48.85000000,47.13000000,47.95000000,11648,558522,N/A,N/A,6397957,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.95000000,47.95000000
20190904,48.12000000,48.74000000,45.44000000,45.81000000,6012,275410,N/A,N/A,6112418,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.81000000,45.81000000
20190905,46.59000000,47.93000000,46.27000000,47.53000000,8838,420070,N/A,N/A,6341917,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.53000000,47.53000000
20190906,47.56000000,48.28000000,46.98500000,47.92000000,7458,357387,N/A,N/A,6393954,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",47.92000000,47.92000000
20190909,48.16000000,49.96000000,48.02000000,48.61000000,7248,352325,N/A,N/A,6486021,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",48.61000000,48.61000000
20190910,48.01000000,48.44000000,45.51000000,45.97000000,12043,553617,N/A,N/A,6133766,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.97000000,45.97000000
20190911,45.95000000,46.75000000,45.54000000,45.74000000,4498,205739,N/A,N/A,6103078,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.74000000,45.74000000
20190912,45.79000000,46.21000000,45.07000000,45.78000000,6747,308878,N/A,N/A,6108415,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",45.78000000,45.78000000
20190913,45.67000000,45.98000000,44.14000000,44.79000000,9187,411486,N/A,N/A,5976319,133430,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",44.79000000,44.79000000
