Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20030715,4.28917738,4.33339570,4.12999141,4.13883508,2341,9689,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.13883508,4.13883508
20030716,4.15652241,4.22727172,4.14767874,4.17420974,1350,5635,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.17420974,4.17420974
20030717,4.18305340,4.24495905,4.10346042,4.22727172,842,3559,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.22727172,4.22727172
20030718,4.20074073,4.21842806,4.13883508,4.20074073,737,3096,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.20074073,4.20074073
20030721,4.20958439,4.35108303,4.20958439,4.31570837,2372,10237,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.31570837,4.31570837
20030722,4.34223936,4.36877036,4.28917738,4.31570837,1225,5287,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.31570837,4.31570837
20030723,4.32455204,4.67829862,4.32455204,4.61639297,5555,25644,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.61639297,4.61639297
20030724,4.66945496,4.73136061,4.57217465,4.67829862,3487,16313,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.67829862,4.67829862
20030725,4.73136061,4.79326626,4.64292396,4.65176763,7742,36014,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.65176763,4.65176763
20030728,4.74020428,4.77557893,4.56333098,4.56333098,1757,8018,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.56333098,4.56333098
20030729,4.57217465,4.63408030,4.43067601,4.46605067,1454,6494,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.46605067,4.46605067
20030730,4.37761402,4.43067601,4.28033371,4.35992669,1960,8545,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.35992669,4.35992669
20030731,4.44836334,4.45720701,4.29802104,4.38645769,2057,9023,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.38645769,4.38645769
20030801,4.39530135,4.48373800,4.36877036,4.37761402,952,4167,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.37761402,4.37761402
20030804,4.42183235,4.60754931,4.42183235,4.60754931,757,3488,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.60754931,4.60754931
20030805,4.52795632,4.58101831,4.42183235,4.51911266,970,4384,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.51911266,4.51911266
20030806,4.54564365,4.58101831,4.46605067,4.53679999,1895,8597,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.53679999,4.53679999
20030807,4.53679999,4.53679999,4.44836334,4.46605067,1205,5382,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.46605067,4.46605067
20030808,4.51911266,4.72251695,4.46605067,4.61639297,4795,22136,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.61639297,4.61639297
20030811,4.73136061,4.79326626,4.68714229,4.72251695,4929,23277,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.72251695,4.72251695
20030812,4.71367328,4.72251695,4.62523663,4.62523663,2298,10629,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.62523663,4.62523663
20030813,4.63408030,4.79326626,4.54564365,4.73136061,3129,14804,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.73136061,4.73136061
20030814,4.79326626,4.92592123,4.68714229,4.74020428,6200,29389,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.74020428,4.74020428
20030815,4.74020428,4.96129589,4.68714229,4.96129589,538,2669,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.96129589,4.96129589
20030818,4.88170291,4.89939024,4.65176763,4.75789161,3627,17257,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.75789161,4.75789161
20030819,4.75789161,4.86401558,4.68714229,4.86401558,2720,13230,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",4.86401558,4.86401558
20030820,4.89054658,5.05857620,4.88170291,5.05857620,7065,35739,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Gold","Common Stock",5.05857620,5.05857620
