Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210111,10.01000000,10.55000000,9.91000000,10.55000000,2062,21754,N/A,N/A,0,0,"NYSE","","","Common Stock",10.55000000,10.55000000
20210112,10.94000000,10.94000000,10.35000000,10.45000000,433,4525,N/A,N/A,0,0,"NYSE","","","Common Stock",10.45000000,10.45000000
20210113,10.45000000,10.45000000,10.12000000,10.44000000,968,10106,N/A,N/A,0,0,"NYSE","","","Common Stock",10.44000000,10.44000000
20210114,10.95000000,10.95000000,10.05000000,10.37000000,824,8545,N/A,N/A,0,0,"NYSE","","","Common Stock",10.37000000,10.37000000
20210115,10.35000000,10.46300000,10.25000000,10.31000000,48,495,N/A,N/A,0,0,"NYSE","","","Common Stock",10.31000000,10.31000000
20210118,10.35000000,10.46300000,10.25000000,10.31000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.31000000,10.31000000
20210119,10.75000000,10.75000000,10.25000000,10.37000000,422,4376,N/A,N/A,0,0,"NYSE","","","Common Stock",10.37000000,10.37000000
20210120,10.40000000,10.46000000,10.25000000,10.46000000,2728,28535,N/A,N/A,0,0,"NYSE","","","Common Stock",10.46000000,10.46000000
20210121,10.51000000,10.80000000,10.41000000,10.65000000,433,4611,N/A,N/A,0,0,"NYSE","","","Common Stock",10.65000000,10.65000000
20210122,10.50000000,10.74500000,10.50000000,10.65000000,114,1214,N/A,N/A,0,0,"NYSE","","","Common Stock",10.65000000,10.65000000
20210125,10.65000000,10.74600000,10.50000000,10.52000000,3249,34179,N/A,N/A,0,0,"NYSE","","","Common Stock",10.52000000,10.52000000
20210126,10.52000000,10.58000000,10.22000000,10.39000000,2159,22432,N/A,N/A,0,0,"NYSE","","","Common Stock",10.39000000,10.39000000
20210127,10.29000000,10.37000000,10.25000000,10.30000000,1637,16861,N/A,N/A,0,0,"NYSE","","","Common Stock",10.30000000,10.30000000
