Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19961101,23.33508932,23.45921213,19.85965048,20.35614175,123142,2506696,N/A,N/A,0,0,"NYSE","","","Common Stock",20.35614175,20.35614175
19961104,21.84561553,21.84561553,20.72851019,21.22500146,18990,403063,N/A,N/A,0,0,"NYSE","","","Common Stock",21.22500146,21.22500146
19961105,21.47324709,21.96973835,21.34912427,21.59736990,15499,334738,N/A,N/A,0,0,"NYSE","","","Common Stock",21.59736990,21.59736990
19961106,21.72149272,22.46622961,21.47324709,21.96973835,10549,231759,N/A,N/A,0,0,"NYSE","","","Common Stock",21.96973835,21.96973835
19961107,21.59736990,23.70745777,21.47324709,23.58333495,10669,251611,N/A,N/A,0,0,"NYSE","","","Common Stock",23.58333495,23.58333495
19961108,23.83158058,24.82456311,23.70745777,24.57631747,10027,246427,N/A,N/A,0,0,"NYSE","","","Common Stock",24.57631747,24.57631747
19961111,24.82456311,27.55526505,24.70044029,27.55526505,13112,361305,N/A,N/A,0,0,"NYSE","","","Common Stock",27.55526505,27.55526505
19961112,27.67938786,27.92763349,24.45219466,25.19693155,15272,384808,N/A,N/A,0,0,"NYSE","","","Common Stock",25.19693155,25.19693155
19961113,25.07280874,26.56228252,25.07280874,26.06579126,7070,184285,N/A,N/A,0,0,"NYSE","","","Common Stock",26.06579126,26.06579126
19961114,26.06579126,26.18991408,24.82456311,24.82456311,3117,77378,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961115,24.82456311,25.32105437,24.70044029,25.07280874,4072,102096,N/A,N/A,0,0,"NYSE","","","Common Stock",25.07280874,25.07280874
19961118,25.19693155,25.32105437,24.82456311,24.82456311,2237,55533,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961119,24.82456311,24.94868592,23.45921213,23.58333495,4675,110252,N/A,N/A,0,0,"NYSE","","","Common Stock",23.58333495,23.58333495
19961120,23.83158058,25.07280874,23.58333495,24.45219466,2416,59077,N/A,N/A,0,0,"NYSE","","","Common Stock",24.45219466,24.45219466
19961121,24.57631747,25.07280874,23.70745777,24.20394903,3483,84302,N/A,N/A,0,0,"NYSE","","","Common Stock",24.20394903,24.20394903
19961122,24.32807184,25.19693155,24.32807184,24.82456311,3122,77502,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961125,25.07280874,25.19693155,24.82456311,24.94868592,1628,40616,N/A,N/A,0,0,"NYSE","","","Common Stock",24.94868592,24.94868592
19961126,25.07280874,25.19693155,24.45219466,24.82456311,5793,143809,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961127,24.94868592,25.19693155,24.82456311,24.82456311,3031,75243,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961128,24.94868592,25.19693155,24.82456311,24.82456311,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",25.00000000,24.82456311
19961129,24.57631747,24.70044029,24.45219466,24.57631747,262,6439,N/A,N/A,0,0,"NYSE","","","Common Stock",24.57631747,24.57631747
19961202,24.32807184,25.32105437,23.95570340,24.70044029,3740,92380,N/A,N/A,0,0,"NYSE","","","Common Stock",24.70044029,24.70044029
19961203,24.32807184,24.82456311,24.32807184,24.45219466,2511,61399,N/A,N/A,0,0,"NYSE","","","Common Stock",24.45219466,24.45219466
19961204,24.57631747,25.32105437,24.32807184,24.45219466,4474,109399,N/A,N/A,0,0,"NYSE","","","Common Stock",24.45219466,24.45219466
19961205,24.45219466,24.94868592,24.45219466,24.82456311,6108,151628,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961206,23.83158058,24.70044029,23.33508932,24.57631747,3820,93882,N/A,N/A,0,0,"NYSE","","","Common Stock",24.57631747,24.57631747
19961209,24.70044029,25.07280874,24.70044029,25.07280874,2567,64362,N/A,N/A,0,0,"NYSE","","","Common Stock",25.07280874,25.07280874
19961210,25.32105437,25.69342281,24.94868592,25.44517718,2418,61526,N/A,N/A,0,0,"NYSE","","","Common Stock",25.44517718,25.44517718
19961211,25.19693155,25.44517718,24.32807184,24.45219466,5222,127689,N/A,N/A,0,0,"NYSE","","","Common Stock",24.45219466,24.45219466
19961212,24.70044029,25.07280874,24.70044029,24.82456311,3285,81549,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961213,24.94868592,24.94868592,24.70044029,24.82456311,1505,37361,N/A,N/A,0,0,"NYSE","","","Common Stock",24.82456311,24.82456311
19961216,24.70044029,24.70044029,23.83158058,24.07982621,1701,40960,N/A,N/A,0,0,"NYSE","","","Common Stock",24.07982621,24.07982621
19961217,23.58333495,23.58333495,23.21096650,23.33508932,2650,61838,N/A,N/A,0,0,"NYSE","","","Common Stock",23.33508932,23.33508932
19961218,23.33508932,23.58333495,22.34210679,22.83859806,10652,243277,N/A,N/A,0,0,"NYSE","","","Common Stock",22.83859806,22.83859806
19961219,22.96272087,23.08684369,22.09386116,22.46622961,4474,100514,N/A,N/A,0,0,"NYSE","","","Common Stock",22.46622961,22.46622961
19961220,22.83859806,23.83158058,22.83859806,23.58333495,6635,156475,N/A,N/A,0,0,"NYSE","","","Common Stock",23.58333495,23.58333495
19961223,23.70745777,23.83158058,23.33508932,23.83158058,2077,49498,N/A,N/A,0,0,"NYSE","","","Common Stock",23.83158058,23.83158058
19961224,23.83158058,23.83158058,23.45921213,23.58333495,670,15801,N/A,N/A,0,0,"NYSE","","","Common Stock",23.58333495,23.58333495
19961225,23.83158058,23.83158058,23.45921213,23.58333495,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",23.75000000,23.58333495
19961226,23.58333495,23.70745777,23.33508932,23.45921213,2067,48490,N/A,N/A,0,0,"NYSE","","","Common Stock",23.45921213,23.45921213
19961227,23.33508932,23.45921213,23.08684369,23.33508932,380,8867,N/A,N/A,0,0,"NYSE","","","Common Stock",23.33508932,23.33508932
19961230,23.33508932,23.58333495,23.21096650,23.45921213,1400,32843,N/A,N/A,0,0,"NYSE","","","Common Stock",23.45921213,23.45921213
