Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20110209,6.82161235,6.86984598,6.62178735,6.67691149,166370,1110838,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.67691149,6.67691149
20110210,6.51153907,6.82161235,6.38061923,6.78715977,16119,109402,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.78715977,6.78715977
20110211,6.80783132,6.80783132,6.61489683,6.75270718,6220,42002,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.75270718,6.75270718
20110214,7.09723306,7.16613823,6.77337873,6.77337873,3527,23890,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.77337873,6.77337873
20110215,6.84917442,6.84917442,6.62178735,6.75270718,1456,9832,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.75270718,6.75270718
20110216,6.88362701,6.88362701,6.71825459,6.73892614,1533,10331,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.73892614,6.73892614
20110217,6.65623993,6.76648821,6.60800631,6.68380200,1640,10961,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.68380200,6.68380200
20110218,6.68380200,6.76648821,6.62867786,6.66313045,2602,17337,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.66313045,6.66313045
20110221,6.68380200,6.76648821,6.62867786,6.66313045,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",9.67000000,6.66313045
20110222,6.69758304,6.73203563,6.61489683,6.62867786,1550,10274,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.62867786,6.62867786
20110223,6.63556838,6.67002097,6.58044424,6.58733476,1809,11916,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.58733476,6.58733476
20110224,6.62178735,6.71136407,6.45641493,6.60111579,842,5558,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.60111579,6.60111579
20110225,6.54599165,6.79405028,6.54599165,6.75270718,2359,15930,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.75270718,6.75270718
20110228,6.75270718,6.80094080,6.61489683,6.71825459,1831,12301,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.71825459,6.71825459
20110301,6.71825459,6.78715977,6.67002097,6.78715977,1910,12963,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.78715977,6.78715977
20110302,6.67691149,6.82161235,6.67002097,6.78715977,670,4547,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.78715977,6.78715977
20110303,6.82161235,6.82161235,6.70447356,6.75270718,635,4288,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.75270718,6.75270718
20110304,6.72514511,6.81472184,6.72514511,6.80094080,723,4917,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.80094080,6.80094080
20110307,6.80094080,6.80783132,6.64934942,6.79405028,2028,13778,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.79405028,6.79405028
20110308,6.76648821,6.82161235,6.75270718,6.82161235,1270,8663,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.82161235,6.82161235
20110309,6.82161235,6.82161235,6.68380200,6.82161235,652,4448,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.82161235,6.82161235
20110310,6.73203563,6.80094080,6.62867786,6.69758304,1071,7173,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.69758304,6.69758304
20110311,6.64245890,6.77337873,6.64245890,6.73203563,763,5137,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.73203563,6.73203563
20110314,6.71136407,6.78715977,6.67002097,6.70447356,638,4277,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.70447356,6.70447356
20110315,6.69069252,6.82161235,6.58733476,6.76648821,1320,8932,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.76648821,6.76648821
20110316,6.80783132,6.82161235,6.72514511,6.78715977,3139,21305,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.78715977,6.78715977
20110317,6.78715977,6.84228391,6.68380200,6.79405028,1614,10966,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.79405028,6.79405028
20110318,6.82161235,6.86295546,6.75270718,6.79405028,2818,19146,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.79405028,6.79405028
20110321,6.88362701,7.02832788,6.69758304,6.86295546,2538,17418,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.86295546,6.86295546
20110322,6.89051753,6.96631322,6.80783132,6.94564167,1925,13370,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.94564167,6.94564167
20110323,6.95942271,6.95942271,6.75959770,6.87673650,1256,8637,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.87673650,6.87673650
20110324,6.91807960,6.91807960,6.76648821,6.85606494,1335,9153,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.85606494,6.85606494
20110325,6.86295546,6.92497012,6.80783132,6.88362701,962,6622,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.88362701,6.88362701
20110328,6.88362701,6.89051753,6.76648821,6.80094080,1630,11086,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.80094080,6.80094080
20110329,6.82850287,6.86295546,6.75959770,6.79405028,2299,15620,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.79405028,6.79405028
20110330,6.82850287,6.82850287,6.58733476,6.80094080,1656,11262,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.80094080,6.80094080
20110331,6.78715977,6.86984598,6.67691149,6.84917442,25205,172633,N/A,N/A,0,0,"NYSE","Financials","Financials/Commercial REIT","Common Stock",6.84917442,6.84917442
