Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.50932094,0.50932094,0.48988121,0.48988121,2628,1287,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48988121,0.48988121
19800804,0.48988121,0.49376915,0.48988121,0.49376915,180,89,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.49376915,0.49376915
19800805,0.49376915,0.50154505,0.48988121,0.48988121,10584,5185,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48988121,0.48988121
19800806,0.48988121,0.49376915,0.48599326,0.49182518,13428,6604,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.49182518,0.49182518
19800807,0.49182518,0.49182518,0.48988121,0.48988121,1332,653,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48988121,0.48988121
19800808,0.48988121,0.49376915,0.48988121,0.48988121,612,300,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48988121,0.48988121
19800811,0.48988121,0.49376915,0.48210532,0.48599326,2340,1137,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48599326,0.48599326
19800812,0.48210532,0.48210532,0.47432942,0.47432942,7200,3415,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.47432942,0.47432942
19800813,0.47432942,0.48404929,0.47432942,0.48404929,540,261,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48404929,0.48404929
19800814,0.48404929,0.48599326,0.48404929,0.48599326,144,70,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48599326,0.48599326
19800815,0.48404929,0.48404929,0.47821737,0.48404929,1080,523,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48404929,0.48404929
19800818,0.48404929,0.48404929,0.47627340,0.47627340,2088,994,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.47627340,0.47627340
19800819,0.47627340,0.47821737,0.46655353,0.46655353,10548,4921,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.46655353,0.46655353
19800820,0.46655353,0.47044148,0.46266559,0.46655353,900,420,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.46655353,0.46655353
19800821,0.46655353,0.47238545,0.46655353,0.46655353,3780,1764,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.46655353,0.46655353
19800822,0.46655353,0.47044148,0.46266559,0.46655353,900,420,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.46655353,0.46655353
19800825,0.46655353,0.46655353,0.46655353,0.46655353,144,67,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.46655353,0.46655353
19800826,0.47044148,0.48599326,0.47044148,0.48404929,1116,540,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48404929,0.48404929
19800827,0.48210532,0.48210532,0.48210532,0.48210532,2952,1423,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48210532,0.48210532
19800828,0.48210532,0.48599326,0.48210532,0.48210532,3240,1562,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.48210532,0.48210532
19800829,0.48210532,0.49765710,0.48210532,0.49765710,1440,717,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.49765710,0.49765710
19800901,0.48210532,0.49765710,0.48210532,0.49765710,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",32.00000000,0.49765710
19800902,0.49765710,0.51515286,0.49765710,0.51126491,6444,3295,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.51126491,0.51126491
19800903,0.51320888,0.52098478,0.51320888,0.51320888,4212,2162,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.51320888,0.51320888
19800904,0.51709683,0.52487272,0.51709683,0.52487272,612,321,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Advertising & Marketing","Common Stock",0.52487272,0.52487272
