Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20200618,10.75000000,11.50000000,10.70000000,10.80400000,4747,51287,N/A,N/A,0,0,"NYSE","","","Common Stock",10.80400000,10.80400000
20200619,11.40000000,11.40000000,10.83000000,10.93000000,574,6274,N/A,N/A,0,0,"NYSE","","","Common Stock",10.93000000,10.93000000
20200622,11.11000000,12.82500000,10.90000000,11.36000000,5298,60185,N/A,N/A,0,0,"NYSE","","","Common Stock",11.36000000,11.36000000
20200623,11.65000000,12.23000000,11.25000000,11.61000000,3217,37349,N/A,N/A,0,0,"NYSE","","","Common Stock",11.61000000,11.61000000
20200624,11.86000000,11.86000000,11.15000000,11.25000000,2148,24165,N/A,N/A,0,0,"NYSE","","","Common Stock",11.25000000,11.25000000
20200625,11.12000000,11.40000000,11.12000000,11.37000000,2178,24764,N/A,N/A,0,0,"NYSE","","","Common Stock",11.37000000,11.37000000
20200626,11.64000000,11.64000000,11.10000000,11.28000000,1041,11742,N/A,N/A,0,0,"NYSE","","","Common Stock",11.28000000,11.28000000
20200629,11.39000000,12.07000000,11.36000000,11.68000000,3060,35741,N/A,N/A,0,0,"NYSE","","","Common Stock",11.68000000,11.68000000
20200630,12.09000000,12.09000000,11.60000000,11.75000000,3954,46460,N/A,N/A,0,0,"NYSE","","","Common Stock",11.75000000,11.75000000
20200701,11.75000000,11.80000000,11.61000000,11.61000000,2642,30674,N/A,N/A,0,0,"NYSE","","","Common Stock",11.61000000,11.61000000
20200702,11.75000000,11.75000000,11.46000000,11.48000000,2282,26197,N/A,N/A,0,0,"NYSE","","","Common Stock",11.48000000,11.48000000
20200703,11.75000000,11.75000000,11.46000000,11.48000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",11.48000000,11.48000000
20200706,11.75000000,11.75000000,11.40000000,11.40000000,2777,31658,N/A,N/A,0,0,"NYSE","","","Common Stock",11.40000000,11.40000000
20200707,11.75000000,11.75000000,11.30000000,11.40000000,2200,25080,N/A,N/A,0,0,"NYSE","","","Common Stock",11.40000000,11.40000000
20200708,11.57000000,11.57000000,11.30000000,11.45000000,2063,23621,N/A,N/A,0,0,"NYSE","","","Common Stock",11.45000000,11.45000000
20200709,11.70000000,11.74000000,11.55000000,11.63000000,1671,19434,N/A,N/A,0,0,"NYSE","","","Common Stock",11.63000000,11.63000000
20200710,11.75000000,11.80000000,11.60000000,11.80000000,4334,51141,N/A,N/A,0,0,"NYSE","","","Common Stock",11.80000000,11.80000000
20200713,12.00000000,12.15000000,11.45000000,11.48000000,15922,182785,N/A,N/A,0,0,"NYSE","","","Common Stock",11.48000000,11.48000000
20200714,11.60000000,11.60000000,11.38000000,11.45000000,1475,16889,N/A,N/A,0,0,"NYSE","","","Common Stock",11.45000000,11.45000000
20200715,11.66000000,11.66000000,11.40000000,11.64000000,1735,20195,N/A,N/A,0,0,"NYSE","","","Common Stock",11.64000000,11.64000000
20200716,11.75000000,12.05000000,11.70000000,12.00000000,2247,26964,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200717,12.05000000,12.14000000,11.88000000,12.00000000,2202,26424,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200720,12.01000000,12.15000000,11.70000000,11.93000000,3043,36303,N/A,N/A,0,0,"NYSE","","","Common Stock",11.93000000,11.93000000
20200721,12.17000000,12.45000000,11.93000000,12.00000000,4910,58920,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200722,12.27000000,12.34000000,11.90000000,12.05000000,10083,121500,N/A,N/A,0,0,"NYSE","","","Common Stock",12.05000000,12.05000000
20200723,12.14000000,12.17000000,11.60000000,11.95000000,4748,56739,N/A,N/A,0,0,"NYSE","","","Common Stock",11.95000000,11.95000000
20200724,12.02000000,12.02000000,11.85000000,11.92500000,2036,24279,N/A,N/A,0,0,"NYSE","","","Common Stock",11.92500000,11.92500000
20200727,12.32000000,12.32000000,11.86000000,12.00000000,4841,58092,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200728,12.05000000,12.10000000,11.85000000,11.87000000,1231,14612,N/A,N/A,0,0,"NYSE","","","Common Stock",11.87000000,11.87000000
20200729,11.90000000,12.00000000,11.55000000,11.68000000,2902,33895,N/A,N/A,0,0,"NYSE","","","Common Stock",11.68000000,11.68000000
20200730,11.65000000,11.80000000,11.27000000,11.29000000,5725,64635,N/A,N/A,0,0,"NYSE","","","Common Stock",11.29000000,11.29000000
20200731,11.37000000,11.37000000,10.80000000,10.85000000,5500,59675,N/A,N/A,0,0,"NYSE","","","Common Stock",10.85000000,10.85000000
20200803,11.13000000,11.17500000,10.83000000,10.84000000,3277,35523,N/A,N/A,0,0,"NYSE","","","Common Stock",10.84000000,10.84000000
20200804,10.90000000,10.99000000,10.81000000,10.99000000,1187,13045,N/A,N/A,0,0,"NYSE","","","Common Stock",10.99000000,10.99000000
20200805,11.05000000,11.18000000,10.90000000,11.04000000,1336,14749,N/A,N/A,0,0,"NYSE","","","Common Stock",11.04000000,11.04000000
20200806,11.09000000,11.15000000,10.94000000,11.03500000,1269,14003,N/A,N/A,0,0,"NYSE","","","Common Stock",11.03500000,11.03500000
20200807,11.08000000,11.11000000,10.91000000,10.99000000,3051,33530,N/A,N/A,0,0,"NYSE","","","Common Stock",10.99000000,10.99000000
20200810,11.19000000,11.19000000,10.91000000,10.91000000,1546,16867,N/A,N/A,0,0,"NYSE","","","Common Stock",10.91000000,10.91000000
20200811,11.08000000,11.13000000,10.85000000,10.88000000,7731,84113,N/A,N/A,0,0,"NYSE","","","Common Stock",10.88000000,10.88000000
20200812,10.96000000,10.97000000,10.80000000,10.85000000,4321,46883,N/A,N/A,0,0,"NYSE","","","Common Stock",10.85000000,10.85000000
20200813,10.90000000,11.00000000,10.76000000,10.86000000,2924,31755,N/A,N/A,0,0,"NYSE","","","Common Stock",10.86000000,10.86000000
20200814,10.85000000,11.14000000,10.85000000,10.97000000,1132,12418,N/A,N/A,0,0,"NYSE","","","Common Stock",10.97000000,10.97000000
20200817,11.00000000,11.12900000,10.98000000,11.05000000,2285,25249,N/A,N/A,0,0,"NYSE","","","Common Stock",11.05000000,11.05000000
20200818,11.08000000,11.10000000,10.82000000,10.85000000,3833,41588,N/A,N/A,0,0,"NYSE","","","Common Stock",10.85000000,10.85000000
20200819,11.00000000,11.00000000,10.78000000,10.90000000,4110,44799,N/A,N/A,0,0,"NYSE","","","Common Stock",10.90000000,10.90000000
20200820,11.00000000,11.00000000,10.75000000,10.78000000,1423,15340,N/A,N/A,0,0,"NYSE","","","Common Stock",10.78000000,10.78000000
20200821,10.85000000,10.97000000,10.68000000,10.94000000,1413,15458,N/A,N/A,0,0,"NYSE","","","Common Stock",10.94000000,10.94000000
20200824,10.99000000,11.05000000,10.80000000,10.98000000,2121,23289,N/A,N/A,0,0,"NYSE","","","Common Stock",10.98000000,10.98000000
20200825,11.00000000,11.00000000,10.70000000,10.80000000,2528,27302,N/A,N/A,0,0,"NYSE","","","Common Stock",10.80000000,10.80000000
20200826,10.91000000,10.91000000,10.70000000,10.75000000,1328,14276,N/A,N/A,0,0,"NYSE","","","Common Stock",10.75000000,10.75000000
20200827,10.80000000,10.80000000,10.55000000,10.61000000,2980,31618,N/A,N/A,0,0,"NYSE","","","Common Stock",10.61000000,10.61000000
20200828,10.85000000,10.85000000,10.65000000,10.80000000,5541,59843,N/A,N/A,0,0,"NYSE","","","Common Stock",10.80000000,10.80000000
20200831,10.94000000,10.94000000,10.70000000,10.73000000,1352,14507,N/A,N/A,0,0,"NYSE","","","Common Stock",10.73000000,10.73000000
20200901,10.81000000,10.90000000,10.75000000,10.90000000,1963,21397,N/A,N/A,0,0,"NYSE","","","Common Stock",10.90000000,10.90000000
20200902,10.95000000,11.20000000,10.83000000,11.11000000,7180,79770,N/A,N/A,0,0,"NYSE","","","Common Stock",11.11000000,11.11000000
20200903,11.20000000,11.36300000,10.95000000,11.19000000,4158,46528,N/A,N/A,0,0,"NYSE","","","Common Stock",11.19000000,11.19000000
20200904,11.40000000,12.19000000,11.11000000,12.00000000,9911,118932,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200907,11.40000000,12.19000000,11.11000000,12.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200908,11.97000000,12.00000000,11.81000000,12.00000000,3199,38388,N/A,N/A,0,0,"NYSE","","","Common Stock",12.00000000,12.00000000
20200909,12.05000000,12.15000000,11.90000000,11.92000000,2314,27583,N/A,N/A,0,0,"NYSE","","","Common Stock",11.92000000,11.92000000
