Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210426,9.71000000,9.71000000,9.71000000,9.71000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210427,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210428,10.00000000,10.01000000,10.00000000,10.01000000,21,210,N/A,N/A,0,0,"NYSE","","","Common Stock",10.01000000,10.01000000
20210429,10.71000000,10.71000000,9.90000000,10.01000000,89,891,N/A,N/A,0,0,"NYSE","","","Common Stock",10.01000000,10.01000000
20210430,9.92000000,9.92000000,9.92000000,9.92000000,15,149,N/A,N/A,0,0,"NYSE","","","Common Stock",9.92000000,9.92000000
20210503,9.92000000,9.92000000,9.92000000,9.92000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.92000000,9.92000000
20210504,9.75000000,9.75000000,9.70000000,9.70000000,5,48,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210505,9.75000000,9.75000000,9.75000000,9.75000000,315,3071,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210506,9.75000000,9.85000000,9.75000000,9.85000000,731,7200,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210507,9.86000000,9.90000000,9.75000000,9.78000000,23,225,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210510,10.00000000,10.00000000,9.83000000,9.83000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210511,9.83000000,9.83000000,9.83000000,9.83000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210512,9.83000000,9.83000000,9.83000000,9.83000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210513,9.83000000,9.83000000,9.83000000,9.83000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83000000,9.83000000
20210514,9.75000000,9.75000000,9.75000000,9.75000000,131,1277,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210517,9.73000000,9.73000000,9.72000000,9.73000000,56,545,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210518,9.72000000,9.72000000,9.72000000,9.72000000,10,97,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210519,9.72000000,9.85000000,9.72000000,9.85000000,897,8835,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210520,9.76000000,9.76000000,9.76000000,9.76000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210521,9.76000000,9.76000000,9.74000000,9.74000000,50,487,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210524,9.74000000,9.74000000,9.74000000,9.74000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210525,9.73000000,9.74000000,9.72000000,9.74000000,50,487,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210526,9.93500000,10.00000000,9.83000000,9.86000000,73,720,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210527,9.86000000,9.86000000,9.86000000,9.86000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210528,9.94000000,9.94000000,9.73000000,9.73000000,81,788,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210531,9.94000000,9.94000000,9.73000000,9.73000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210601,9.75000000,9.75000000,9.75000000,9.75000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210602,9.80000000,9.80000000,9.73000000,9.78000000,51,499,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210603,9.80000000,9.80000000,9.71000000,9.71000000,169,1641,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210604,9.72000000,9.72000000,9.72000000,9.72000000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210607,9.72000000,9.72000000,9.71000000,9.72000000,81,787,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210608,9.71000000,9.72000000,9.71000000,9.72000000,118,1147,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210609,9.70000000,9.70000000,9.70000000,9.70000000,51,495,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210610,9.70000000,9.72000000,9.70000000,9.70000000,26,252,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210611,9.77000000,9.77000000,9.77000000,9.77000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210614,9.70000000,9.70000000,9.70000000,9.70000000,30,291,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210615,9.70000000,9.70000000,9.70000000,9.70000000,8,78,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210616,9.74000000,9.74000000,9.74000000,9.74000000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210617,9.74000000,9.74000000,9.74000000,9.74000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210618,9.75000000,9.75000000,9.75000000,9.75000000,10,98,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210621,9.72500000,9.75000000,9.72500000,9.75000000,35,341,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210622,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210623,9.77000000,9.77000000,9.77000000,9.77000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210624,9.71000000,9.75000000,9.71000000,9.75000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210625,9.78000000,9.78000000,9.74000000,9.74000000,27,263,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210628,9.71000000,9.72000000,9.71000000,9.71000000,9,87,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210629,9.70000000,9.72500000,9.70000000,9.70000000,211,2047,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210630,9.70000000,9.70000000,9.70000000,9.70000000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210701,9.70000000,9.70000000,9.70000000,9.70000000,239,2318,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210702,9.69100000,9.78000000,9.69000000,9.78000000,67,655,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210705,9.69100000,9.78000000,9.69000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210706,9.80000000,9.80000000,9.69000000,9.70000000,96,931,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210707,9.70000000,9.70000000,9.70000000,9.70000000,11,107,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
