Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210426,9.71000000,9.71000000,9.71000000,9.71000000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210427,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210428,10.00000000,10.00000000,9.80000000,9.80000000,18,176,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210429,9.77000000,9.99000000,9.77000000,9.85000000,104,1024,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210430,9.85000000,9.85000000,9.85000000,9.85000000,10,98,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210503,9.74000000,9.74000000,9.74000000,9.74000000,47,458,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210504,9.73000000,9.74000000,9.73000000,9.74000000,21,205,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210505,9.74000000,9.78000000,9.74000000,9.78000000,31,303,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210506,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210507,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210510,9.74000000,9.77000000,9.74000000,9.75000000,230,2243,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210511,9.75000000,9.76000000,9.70000000,9.76000000,827,8072,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210512,9.76000000,9.77000000,9.75800000,9.77000000,8,78,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210513,9.75000000,9.75000000,9.75000000,9.75000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210514,9.75000000,9.75000000,9.75000000,9.75000000,42,410,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210517,9.75000000,9.75000000,9.74000000,9.74000000,34,331,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210518,9.75000000,9.75000000,9.75000000,9.75000000,99,965,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210519,9.74000000,9.74000000,9.74000000,9.74000000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210520,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210521,9.74000000,9.74000000,9.73000000,9.73000000,347,3376,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210524,9.73000000,9.73000000,9.73000000,9.73000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210525,9.73000000,9.73000000,9.73000000,9.73000000,50,487,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210526,9.75000000,9.75000000,9.73500000,9.75000000,95,926,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210527,9.73000000,9.75000000,9.72000000,9.72000000,150,1458,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210528,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210531,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210601,9.75000000,9.75000000,9.75000000,9.75000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210602,9.75000000,9.75000000,9.70000000,9.72000000,182,1769,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210603,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210604,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210607,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210608,9.72000000,9.72000000,9.72000000,9.72000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20210609,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210610,9.75000000,9.75000000,9.75000000,9.75000000,8,78,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210611,9.75000000,9.75000000,9.73500000,9.75000000,86,839,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210614,9.72000000,9.72000000,9.71000000,9.71000000,34,330,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210615,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210616,9.71000000,9.71000000,9.71000000,9.71000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210617,9.71000000,9.71000000,9.70000000,9.70000000,346,3356,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210618,9.74000000,9.74000000,9.74000000,9.74000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210621,9.70000000,9.74000000,9.70000000,9.70000000,11,107,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210622,9.74000000,9.74000000,9.74000000,9.74000000,12,117,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210623,9.74000000,9.74000000,9.74000000,9.74000000,3,29,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210624,9.71000000,9.74000000,9.71000000,9.74000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210625,9.74000000,9.74000000,9.74000000,9.74000000,8,78,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210628,9.71000000,9.71000000,9.70000000,9.70000000,5,48,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210629,9.74000000,9.74000000,9.70000000,9.70000000,79,766,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210630,9.70000000,9.70000000,9.70000000,9.70000000,5,48,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210701,9.70000000,9.70000000,9.70000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210702,9.69000000,9.70000000,9.69000000,9.70000000,5,48,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210705,9.69000000,9.70000000,9.69000000,9.70000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210706,9.75000000,9.75000000,9.70000000,9.70000000,157,1523,N/A,N/A,0,0,"NYSE","","","Common Stock",9.70000000,9.70000000
20210707,9.65000000,9.69000000,9.65000000,9.69000000,11,107,N/A,N/A,0,0,"NYSE","","","Common Stock",9.69000000,9.69000000
