Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20090701,4.54031224,4.54264180,4.48440281,4.54264180,799,3630,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.54264180,4.54264180
20090702,4.52633488,4.62417640,4.52633488,4.57059652,2561,11705,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.57059652,4.57059652
20090703,4.52633488,4.62417640,4.52633488,4.57059652,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",19.62000000,4.57059652
20090706,4.60088080,4.62417640,4.54264180,4.55428960,1371,6244,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.55428960,4.55428960
20090707,4.54264180,4.58923300,4.54264180,4.54497136,868,3945,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.54497136,4.54497136
20090708,4.54497136,4.61019904,4.54264180,4.54264180,1218,5533,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.54264180,4.54264180
20090709,4.56127828,4.60088080,4.55196004,4.56593740,967,4415,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.56593740,4.56593740
20090710,4.58224432,4.64048332,4.55196004,4.57758520,761,3484,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.57758520,4.57758520
20090713,4.57991476,4.60786948,4.54963048,4.60088080,807,3713,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.60088080,4.60088080
20090714,4.60321036,4.61252860,4.55428960,4.61252860,766,3533,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.61252860,4.61252860
20090715,4.56593740,4.64747200,4.56593740,4.62417640,1678,7759,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.62417640,4.62417640
20090716,4.62417640,4.62417640,4.58923300,4.61019904,1506,6943,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.61019904,4.61019904
20090717,4.61019904,4.65679024,4.60088080,4.63582420,1097,5085,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.63582420,4.63582420
20090720,4.65911980,4.65911980,4.60553992,4.64747200,377,1752,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64747200,4.64747200
20090721,4.64747200,4.65911980,4.60088080,4.63116508,665,3080,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.63116508,4.63116508
20090722,4.62417640,4.66610848,4.61718772,4.66610848,810,3780,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.66610848,4.66610848
20090723,4.67076760,4.67076760,4.62417640,4.66610848,2668,12449,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.66610848,4.66610848
20090724,4.67309716,4.67309716,4.60321036,4.60321036,1404,6463,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.60321036,4.60321036
20090727,4.66843804,4.67076760,4.64281288,4.67076760,4079,19052,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.67076760,4.67076760
20090728,4.61019904,4.66843804,4.61019904,4.65911980,598,2786,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65911980,4.65911980
20090729,4.65911980,4.67542672,4.65911980,4.67076760,575,2686,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.67076760,4.67076760
20090730,4.67076760,4.67076760,4.61485816,4.65911980,557,2595,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65911980,4.65911980
20090731,4.62417640,4.66610848,4.61485816,4.65911980,899,4189,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65911980,4.65911980
20090803,4.65911980,4.66144936,4.62883552,4.66144936,580,2704,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.66144936,4.66144936
20090804,4.62650596,4.65911980,4.62650596,4.64747200,638,2965,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64747200,4.64747200
20090805,4.63116508,4.65911980,4.61485816,4.64747200,2589,12032,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64747200,4.64747200
20090806,4.62883552,4.67542672,4.62883552,4.64747200,798,3709,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64747200,4.64747200
20090807,4.64980156,4.69406320,4.64048332,4.68940408,1043,4891,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68940408,4.68940408
20090810,4.67076760,4.70571100,4.65911980,4.67076760,567,2648,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.67076760,4.67076760
20090811,4.67076760,4.67076760,4.61252860,4.66377892,725,3381,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.66377892,4.66377892
20090812,4.66377892,4.66377892,4.64048332,4.64980156,296,1376,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64980156,4.64980156
20090813,4.64747200,4.69173364,4.61485816,4.65213112,676,3145,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65213112,4.65213112
20090814,4.65679024,4.67076760,4.65213112,4.67076760,579,2704,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.67076760,4.67076760
20090817,4.62883552,4.65911980,4.62883552,4.64281288,561,2605,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.64281288,4.64281288
20090818,4.65911980,4.68707452,4.63815376,4.65911980,1285,5987,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65911980,4.65911980
20090819,4.65213112,4.70105188,4.64514244,4.65679024,863,4019,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.65679024,4.65679024
20090820,4.64747200,4.71037012,4.64747200,4.69639276,1643,7716,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.69639276,4.69639276
20090821,4.69872232,4.71735880,4.66843804,4.68241540,966,4523,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68241540,4.68241540
20090824,4.71269968,4.71269968,4.65911980,4.68241540,1442,6752,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68241540,4.68241540
20090825,4.66843804,4.66843804,4.64281288,4.66610848,1380,6439,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.66610848,4.66610848
20090826,4.67542672,4.71502924,4.66843804,4.69173364,1757,8243,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.69173364,4.69173364
20090827,4.68241540,4.69872232,4.67775628,4.68707452,682,3197,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68707452,4.68707452
20090828,4.68008584,4.69872232,4.67542672,4.68241540,638,2987,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68241540,4.68241540
20090831,4.67542672,4.70105188,4.67542672,4.68474496,292,1368,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68474496,4.68474496
20090901,4.68241540,4.71502924,4.67775628,4.68241540,857,4013,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.68241540,4.68241540
20090902,4.68241540,4.70105188,4.67775628,4.69639276,479,2250,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.69639276,4.69639276
20090903,4.70571100,4.70571100,4.65911980,4.69639276,819,3846,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.69639276,4.69639276
20090904,4.70338144,4.88741667,4.69406320,4.88275755,1168,5703,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.88275755,4.88275755
20090907,4.70338144,4.88741667,4.69406320,4.88275755,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",20.96000000,4.88275755
20090908,4.86878019,4.93400787,4.71968836,4.83383679,1543,7459,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.83383679,4.83383679
20090909,4.84548459,4.88741667,4.70105188,4.72201792,1728,8160,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.72201792,4.72201792
20090910,4.74065439,4.80821163,4.71269968,4.75230219,670,3184,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.75230219,4.75230219
20090911,4.76394999,4.92468963,4.76394999,4.91071227,2844,13966,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.91071227,4.91071227
20090914,4.89207579,5.07611102,4.81520031,5.05514498,1154,5834,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.05514498,5.05514498
20090915,5.03184938,5.08542926,4.93633743,5.00855378,1235,6186,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.00855378,5.00855378
20090916,4.98059906,5.11338398,4.97361038,5.11338398,789,4034,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.11338398,5.11338398
20090917,5.11338398,5.12503178,4.88042799,5.02719026,1427,7174,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.02719026,5.02719026
20090918,4.99690598,5.13202046,4.95963302,5.13202046,1113,5712,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.13202046,5.13202046
20090921,5.05514498,5.11338398,5.00855378,5.10406574,621,3170,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.10406574,5.10406574
20090922,5.09707706,5.14832738,5.09241794,5.11338398,1995,10201,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.11338398,5.11338398
20090923,5.16696386,5.16696386,5.04815630,5.10872486,1224,6253,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.10872486,5.10872486
20090924,5.12503178,5.12503178,4.96895126,5.03184938,1043,5248,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",5.03184938,5.03184938
20090925,4.98525818,5.07145190,4.95264435,4.98991730,271,1352,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.98991730,4.98991730
20090928,5.04116762,5.08077014,4.95031479,4.98292862,671,3344,N/A,N/A,0,0,"NYSE","Financials","Financials/Diversified REIT","Common Stock",4.98292862,4.98292862
