Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19930503,0.73764940,0.76223772,0.72535525,0.74994356,8592,6444,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.74994356,0.74994356
19930504,0.74994356,0.74994356,0.71306109,0.73764940,11880,8763,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.73764940,0.73764940
19930505,0.71306109,0.76223772,0.71306109,0.73764940,12984,9578,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.73764940,0.73764940
19930506,0.72535525,0.79912019,0.72535525,0.79912019,18768,14998,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.79912019,0.79912019
19930507,0.79912019,0.83600266,0.78682603,0.83600266,12136,10146,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930510,0.83600266,0.86366451,0.82370850,0.86059097,9400,8090,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.86059097,0.86059097
19930511,0.86059097,0.86059097,0.81141434,0.84829681,7688,6522,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.84829681,0.84829681
19930512,0.84829681,0.85137035,0.78682603,0.78682603,5328,4192,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930513,0.83600266,0.83600266,0.78375249,0.82370850,2552,2102,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.82370850,0.82370850
19930514,0.78682603,0.82370850,0.78682603,0.82370850,2072,1707,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.82370850,0.82370850
19930517,0.82370850,0.83600266,0.78682603,0.81141434,4608,3739,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930518,0.83600266,0.83600266,0.79912019,0.81141434,2784,2259,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930519,0.79912019,0.83600266,0.79912019,0.81141434,1648,1337,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930520,0.81141434,0.83600266,0.81141434,0.83600266,5152,4307,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930521,0.83600266,0.88517928,0.81141434,0.88517928,8384,7421,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930524,0.84829681,0.87288513,0.83600266,0.87288513,4056,3540,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.87288513,0.87288513
19930525,0.87288513,0.87288513,0.81141434,0.86059097,3032,2609,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.86059097,0.86059097
19930526,0.86059097,0.87288513,0.81141434,0.83600266,12280,10266,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930527,0.84829681,0.86059097,0.79912019,0.79912019,11328,9052,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.79912019,0.79912019
19930528,0.78682603,0.81141434,0.76223772,0.76223772,10624,8098,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.76223772,0.76223772
19930531,0.78682603,0.81141434,0.76223772,0.76223772,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",7.75000000,0.76223772
19930601,0.78682603,0.78682603,0.73764940,0.73764940,18840,13897,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.73764940,0.73764940
19930602,0.73764940,0.73764940,0.61470784,0.67617862,22392,15141,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.67617862,0.67617862
19930603,0.67617862,0.68847278,0.63929615,0.68847278,5256,3619,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.68847278,0.68847278
19930604,0.66388446,0.78682603,0.66388446,0.78682603,4824,3796,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930607,0.81141434,0.81141434,0.73764940,0.78682603,9640,7585,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930608,0.81141434,0.81141434,0.74994356,0.81141434,4704,3817,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930609,0.81141434,0.83600266,0.78682603,0.83600266,6272,5243,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930610,0.83600266,0.86059097,0.78682603,0.83600266,2328,1946,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930611,0.83600266,0.86059097,0.78682603,0.78682603,2344,1844,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930614,0.83600266,0.83600266,0.78682603,0.79297311,2448,1941,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.79297311,0.79297311
19930615,0.78682603,0.81141434,0.73764940,0.81141434,5120,4154,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930616,0.81141434,0.81141434,0.76223772,0.78682603,1880,1479,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930617,0.81141434,0.81141434,0.76223772,0.78682603,2472,1945,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930618,0.81141434,0.81141434,0.76223772,0.78682603,1040,818,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930621,0.81141434,0.81141434,0.76223772,0.78682603,760,598,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930622,0.78682603,0.82370850,0.73764940,0.78682603,6984,5495,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930623,0.79912019,0.87288513,0.76223772,0.81141434,16144,13099,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.81141434,0.81141434
19930624,0.87288513,0.95894422,0.81141434,0.88517928,14632,12952,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930625,0.88517928,0.93435591,0.86059097,0.88517928,8896,7875,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930628,0.88517928,0.93435591,0.88517928,0.93435591,9400,8783,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.93435591,0.93435591
19930629,0.93435591,0.93435591,0.88517928,0.93435591,8848,8267,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.93435591,0.93435591
19930630,0.90976760,0.95894422,0.90976760,0.95894422,8768,8408,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.95894422,0.95894422
19930701,0.95894422,0.98353254,0.93435591,0.93435591,2624,2452,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.93435591,0.93435591
19930702,0.97123838,0.98353254,0.93435591,0.93435591,3152,2945,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.93435591,0.93435591
19930705,0.97123838,0.98353254,0.93435591,0.93435591,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.50000000,0.93435591
19930706,0.98353254,0.98353254,0.88517928,0.88517928,2160,1912,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930707,0.86059097,0.90976760,0.86059097,0.88517928,2104,1862,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930708,0.88517928,0.88517928,0.84829681,0.88517928,200,177,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930709,0.84829681,0.90976760,0.84829681,0.90976760,1144,1041,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.90976760,0.90976760
19930712,0.90976760,0.90976760,0.88517928,0.88517928,2160,1912,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930713,0.88517928,0.90976760,0.88517928,0.88517928,776,687,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930714,0.90976760,0.93435591,0.88517928,0.88517928,1264,1119,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930715,0.86059097,0.90976760,0.83600266,0.86059097,1656,1425,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.86059097,0.86059097
19930716,0.88517928,0.88517928,0.83600266,0.83600266,320,268,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930719,0.83600266,0.88517928,0.78682603,0.79912019,2928,2340,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.79912019,0.79912019
19930720,0.83600266,0.83600266,0.78682603,0.78682603,1312,1032,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.78682603,0.78682603
19930721,0.83600266,0.83600266,0.78682603,0.83600266,3080,2575,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930722,0.83600266,0.83600266,0.81141434,0.83600266,1104,923,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930723,0.81141434,0.86059097,0.81141434,0.86059097,4864,4186,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.86059097,0.86059097
19930726,0.82370850,0.88517928,0.82370850,0.83600266,624,522,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.83600266,0.83600266
19930727,0.83600266,0.88517928,0.83600266,0.88517928,2200,1947,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.88517928,0.88517928
19930728,0.86059097,0.90976760,0.83600266,0.87288513,5128,4476,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.87288513,0.87288513
19930729,0.76223772,0.81141434,0.63929615,0.65159031,27352,17822,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.65159031,0.65159031
19930730,0.68847278,0.68847278,0.63929615,0.63929615,19040,12172,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",0.63929615,0.63929615
