Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19970717,25.53119857,26.61399494,24.73334861,26.27205924,27330,718015,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.27205924,26.27205924
19970718,25.53119857,27.12689848,25.24625216,26.95593063,4969,133944,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.95593063,26.95593063
19970721,26.78496278,27.01291991,26.15808068,26.89894135,2301,61894,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.89894135,26.89894135
19970722,26.78496278,27.01291991,25.75915570,26.89894135,1891,50866,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.89894135,26.89894135
19970723,26.78496278,26.78496278,25.93012355,26.21506996,2314,60662,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.21506996,26.21506996
19970724,26.21506996,26.32904852,25.53119857,25.98711283,1132,29417,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",25.98711283,25.98711283
19970725,25.93012355,25.93012355,25.64517713,25.93012355,404,10476,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",25.93012355,25.93012355
19970728,25.87313426,25.87313426,25.07528431,25.47420929,1255,31970,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",25.47420929,25.47420929
19970729,25.36023072,25.87313426,25.30324144,25.75915570,266,6852,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",25.75915570,25.75915570
19970730,25.58818785,26.55700565,25.58818785,26.55700565,572,15191,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",26.55700565,26.55700565
19970731,26.72797350,28.09571628,26.55700565,27.24087704,1049,28576,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",27.24087704,27.24087704
19970801,27.58281274,28.09571628,27.58281274,27.81076987,592,16464,N/A,N/A,0,0,"NYSE","Financials","Financials/Real Estate Services","Common Stock",27.81076987,27.81076987
