Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20150323,11.71554647,11.71554647,9.86058494,10.00702927,163,1631,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00702927,10.00702927
20150324,10.03631814,10.33896976,9.87034790,9.87034790,21,207,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87034790,9.87034790
20150325,9.96797745,9.99726632,9.96797745,9.96797745,99,987,N/A,N/A,0,0,"NYSE","","","Common Stock",9.96797745,9.96797745
20150326,10.06560701,10.07536996,10.06560701,10.07536996,116,1169,N/A,N/A,0,0,"NYSE","","","Common Stock",10.07536996,10.07536996
20150327,10.06560701,10.17299952,10.05584405,10.09489587,107,1080,N/A,N/A,0,0,"NYSE","","","Common Stock",10.09489587,10.09489587
20150330,10.05584405,10.10465883,9.95821450,10.00702927,316,3162,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00702927,10.00702927
20150331,9.85082199,10.05584405,8.50353414,8.53282301,4074,34763,N/A,N/A,0,0,"NYSE","","","Common Stock",8.53282301,8.53282301
20150401,8.69879325,8.91357827,8.44495641,8.59140074,5728,49212,N/A,N/A,0,0,"NYSE","","","Common Stock",8.59140074,8.59140074
20150402,8.59140074,8.68903030,7.41984610,7.72249771,7900,61008,N/A,N/A,0,0,"NYSE","","","Common Stock",7.72249771,7.72249771
20150403,8.59140074,8.68903030,7.41984610,7.72249771,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",7.91000000,7.72249771
20150406,7.52723861,8.29851208,7.52723861,8.12277888,10486,85175,N/A,N/A,0,0,"NYSE","","","Common Stock",8.12277888,8.12277888
20150407,8.24969730,8.88428940,8.24969730,8.60116370,4058,34904,N/A,N/A,0,0,"NYSE","","","Common Stock",8.60116370,8.60116370
20150408,8.42543050,8.49377119,8.13254184,8.27898617,8161,67565,N/A,N/A,0,0,"NYSE","","","Common Stock",8.27898617,8.27898617
20150409,8.31803799,8.44495641,8.17159366,8.38637868,4158,34871,N/A,N/A,0,0,"NYSE","","","Common Stock",8.38637868,8.38637868
