Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20121003,11.67936292,11.70893093,11.53152289,11.59065890,64854,751701,N/A,N/A,0,0,"NYSE","","","Common Stock",11.59065890,11.59065890
20121004,11.58474530,11.69710373,11.56109089,11.67936292,5281,61679,N/A,N/A,0,0,"NYSE","","","Common Stock",11.67936292,11.67936292
20121005,11.68527652,11.70301733,11.62022691,11.67936292,4258,49731,N/A,N/A,0,0,"NYSE","","","Common Stock",11.67936292,11.67936292
20121008,11.67344932,11.67344932,11.60248610,11.63796771,1292,15036,N/A,N/A,0,0,"NYSE","","","Common Stock",11.63796771,11.63796771
20121009,11.63796771,11.63796771,11.59065890,11.59065890,1737,20133,N/A,N/A,0,0,"NYSE","","","Common Stock",11.59065890,11.59065890
20121010,11.56109089,11.61431331,11.54926369,11.60839971,2977,34558,N/A,N/A,0,0,"NYSE","","","Common Stock",11.60839971,11.60839971
20121011,11.59065890,11.63796771,11.53152289,11.56109089,1865,21561,N/A,N/A,0,0,"NYSE","","","Common Stock",11.56109089,11.56109089
20121012,11.60248610,11.60248610,11.50786848,11.53743649,1346,15529,N/A,N/A,0,0,"NYSE","","","Common Stock",11.53743649,11.53743649
20121015,11.56109089,11.58474530,11.32454683,11.41325086,4259,48609,N/A,N/A,0,0,"NYSE","","","Common Stock",11.41325086,11.41325086
20121016,11.41325086,11.53152289,11.41325086,11.50195488,797,9167,N/A,N/A,0,0,"NYSE","","","Common Stock",11.50195488,11.50195488
20121017,11.47238687,11.58474530,11.44281886,11.58474530,901,10438,N/A,N/A,0,0,"NYSE","","","Common Stock",11.58474530,11.58474530
20121018,11.57291810,11.69119013,11.54335009,11.67936292,852,9951,N/A,N/A,0,0,"NYSE","","","Common Stock",11.67936292,11.67936292
20121019,11.66753572,11.67344932,11.59657250,11.62022691,1445,16791,N/A,N/A,0,0,"NYSE","","","Common Stock",11.62022691,11.62022691
20121022,11.59065890,11.64979492,11.53152289,11.56109089,764,8833,N/A,N/A,0,0,"NYSE","","","Common Stock",11.56109089,11.56109089
20121023,11.53152289,11.56109089,11.48421407,11.52560928,516,5947,N/A,N/A,0,0,"NYSE","","","Common Stock",11.52560928,11.52560928
20121024,11.53152289,11.55517729,11.50195488,11.50195488,614,7062,N/A,N/A,0,0,"NYSE","","","Common Stock",11.50195488,11.50195488
20121025,11.54926369,11.54926369,11.49012768,11.50786848,632,7273,N/A,N/A,0,0,"NYSE","","","Common Stock",11.50786848,11.50786848
