Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.64182252,0.64380345,0.63587972,0.64083205,17760,11381,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.64083205,0.64083205
19800804,0.64083205,0.64281299,0.63786065,0.64182252,13056,8380,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.64182252,0.64182252
19800805,0.64182252,0.64875579,0.63984159,0.64479392,15840,10214,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.64479392,0.64479392
19800806,0.64677485,0.65965092,0.64677485,0.65965092,26400,17415,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.65965092,0.65965092
19800807,0.66163186,0.66856513,0.66163186,0.66856513,49584,33150,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.66856513,0.66856513
19800808,0.67351746,0.67946026,0.67351746,0.67648886,53328,36076,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.67648886,0.67648886
19800811,0.67648886,0.67747933,0.67054606,0.67252699,23280,15656,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.67252699,0.67252699
19800812,0.67252699,0.67747933,0.66559372,0.66559372,29664,19744,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.66559372,0.66559372
19800813,0.66559372,0.66856513,0.66163186,0.66163186,21984,14545,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.66163186,0.66163186
19800814,0.66163186,0.66163186,0.65568906,0.65766999,21552,14174,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.65766999,0.65766999
19800815,0.65766999,0.65965092,0.65370812,0.65568906,27936,18317,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Pharmaceuticals","Common Stock",0.65568906,0.65568906
