Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19921021,7.79141457,7.79141457,7.42039483,7.42039483,7413,55007,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",7.42039483,7.42039483
19921022,7.79141457,7.79141457,7.42039483,7.60590470,3059,23266,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",7.60590470,7.60590470
19921023,7.60590470,8.16243431,7.60590470,8.06967938,2423,19553,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.06967938,8.06967938
19921026,8.06967938,8.16243431,7.79141457,8.06967938,1073,8659,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.06967938,8.06967938
19921027,8.16243431,8.53345405,7.97692444,8.34794418,2387,19927,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.34794418,8.34794418
19921028,8.53345405,9.08998366,8.25518925,8.99722873,6047,54406,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.99722873,8.99722873
19921029,9.08998366,9.18273860,8.53345405,8.90447379,3496,31130,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.90447379,8.90447379
19921030,8.99722873,8.99722873,8.71896392,8.71896392,1336,11649,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.71896392,8.71896392
19921102,8.90447379,9.18273860,8.71896392,9.08998366,1344,12217,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.08998366,9.08998366
19921103,9.18273860,9.18273860,8.81171886,8.90447379,1736,15458,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.90447379,8.90447379
19921104,9.08998366,9.08998366,8.81171886,8.99722873,1047,9420,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.99722873,8.99722873
19921105,8.99722873,9.08998366,8.53345405,8.71896392,408,3557,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.71896392,8.71896392
19921106,8.90447379,8.90447379,8.53345405,8.53345405,96,819,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.53345405,8.53345405
19921109,8.53345405,8.90447379,8.53345405,8.53345405,71,606,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",8.53345405,8.53345405
19921110,8.53345405,9.46100341,8.53345405,9.46100341,1680,15894,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.46100341,9.46100341
19921111,9.46100341,9.46100341,9.08998366,9.46100341,2035,19253,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.46100341,9.46100341
19921112,9.46100341,9.46100341,9.08998366,9.46100341,135,1277,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.46100341,9.46100341
19921113,9.46100341,9.46100341,9.08998366,9.36824847,443,4150,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.36824847,9.36824847
19921116,9.46100341,9.73926821,9.27549354,9.36824847,1232,11542,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.36824847,9.36824847
19921117,9.64651328,9.64651328,9.18273860,9.27549354,683,6335,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.27549354,9.27549354
19921118,9.46100341,9.46100341,9.08998366,9.36824847,1916,17950,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.36824847,9.36824847
19921119,9.27549354,9.27549354,9.08998366,9.08998366,27,245,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.08998366,9.08998366
19921120,9.36824847,9.46100341,9.08998366,9.18273860,785,7208,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.18273860,9.18273860
19921123,9.46100341,9.46100341,9.18273860,9.18273860,48,441,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.18273860,9.18273860
19921124,9.46100341,9.46100341,9.18273860,9.36824847,133,1246,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.36824847,9.36824847
19921125,9.18273860,9.55375834,9.18273860,9.18273860,31,285,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.18273860,9.18273860
19921126,9.18273860,9.55375834,9.18273860,9.18273860,0,0,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",12.37500000,9.18273860
19921127,9.55375834,9.55375834,9.55375834,9.55375834,4,38,N/A,N/A,0,0,"NYSE","Technology","Technology/Hardware","Common Stock",9.55375834,9.55375834
