Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19970204,11.00000000,11.00000000,10.31250000,10.56250000,266776,2817822,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.56250000,10.56250000
19970205,10.62500000,10.75000000,10.12500000,10.12500000,67628,684734,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.12500000,10.12500000
19970206,10.18750000,10.37500000,10.12500000,10.31250000,22382,230814,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.31250000,10.31250000
19970207,10.25000000,10.31250000,10.25000000,10.25000000,14058,144095,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.25000000,10.25000000
19970210,10.25000000,10.62500000,10.25000000,10.50000000,16668,175014,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.50000000,10.50000000
19970211,10.50000000,10.62500000,10.43750000,10.50000000,14442,151641,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.50000000,10.50000000
19970212,10.50000000,10.56250000,10.31250000,10.37500000,7800,80925,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.37500000,10.37500000
19970213,10.43750000,10.43750000,10.00000000,10.00000000,15186,151860,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970214,10.06250000,10.12500000,10.00000000,10.00000000,5116,51160,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970217,10.06250000,10.12500000,10.00000000,10.00000000,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",20.00000000,10.00000000
19970218,10.06250000,10.06250000,10.00000000,10.06250000,7460,75066,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.06250000,10.06250000
19970219,10.00000000,10.06250000,10.00000000,10.00000000,15930,159300,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970220,10.00000000,10.06250000,10.00000000,10.00000000,6140,61400,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970221,10.00000000,10.06250000,10.00000000,10.00000000,7564,75640,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970224,10.00000000,10.06250000,10.00000000,10.00000000,2444,24440,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970225,10.00000000,10.06250000,10.00000000,10.00000000,8368,83680,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970226,10.00000000,10.18750000,10.00000000,10.12500000,26072,263979,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.12500000,10.12500000
19970227,10.12500000,10.12500000,10.00000000,10.00000000,21150,211500,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970228,10.00000000,10.06250000,10.00000000,10.06250000,1884,18958,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.06250000,10.06250000
19970303,10.06250000,10.06250000,10.00000000,10.00000000,23070,230700,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",10.00000000,10.00000000
19970304,10.00000000,10.06250000,9.37500000,9.50000000,16246,154337,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.50000000,9.50000000
19970305,9.50000000,9.62500000,9.43750000,9.56250000,7958,76098,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.56250000,9.56250000
19970306,9.56250000,9.68750000,9.56250000,9.68750000,10490,101622,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.68750000,9.68750000
19970307,9.62500000,9.81250000,9.56250000,9.81250000,4170,40918,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.81250000,9.81250000
19970310,9.81250000,10.00000000,9.75000000,9.81250000,5670,55637,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Auto Retailers","Common Stock",9.81250000,9.81250000
