Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20091217,13.50000000,13.84000000,13.21000000,13.51000000,36263,489913,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.51000000,13.51000000
20091218,13.59000000,13.69000000,13.50000000,13.60000000,4700,63920,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.60000000,13.60000000
20091221,13.71000000,13.71000000,13.50000000,13.60000000,2302,31307,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.60000000,13.60000000
20091222,13.59000000,13.67000000,13.53000000,13.64000000,1731,23611,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.64000000,13.64000000
20091223,13.62000000,13.69000000,13.56000000,13.67000000,2165,29596,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.67000000,13.67000000
20091224,13.65000000,13.73000000,13.60000000,13.64000000,977,13326,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.64000000,13.64000000
20091225,13.65000000,13.73000000,13.60000000,13.64000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.64000000,13.64000000
20091228,13.65000000,13.67000000,13.50000000,13.67000000,838,11455,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.67000000,13.67000000
20091229,13.70000000,13.79000000,13.55000000,13.65000000,1164,15889,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.65000000,13.65000000
20091230,13.75000000,13.75000000,13.50000000,13.62000000,1111,15132,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.62000000,13.62000000
20091231,13.60000000,13.63000000,13.50000000,13.56000000,1744,23649,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.56000000,13.56000000
20100101,13.60000000,13.63000000,13.50000000,13.56000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.56000000,13.56000000
20100104,13.55000000,13.85000000,13.55000000,13.80000000,1282,17692,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.80000000,13.80000000
20100105,13.77000000,14.54000000,13.77000000,14.42000000,2414,34810,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.42000000,14.42000000
20100106,14.49000000,14.68000000,14.32000000,14.60000000,1920,28032,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.60000000,14.60000000
20100107,14.55000000,14.75000000,14.14000000,14.60000000,532,7767,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.60000000,14.60000000
20100108,14.60000000,14.95000000,14.55000000,14.90000000,2443,36401,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.90000000,14.90000000
20100111,15.00000000,15.44000000,14.58000000,14.74000000,2772,40859,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.74000000,14.74000000
20100112,14.78000000,14.85000000,14.37000000,14.51000000,660,9577,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.51000000,14.51000000
20100113,14.77000000,14.77000000,14.14000000,14.62000000,395,5775,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.62000000,14.62000000
20100114,14.74000000,14.74000000,14.49000000,14.55000000,254,3696,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.55000000,14.55000000
20100115,14.46000000,14.70000000,14.00000000,14.55000000,1114,16209,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.55000000,14.55000000
20100118,14.46000000,14.70000000,14.00000000,14.55000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.55000000,14.55000000
20100119,14.50000000,14.98000000,14.41000000,14.88000000,1044,15535,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.88000000,14.88000000
20100120,14.95000000,14.98000000,14.26000000,14.40000000,1722,24797,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.40000000,14.40000000
20100121,14.58000000,14.58000000,14.00000000,14.18000000,1512,21440,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.18000000,14.18000000
20100122,14.17000000,14.22000000,13.80000000,14.19000000,775,10997,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.19000000,14.19000000
20100125,14.30000000,14.30000000,14.10000000,14.20000000,1102,15648,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",14.20000000,14.20000000
20100126,15.24000000,15.24000000,13.90000000,13.95000000,9145,127573,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.95000000,13.95000000
20100127,14.01000000,14.10000000,13.70000000,13.90000000,2778,38614,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.90000000,13.90000000
20100128,14.08000000,14.08000000,13.60000000,13.72000000,2001,27454,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.72000000,13.72000000
20100129,13.91000000,13.91000000,13.30000000,13.75000000,2673,36754,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.75000000,13.75000000
20100201,13.81000000,13.95000000,13.63000000,13.84000000,2720,37645,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.84000000,13.84000000
20100202,13.80000000,13.96000000,13.53000000,13.88000000,2662,36949,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.88000000,13.88000000
20100203,13.93000000,13.96000000,13.81000000,13.84000000,1385,19168,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.84000000,13.84000000
20100204,13.56000000,13.80000000,13.49000000,13.68000000,592,8099,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.68000000,13.68000000
20100205,13.79000000,13.79000000,12.76000000,13.26000000,1270,16840,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.26000000,13.26000000
20100208,13.34000000,13.48000000,12.97000000,13.05000000,1291,16848,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.05000000,13.05000000
20100209,14.19000000,14.19000000,12.92000000,13.09000000,2654,34741,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.09000000,13.09000000
20100210,13.14000000,13.22000000,12.91000000,13.00000000,798,10374,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.00000000,13.00000000
20100211,13.07000000,13.55000000,12.97000000,13.50000000,1063,14351,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.50000000,13.50000000
20100212,13.30000000,13.60000000,13.30000000,13.60000000,580,7888,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.60000000,13.60000000
20100215,13.30000000,13.60000000,13.30000000,13.60000000,0,0,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.60000000,13.60000000
20100216,13.82000000,13.82000000,13.53000000,13.80000000,273,3767,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.80000000,13.80000000
20100217,13.94000000,13.94000000,13.67000000,13.80000000,810,11178,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.80000000,13.80000000
20100218,13.88000000,13.89000000,13.63000000,13.73000000,736,10105,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.73000000,13.73000000
20100219,13.75000000,13.80000000,13.60000000,13.75000000,816,11220,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.75000000,13.75000000
20100222,13.91000000,13.91000000,13.36000000,13.59000000,801,10886,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.59000000,13.59000000
20100223,13.69000000,13.74000000,13.41000000,13.57000000,307,4166,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.57000000,13.57000000
20100224,13.67000000,13.85000000,13.52000000,13.63000000,562,7660,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Specialty Chemicals","Common Stock",13.63000000,13.63000000
