Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210217,10.21000000,10.35000000,10.10000000,10.30000000,2562,26389,N/A,N/A,0,0,"NYSE","","","Common Stock",10.30000000,10.30000000
20210218,10.25000000,10.27000000,10.13000000,10.20000000,469,4784,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20000000,10.20000000
20210219,10.20000000,10.27000000,10.15000000,10.20000000,643,6559,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20000000,10.20000000
20210222,10.25000000,10.25000000,10.15000000,10.19500000,8405,85689,N/A,N/A,0,0,"NYSE","","","Common Stock",10.19500000,10.19500000
20210223,10.16000000,10.25000000,10.12000000,10.19000000,5562,56677,N/A,N/A,0,0,"NYSE","","","Common Stock",10.19000000,10.19000000
20210224,10.19000000,10.28000000,10.12000000,10.18000000,1169,11900,N/A,N/A,0,0,"NYSE","","","Common Stock",10.18000000,10.18000000
20210225,10.20000000,10.25000000,10.12000000,10.18000000,668,6800,N/A,N/A,0,0,"NYSE","","","Common Stock",10.18000000,10.18000000
20210226,10.25000000,10.35000000,10.17000000,10.20000000,2658,27112,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20000000,10.20000000
20210301,10.20000000,10.24000000,10.17000000,10.20000000,747,7619,N/A,N/A,0,0,"NYSE","","","Common Stock",10.20000000,10.20000000
20210302,10.21500000,10.21500000,9.95000000,10.03000000,932,9348,N/A,N/A,0,0,"NYSE","","","Common Stock",10.03000000,10.03000000
20210303,10.05000000,10.07500000,10.00000000,10.03000000,585,5868,N/A,N/A,0,0,"NYSE","","","Common Stock",10.03000000,10.03000000
20210304,10.06000000,10.06000000,10.00000000,10.00000000,3801,38010,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210305,10.02000000,10.10000000,10.00000000,10.05000000,621,6241,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210308,10.03000000,10.03000000,10.00000000,10.00000000,92,920,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210309,10.05000000,10.08000000,10.02000000,10.04000000,4358,43754,N/A,N/A,0,0,"NYSE","","","Common Stock",10.04000000,10.04000000
20210310,10.05000000,10.05000000,10.00000000,10.00000000,41,410,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210311,10.04000000,10.05000000,9.99900000,10.00000000,3310,33100,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210312,10.01000000,10.05000000,10.00000000,10.03000000,341,3420,N/A,N/A,0,0,"NYSE","","","Common Stock",10.03000000,10.03000000
20210315,10.00000000,10.00000000,9.95000000,9.95000000,528,5254,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20210316,9.98000000,10.02000000,9.90000000,9.91000000,1342,13299,N/A,N/A,0,0,"NYSE","","","Common Stock",9.91000000,9.91000000
20210317,9.94900000,9.97000000,9.90000000,9.97000000,84,837,N/A,N/A,0,0,"NYSE","","","Common Stock",9.97000000,9.97000000
20210318,9.93000000,9.98000000,9.93000000,9.96000000,1507,15010,N/A,N/A,0,0,"NYSE","","","Common Stock",9.96000000,9.96000000
20210319,9.97000000,10.00000000,9.96000000,10.00000000,42,420,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210322,10.00000000,10.00000000,9.93000000,9.93000000,1528,15173,N/A,N/A,0,0,"NYSE","","","Common Stock",9.93000000,9.93000000
20210323,10.01000000,10.08000000,9.90000000,9.94000000,615,6113,N/A,N/A,0,0,"NYSE","","","Common Stock",9.94000000,9.94000000
20210324,9.95000000,10.00000000,9.77000000,9.85000000,325,3201,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210325,9.89000000,9.90000000,9.84100000,9.90000000,70,693,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210326,9.91000000,10.00000000,9.91000000,9.95000000,461,4587,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20210329,9.96000000,10.00000000,9.92000000,10.00000000,201,2010,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210330,10.00000000,10.01000000,9.95000000,9.95000000,96,955,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20210331,9.95000000,9.96000000,9.90000000,9.93800000,1596,15861,N/A,N/A,0,0,"NYSE","","","Common Stock",9.93800000,9.93800000
20210401,9.94000000,10.10000000,9.94000000,9.98000000,408,4072,N/A,N/A,0,0,"NYSE","","","Common Stock",9.98000000,9.98000000
20210402,9.94000000,10.10000000,9.94000000,9.98000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.98000000,9.98000000
20210405,9.98000000,10.00000000,9.96000000,10.00000000,158,1580,N/A,N/A,0,0,"NYSE","","","Common Stock",10.00000000,10.00000000
20210406,10.05000000,10.05000000,9.91000000,9.99500000,886,8856,N/A,N/A,0,0,"NYSE","","","Common Stock",9.99500000,9.99500000
20210407,10.02000000,10.05000000,10.02000000,10.05000000,37,372,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210408,10.05000000,10.05000000,10.05000000,10.05000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210409,10.02800000,10.05000000,9.97000000,10.05000000,39,392,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210412,10.03000000,10.10000000,10.03000000,10.09000000,167,1685,N/A,N/A,0,0,"NYSE","","","Common Stock",10.09000000,10.09000000
20210413,10.05000000,10.10000000,10.03000000,10.10000000,200,2020,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210414,10.08000000,10.14000000,10.08000000,10.10000000,881,8898,N/A,N/A,0,0,"NYSE","","","Common Stock",10.10000000,10.10000000
20210415,10.09000000,10.09000000,10.04500000,10.07000000,66,665,N/A,N/A,0,0,"NYSE","","","Common Stock",10.07000000,10.07000000
20210416,10.06500000,10.10000000,10.03000000,10.07000000,3229,32516,N/A,N/A,0,0,"NYSE","","","Common Stock",10.07000000,10.07000000
20210419,10.05000000,10.07000000,10.04000000,10.05000000,24,241,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210420,10.05000000,10.05000000,10.05000000,10.05000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
