Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19920724,1.31303687,1.32397884,1.31303687,1.31303687,1146,1505,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920727,1.31303687,1.32397884,1.31303687,1.32397884,368,487,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920728,1.32397884,1.32397884,1.31303687,1.31303687,133,175,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920729,1.32397884,1.32397884,1.32397884,1.32397884,11,15,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920730,1.32397884,1.32397884,1.31303687,1.31303687,96,126,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920731,1.32397884,1.33492082,1.32397884,1.33492082,143,191,N/A,N/A,0,0,"NYSE","","","Common Stock",1.33492082,1.33492082
19920803,1.34586279,1.34586279,1.32397884,1.33492082,133,178,N/A,N/A,0,0,"NYSE","","","Common Stock",1.33492082,1.33492082
19920804,1.32397884,1.33492082,1.31303687,1.31303687,601,789,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920805,1.31303687,1.32397884,1.31303687,1.31303687,135,177,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920806,1.32397884,1.32397884,1.31303687,1.31303687,734,964,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920807,1.31303687,1.32397884,1.31303687,1.31303687,82,108,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920810,1.31303687,1.32397884,1.31303687,1.32397884,133,176,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920811,1.32397884,1.32397884,1.31303687,1.32397884,93,123,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920812,1.31303687,1.32397884,1.31303687,1.32397884,234,310,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920813,1.32397884,1.32397884,1.31303687,1.32397884,620,821,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920814,1.32397884,1.33492082,1.31303687,1.31303687,112,147,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920817,1.32397884,1.33492082,1.31303687,1.33492082,117,156,N/A,N/A,0,0,"NYSE","","","Common Stock",1.33492082,1.33492082
19920818,1.32397884,1.33492082,1.32397884,1.33492082,229,306,N/A,N/A,0,0,"NYSE","","","Common Stock",1.33492082,1.33492082
19920819,1.33492082,1.33492082,1.31303687,1.32397884,153,203,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920820,1.32397884,1.32397884,1.31303687,1.32397884,153,203,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920821,1.32397884,1.33492082,1.31303687,1.31303687,197,259,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920824,1.32397884,1.32397884,1.31303687,1.31303687,62,81,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920825,1.31303687,1.32397884,1.31303687,1.32397884,36,48,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920826,1.32397884,1.32397884,1.31303687,1.31303687,81,106,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920827,1.32397884,1.32397884,1.31303687,1.32397884,78,103,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920828,1.31303687,1.32397884,1.31303687,1.31303687,117,154,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920831,1.31303687,1.31303687,1.31303687,1.31303687,138,181,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920901,1.31303687,1.32397884,1.31303687,1.31303687,104,137,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920902,1.31303687,1.32397884,1.31303687,1.31303687,124,163,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920903,1.32397884,1.32397884,1.31303687,1.31303687,46,60,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920904,1.32397884,1.32397884,1.31303687,1.32397884,20,26,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920907,1.32397884,1.32397884,1.31303687,1.32397884,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",15.12500000,1.32397884
19920908,1.32397884,1.32397884,1.31303687,1.32397884,86,114,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920909,1.32397884,1.32397884,1.31303687,1.32397884,297,393,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32397884,1.32397884
19920910,1.31303687,1.31303687,1.30209490,1.31303687,76,100,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31303687,1.31303687
19920911,1.30209490,1.30209490,1.25832700,1.29115292,75,97,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19920914,1.30209490,1.30209490,1.26926897,1.28021095,72,92,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28021095,1.28021095
19920915,1.28021095,1.29115292,1.28021095,1.29115292,41,53,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19920916,1.29115292,1.30209490,1.28021095,1.29115292,22,28,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19920917,1.30209490,1.30209490,1.28021095,1.28021095,51,65,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28021095,1.28021095
19920918,1.30209490,1.30209490,1.28021095,1.30209490,74,96,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30209490,1.30209490
19920921,1.30209490,1.30209490,1.29115292,1.29115292,8,10,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19920922,1.30209490,1.30209490,1.29115292,1.29115292,24,31,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19920923,1.28021095,1.28021095,1.28021095,1.28021095,56,72,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28021095,1.28021095
19920924,1.29115292,1.30209490,1.29115292,1.30209490,24,31,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30209490,1.30209490
19920925,1.29115292,1.29115292,1.28021095,1.28021095,23,29,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28021095,1.28021095
19920928,1.28021095,1.28021095,1.24738503,1.25832700,86,108,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19920929,1.25832700,1.25832700,1.23644305,1.25832700,46,58,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19920930,1.25832700,1.25832700,1.24738503,1.25832700,46,58,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19921001,1.25832700,1.28021095,1.25832700,1.25832700,83,104,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19921002,1.26926897,1.29115292,1.26926897,1.29115292,55,71,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921005,1.29115292,1.29115292,1.26926897,1.26926897,59,75,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26926897,1.26926897
19921006,1.28021095,1.29115292,1.25832700,1.25832700,50,63,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19921007,1.25832700,1.26926897,1.25832700,1.25832700,25,31,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25832700,1.25832700
19921008,1.26926897,1.30209490,1.26926897,1.29115292,51,66,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921009,1.30218842,1.30218842,1.28011743,1.29115292,172,222,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921012,1.29115292,1.31322391,1.29115292,1.31322391,31,41,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31322391,1.31322391
19921013,1.30218842,1.32425941,1.30218842,1.32425941,37,49,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32425941,1.32425941
19921014,1.32425941,1.32425941,1.30218842,1.30218842,18,23,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921015,1.30218842,1.31322391,1.30218842,1.31322391,79,104,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31322391,1.31322391
19921016,1.31322391,1.31322391,1.30218842,1.30218842,53,69,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921019,1.31322391,1.31322391,1.28011743,1.28011743,47,60,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921020,1.29115292,1.30218842,1.28011743,1.30218842,90,117,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921021,1.30218842,1.30218842,1.29115292,1.29115292,21,27,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921022,1.29115292,1.30218842,1.29115292,1.29115292,14,18,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921023,1.29115292,1.30218842,1.28011743,1.29115292,51,66,N/A,N/A,0,0,"NYSE","","","Common Stock",1.29115292,1.29115292
19921026,1.30218842,1.32425941,1.30218842,1.32425941,103,136,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32425941,1.32425941
19921027,1.31322391,1.31322391,1.30218842,1.30218842,22,29,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921028,1.31322391,1.32425941,1.30218842,1.31322391,140,184,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31322391,1.31322391
19921029,1.31322391,1.32425941,1.31322391,1.31322391,80,105,N/A,N/A,0,0,"NYSE","","","Common Stock",1.31322391,1.31322391
19921030,1.32425941,1.32425941,1.31322391,1.32425941,34,45,N/A,N/A,0,0,"NYSE","","","Common Stock",1.32425941,1.32425941
19921102,1.31322391,1.31322391,1.30218842,1.30218842,40,52,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921103,1.31322391,1.31322391,1.28011743,1.28011743,15,19,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921104,1.28011743,1.28011743,1.28011743,1.28011743,17,22,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921105,1.28011743,1.29115292,1.26908193,1.26908193,53,67,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26908193,1.26908193
19921106,1.29115292,1.31322391,1.26908193,1.26908193,73,93,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26908193,1.26908193
19921109,1.26908193,1.29115292,1.26908193,1.26908193,26,33,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26908193,1.26908193
19921110,1.28011743,1.28011743,1.26908193,1.28011743,29,37,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921111,1.26908193,1.28011743,1.26908193,1.28011743,9,12,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921112,1.28011743,1.29115292,1.28011743,1.28011743,24,31,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921113,1.29115292,1.30218842,1.29115292,1.30218842,7,9,N/A,N/A,0,0,"NYSE","","","Common Stock",1.30218842,1.30218842
19921116,1.29115292,1.29115292,1.28011743,1.28011743,13,17,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921117,1.28011743,1.29115292,1.26908193,1.28011743,61,78,N/A,N/A,0,0,"NYSE","","","Common Stock",1.28011743,1.28011743
19921118,1.26908193,1.28011743,1.26908193,1.26908193,14,18,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26908193,1.26908193
19921119,1.26908193,1.26908193,1.25804644,1.25804644,21,26,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25804644,1.25804644
19921120,1.25804644,1.26908193,1.25804644,1.26908193,58,74,N/A,N/A,0,0,"NYSE","","","Common Stock",1.26908193,1.26908193
19921123,1.25804644,1.26908193,1.24701094,1.25804644,31,39,N/A,N/A,0,0,"NYSE","","","Common Stock",1.25804644,1.25804644
19921124,1.24701094,1.24701094,1.20286896,1.23597545,138,171,N/A,N/A,0,0,"NYSE","","","Common Stock",1.23597545,1.23597545
19921125,1.21390446,1.22493995,1.20286896,1.20286896,101,121,N/A,N/A,0,0,"NYSE","","","Common Stock",1.20286896,1.20286896
19921126,1.21390446,1.22493995,1.20286896,1.20286896,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",13.62500000,1.20286896
19921127,1.21390446,1.21390446,1.19183347,1.20286896,60,72,N/A,N/A,0,0,"NYSE","","","Common Stock",1.20286896,1.20286896
19921130,1.20286896,1.22493995,1.16976248,1.16976248,128,150,N/A,N/A,0,0,"NYSE","","","Common Stock",1.16976248,1.16976248
19921201,1.15872698,1.19183347,1.15872698,1.19183347,79,94,N/A,N/A,0,0,"NYSE","","","Common Stock",1.19183347,1.19183347
19921202,1.16976248,1.19183347,1.15872698,1.18079797,141,166,N/A,N/A,0,0,"NYSE","","","Common Stock",1.18079797,1.18079797
19921203,1.18079797,1.19183347,1.18079797,1.18079797,58,68,N/A,N/A,0,0,"NYSE","","","Common Stock",1.18079797,1.18079797
19921204,1.19183347,1.19183347,1.16976248,1.18079797,49,58,N/A,N/A,0,0,"NYSE","","","Common Stock",1.18079797,1.18079797
19921207,1.18079797,1.19183347,1.16976248,1.18079797,118,139,N/A,N/A,0,0,"NYSE","","","Common Stock",1.18079797,1.18079797
19921208,1.16976248,1.16976248,1.15872698,1.15872698,71,82,N/A,N/A,0,0,"NYSE","","","Common Stock",1.15872698,1.15872698
19921209,1.16976248,1.16976248,1.15872698,1.16976248,77,90,N/A,N/A,0,0,"NYSE","","","Common Stock",1.16976248,1.16976248
19921210,1.15872698,1.16976248,1.15872698,1.15872698,71,82,N/A,N/A,0,0,"NYSE","","","Common Stock",1.15872698,1.15872698
19921211,1.15872698,1.18079797,1.15872698,1.18079797,25,30,N/A,N/A,0,0,"NYSE","","","Common Stock",1.18079797,1.18079797
19921214,1.16976248,1.19183347,1.15872698,1.16976248,52,61,N/A,N/A,0,0,"NYSE","","","Common Stock",1.16976248,1.16976248
19921215,1.16976248,1.16976248,1.14769149,1.15872698,143,166,N/A,N/A,0,0,"NYSE","","","Common Stock",1.15872698,1.15872698
19921216,1.15872698,1.15872698,1.12562050,1.12562050,124,140,N/A,N/A,0,0,"NYSE","","","Common Stock",1.12562050,1.12562050
19921217,1.11458500,1.12562050,1.10354951,1.12562050,185,208,N/A,N/A,0,0,"NYSE","","","Common Stock",1.12562050,1.12562050
19921218,1.13665599,1.14769149,1.12562050,1.13665599,125,142,N/A,N/A,0,0,"NYSE","","","Common Stock",1.13665599,1.13665599
19921221,1.14769149,1.14769149,1.10354951,1.11458500,122,136,N/A,N/A,0,0,"NYSE","","","Common Stock",1.11458500,1.11458500
19921222,1.11458500,1.16976248,1.11458500,1.16976248,231,270,N/A,N/A,0,0,"NYSE","","","Common Stock",1.16976248,1.16976248
19921223,1.16976248,1.16976248,1.14769149,1.15872698,109,126,N/A,N/A,0,0,"NYSE","","","Common Stock",1.15872698,1.15872698
19921224,1.15872698,1.15872698,1.14736691,1.15872698,70,81,N/A,N/A,0,0,"NYSE","","","Common Stock",1.15872698,1.15872698
