Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940404,2.66666667,2.66666667,2.66666667,2.66666667,3,8,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940405,3.00000000,3.00000000,2.33333333,2.33333333,41,96,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.33333333,2.33333333
19940406,2.66666667,2.66666667,2.66666667,2.66666667,30,80,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940407,2.66666667,2.66666667,2.66666667,2.66666667,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940408,2.66666667,2.66666667,2.66666667,2.66666667,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940411,2.66666667,2.66666667,2.66666667,2.66666667,3,8,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940412,2.66666667,2.66666667,2.66666667,2.66666667,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940413,3.00000000,3.00000000,2.83333333,2.83333333,9,25,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940414,2.83333333,2.83333333,2.83333333,2.83333333,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940415,3.00000000,3.00000000,3.00000000,3.00000000,3,9,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",3.00000000,3.00000000
19940418,2.16666667,2.16666667,2.16666667,2.16666667,6,13,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.16666667,2.16666667
19940419,2.75000000,2.75000000,2.75000000,2.75000000,15,41,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.75000000,2.75000000
19940420,2.75000000,2.75000000,2.75000000,2.75000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.75000000,2.75000000
19940421,2.75000000,2.75000000,2.75000000,2.75000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.75000000,2.75000000
19940422,2.83333333,2.83333333,2.50000000,2.83333333,17,48,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940425,2.83333333,2.83333333,2.83333333,2.83333333,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940426,2.50000000,2.70833333,2.33333333,2.70833333,165,447,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.70833333,2.70833333
19940427,2.50000000,2.70833333,2.33333333,2.70833333,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",4.06250000,2.70833333
19940428,2.70833333,2.70833333,2.70833333,2.70833333,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.70833333,2.70833333
19940429,2.83333333,2.83333333,2.83333333,2.83333333,3,8,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940502,2.33333333,2.50000000,2.33333333,2.50000000,9,23,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.50000000,2.50000000
19940503,2.50000000,2.50000000,2.50000000,2.50000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.50000000,2.50000000
19940504,2.50000000,2.50000000,2.50000000,2.50000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.50000000,2.50000000
19940505,2.83333333,3.00000000,2.50000000,2.66666667,254,677,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940506,3.00000000,3.00000000,2.66666667,2.66666667,83,221,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940509,3.00000000,3.00000000,2.75000000,2.83333333,143,405,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.83333333,2.83333333
19940510,2.83333333,2.83333333,2.66666667,2.66666667,53,141,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.66666667,2.66666667
19940511,2.66666667,2.66666667,2.50000000,2.50000000,20,50,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.50000000,2.50000000
19940512,2.50000000,2.50000000,2.50000000,2.50000000,0,0,N/A,N/A,0,0,"NYSE MKTS LLC","Healthcare","Healthcare/Pharmaceuticals","Common Stock",2.50000000,2.50000000
