Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210211,13.50406766,22.94823384,13.50406766,21.22067775,78965,1675691,N/A,N/A,0,0,"NYSE","","","Common Stock",21.22067775,21.22067775
20210212,23.87326247,38.43836402,22.29135740,30.36486071,95352,2895350,N/A,N/A,0,0,"NYSE","","","Common Stock",30.36486071,30.36486071
20210215,23.87326247,38.43836402,22.29135740,30.36486071,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",31.48000000,30.36486071
20210216,29.99832173,33.76016915,25.07898280,25.51304212,24137,615808,N/A,N/A,0,0,"NYSE","","","Common Stock",25.51304212,25.51304212
20210217,25.67702008,26.04355906,22.66754215,23.91184552,13318,318458,N/A,N/A,0,0,"NYSE","","","Common Stock",23.91184552,23.91184552
20210218,26.88274041,27.43254888,23.90895180,24.85713026,11891,295576,N/A,N/A,0,0,"NYSE","","","Common Stock",24.85713026,24.85713026
20210219,25.43587602,25.43587602,22.21419130,22.35887774,11938,266920,N/A,N/A,0,0,"NYSE","","","Common Stock",22.35887774,22.35887774
20210222,22.12737944,22.47462689,19.96672861,20.37185064,7222,147126,N/A,N/A,0,0,"NYSE","","","Common Stock",20.37185064,20.37185064
20210223,19.46514896,19.69664726,16.56370356,18.36553202,7744,142223,N/A,N/A,0,0,"NYSE","","","Common Stock",18.36553202,18.36553202
20210224,18.33659473,20.01495743,18.23049134,19.67735574,3898,76702,N/A,N/A,0,0,"NYSE","","","Common Stock",19.67735574,19.67735574
20210225,19.75452184,20.22716421,17.95076423,18.70313371,3345,62562,N/A,N/A,0,0,"NYSE","","","Common Stock",18.70313371,18.70313371
20210226,19.60018964,19.85097946,18.05686762,18.72242524,3485,65248,N/A,N/A,0,0,"NYSE","","","Common Stock",18.72242524,18.72242524
20210301,19.45550320,20.73838962,18.82081202,20.03424895,5019,100552,N/A,N/A,0,0,"NYSE","","","Common Stock",20.03424895,20.03424895
20210302,20.26574726,25.18508619,20.04389472,22.67718791,20640,468057,N/A,N/A,0,0,"NYSE","","","Common Stock",22.67718791,22.67718791
20210303,23.03408113,23.11124723,19.11790150,19.47479472,6329,123256,N/A,N/A,0,0,"NYSE","","","Common Stock",19.47479472,19.47479472
20210304,19.33010828,19.43621167,17.36237271,17.67103711,4498,79484,N/A,N/A,0,0,"NYSE","","","Common Stock",17.67103711,17.67103711
20210305,18.14367948,18.18226253,15.46215747,17.85430660,4469,79791,N/A,N/A,0,0,"NYSE","","","Common Stock",17.85430660,17.85430660
20210308,17.36237271,18.69348795,16.99583373,18.53915575,4545,84260,N/A,N/A,0,0,"NYSE","","","Common Stock",18.53915575,18.53915575
20210309,18.78029981,20.16928963,17.80607779,19.77381336,4493,88844,N/A,N/A,0,0,"NYSE","","","Common Stock",19.77381336,19.77381336
20210310,19.77381336,20.46830827,18.69348795,19.54231506,5508,107639,N/A,N/A,0,0,"NYSE","","","Common Stock",19.54231506,19.54231506
20210311,19.67735574,20.16928963,18.64525914,19.24329642,4414,84940,N/A,N/A,0,0,"NYSE","","","Common Stock",19.24329642,19.24329642
20210312,19.09860998,20.14999810,18.84299727,19.86062523,5650,112213,N/A,N/A,0,0,"NYSE","","","Common Stock",19.86062523,19.86062523
20210315,20.24645573,22.38781503,20.10176929,21.58721673,12885,278151,N/A,N/A,0,0,"NYSE","","","Common Stock",21.58721673,21.58721673
20210316,21.03740826,22.43604384,20.64193200,21.46182182,3676,78894,N/A,N/A,0,0,"NYSE","","","Common Stock",21.46182182,21.46182182
20210317,21.41359301,21.69332012,20.81555572,21.22067775,2917,61901,N/A,N/A,0,0,"NYSE","","","Common Stock",21.22067775,21.22067775
20210318,20.78661844,22.37816927,19.01179812,19.64841845,9491,186483,N/A,N/A,0,0,"NYSE","","","Common Stock",19.64841845,19.64841845
20210319,19.64841845,21.51005063,19.59536675,20.88307606,4195,87605,N/A,N/A,0,0,"NYSE","","","Common Stock",20.88307606,20.88307606
20210322,20.78661844,21.61615402,19.48444048,20.00531166,4255,85123,N/A,N/A,0,0,"NYSE","","","Common Stock",20.00531166,20.00531166
20210323,19.96672861,20.73838962,19.84133370,20.24645573,2141,43348,N/A,N/A,0,0,"NYSE","","","Common Stock",20.24645573,20.24645573
20210324,20.15964387,20.64193200,19.10825574,19.10825574,2650,50637,N/A,N/A,0,0,"NYSE","","","Common Stock",19.10825574,19.10825574
20210325,19.09860998,20.06318624,19.00215235,19.43621167,6278,122021,N/A,N/A,0,0,"NYSE","","","Common Stock",19.43621167,19.43621167
20210326,19.58089811,19.86062523,18.42340660,19.09860998,1242,23720,N/A,N/A,0,0,"NYSE","","","Common Stock",19.09860998,19.09860998
20210329,18.88640320,19.06967269,18.44559185,18.81888286,1644,30938,N/A,N/A,0,0,"NYSE","","","Common Stock",18.81888286,18.81888286
20210330,18.86711168,19.16034286,18.42340660,18.84782015,1586,29893,N/A,N/A,0,0,"NYSE","","","Common Stock",18.84782015,18.84782015
