Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,0.71180847,0.71728392,0.71180847,0.71728392,940,674,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.71728392,0.71728392
19800804,0.70907074,0.70907074,0.68990667,0.69538212,879,611,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.69538212,0.69538212
19800805,0.68716895,0.68716895,0.64884080,0.66526715,3844,2557,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.66526715,0.66526715
19800806,0.66526715,0.69538212,0.66252942,0.69538212,1184,823,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.69538212,0.69538212
19800807,0.71180847,0.72275937,0.71180847,0.71454619,1477,1055,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.71454619,0.71454619
19800808,0.71454619,0.74739889,0.71180847,0.71180847,1843,1312,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.71180847,0.71180847
19800811,0.72002164,0.73644799,0.72002164,0.73371027,903,663,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73371027,0.73371027
19800812,0.73371027,0.73918572,0.72002164,0.72002164,2172,1564,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.72002164,0.72002164
19800813,0.73097254,0.73644799,0.73097254,0.73644799,683,503,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73644799,0.73644799
19800814,0.73644799,0.73918572,0.73371027,0.73371027,391,287,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73371027,0.73371027
19800815,0.73097254,0.73097254,0.70085757,0.70085757,1513,1060,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.70085757,0.70085757
19800818,0.70085757,0.70633302,0.68169350,0.68443122,2014,1378,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.68443122,0.68443122
19800819,0.67895577,0.67895577,0.62146355,0.65431625,6236,4080,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65431625,0.65431625
19800820,0.65431625,0.65705397,0.63241445,0.65705397,2721,1788,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65705397,0.65705397
19800821,0.65705397,0.67348032,0.65705397,0.65705397,4991,3279,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65705397,0.65705397
19800822,0.65705397,0.66252942,0.65705397,0.66252942,1025,679,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.66252942,0.66252942
19800825,0.66252942,0.66252942,0.65705397,0.65979170,415,274,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65979170,0.65979170
19800826,0.65979170,0.66252942,0.64884080,0.65431625,720,471,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65431625,0.65431625
19800827,0.65431625,0.65431625,0.62693900,0.62967672,940,592,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.62967672,0.62967672
19800828,0.62967672,0.63515217,0.62146355,0.62420127,1159,723,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.62420127,0.62420127
19800829,0.62420127,0.64062762,0.62146355,0.64062762,1477,946,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64062762,0.64062762
19800901,0.62420127,0.64062762,0.62146355,0.64062762,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",29.25000000,0.64062762
19800902,0.64062762,0.64062762,0.63515217,0.63788990,866,552,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.63788990,0.63788990
19800903,0.63788990,0.67621805,0.63788990,0.67074260,2758,1850,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.67074260,0.67074260
19800904,0.67074260,0.70085757,0.66800487,0.67348032,2636,1775,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.67348032,0.67348032
19800905,0.67348032,0.67895577,0.67074260,0.67621805,805,544,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.67621805,0.67621805
19800908,0.67621805,0.67621805,0.64336535,0.64884080,1306,847,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64884080,0.64884080
19800909,0.64884080,0.66526715,0.63515217,0.64062762,4198,2689,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64062762,0.64062762
19800910,0.64062762,0.65705397,0.63515217,0.65705397,6700,4402,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65705397,0.65705397
19800911,0.65705397,0.65705397,0.65431625,0.65431625,171,112,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65431625,0.65431625
19800912,0.65431625,0.65705397,0.64610307,0.64610307,915,591,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64610307,0.64610307
19800915,0.64610307,0.65431625,0.64062762,0.64610307,769,497,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64610307,0.64610307
19800916,0.64336535,0.64336535,0.62967672,0.64336535,4650,2992,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64336535,0.64336535
19800917,0.64336535,0.65979170,0.64062762,0.65705397,793,521,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65705397,0.65705397
19800918,0.65705397,0.66800487,0.65705397,0.65979170,1147,757,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.65979170,0.65979170
19800919,0.67074260,0.67621805,0.67074260,0.67621805,964,652,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.67621805,0.67621805
19800922,0.67621805,0.68716895,0.66800487,0.67348032,3832,2581,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.67348032,0.67348032
19800923,0.67348032,0.68169350,0.66252942,0.66252942,781,517,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.66252942,0.66252942
19800924,0.65157852,0.65157852,0.63515217,0.64610307,1269,820,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.64610307,0.64610307
19800925,0.64610307,0.64610307,0.61598810,0.62146355,3808,2367,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.62146355,0.62146355
19800926,0.61325037,0.61325037,0.58039767,0.59134857,6554,3876,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.59134857,0.59134857
19800929,0.58313540,0.58313540,0.55302043,0.56670905,1855,1051,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.56670905,0.56670905
19800930,0.57218450,0.59956175,0.57218450,0.59682402,2575,1537,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.59682402,0.59682402
19801001,0.59682402,0.62420127,0.59408630,0.60777492,1806,1098,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.60777492,0.60777492
19801002,0.61325037,0.64062762,0.61325037,0.63515217,1367,868,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.63515217,0.63515217
19801003,0.65157852,0.70907074,0.65157852,0.70633302,4332,3060,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.70633302,0.70633302
19801006,0.73371027,0.74739889,0.73371027,0.74192344,6334,4699,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.74192344,0.74192344
19801007,0.74192344,0.77477614,0.73097254,0.73371027,4674,3429,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73371027,0.73371027
19801008,0.74466117,0.76382524,0.74466117,0.75834979,2014,1527,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.75834979,0.75834979
19801009,0.75834979,0.75834979,0.73644799,0.73918572,1391,1028,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73918572,0.73918572
19801010,0.73918572,0.74192344,0.73644799,0.73918572,574,424,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73918572,0.73918572
19801013,0.73918572,0.74192344,0.73371027,0.73644799,1159,854,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Home Construction","Common Stock",0.73644799,0.73644799
