Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20130322,4.12528427,4.19356483,4.10821412,4.12528427,23609,97394,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.12528427,4.12528427
20130325,4.12528427,4.16226957,4.08260891,4.12243924,2908,11988,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.12243924,4.12243924
20130326,4.09683403,4.18218474,4.09398901,4.15657953,1898,7889,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.15657953,4.15657953
20130327,4.17364967,4.17364967,4.12528427,4.12528427,1210,4992,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.12528427,4.12528427
20130328,4.16511460,4.19640986,4.15657953,4.16226957,1809,7530,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.16226957,4.16226957
20130329,4.16511460,4.19640986,4.15657953,4.16226957,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",14.63000000,4.16226957
20130401,4.16226957,4.19071981,4.12528427,4.19071981,462,1936,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.19071981,4.19071981
20130402,4.19640986,4.23624019,4.18787479,4.22486009,2299,9713,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.22486009,4.22486009
20130403,4.23055014,4.23055014,4.18218474,4.21063498,1320,5558,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.21063498,4.21063498
20130404,4.19640986,4.22201507,4.19356483,4.22201507,656,2770,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.22201507,4.22201507
20130405,4.20494493,4.27322550,4.19071981,4.25046531,1095,4654,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.25046531,4.25046531
20130408,4.27607052,4.27607052,4.23055014,4.25046531,437,1857,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.25046531,4.25046531
20130409,4.25046531,4.26753545,4.25046531,4.25046531,1429,6074,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.25046531,4.25046531
20130410,4.24193024,4.29598568,4.23908521,4.26753545,1286,5488,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.26753545,4.26753545
20130411,4.26753545,4.28176057,4.19925488,4.25331033,1140,4849,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.25331033,4.25331033
20130412,4.26753545,4.27891554,4.23908521,4.27607052,963,4118,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.27607052,4.27607052
20130415,4.28176057,4.28176057,4.18218474,4.21632502,1547,6523,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.21632502,4.21632502
20130416,4.26753545,4.28176057,4.25615535,4.27891554,2208,9448,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.27891554,4.27891554
20130417,4.27891554,4.28176057,4.25615535,4.27607052,1460,6243,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.27607052,4.27607052
20130418,4.27607052,4.30476898,4.23302283,4.29041975,166,712,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.29041975,4.29041975
20130419,4.30763882,4.31911821,4.28754990,4.30476898,480,2066,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.30476898,4.30476898
20130422,4.31911821,4.31911821,4.24737206,4.30189913,737,3170,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.30189913,4.30189913
20130423,4.30476898,4.32198805,4.29902929,4.30763882,886,3817,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.30763882,4.30763882
20130424,4.31050867,4.32485790,4.30763882,4.31911821,904,3904,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.31911821,4.31911821
20130425,4.31911821,4.33059759,4.31050867,4.31624836,1043,4502,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.31624836,4.31624836
20130426,4.31911821,4.32198805,4.27607052,4.32198805,783,3384,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.32198805,4.32198805
20130429,4.33346744,4.33920713,4.31050867,4.33346744,1179,5109,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.33346744,4.33346744
