Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20161209,25.79143404,26.69067561,25.19852751,26.05824198,14294,372477,N/A,N/A,3893675,147655,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",26.05824198,26.05824198
20161212,26.28552282,26.62150318,25.15900041,25.29734527,24192,611993,N/A,N/A,3797323,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.29734527,25.29734527
20161213,25.28746349,26.02859665,25.14911864,25.49498078,25872,659606,N/A,N/A,3826990,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.49498078,25.49498078
20161214,25.49498078,25.83096114,25.23805461,25.41592657,15477,393362,N/A,N/A,3815123,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.41592657,25.41592657
20161215,25.26769994,25.92977890,24.65502986,24.65502986,9134,225199,N/A,N/A,3700907,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.65502986,24.65502986
20161216,24.78349294,25.44557190,24.61550276,25.30722704,9196,232725,N/A,N/A,3798807,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.30722704,25.30722704
20161219,25.20840929,25.87048825,25.06018266,25.55427143,7965,203540,N/A,N/A,3835890,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.55427143,25.55427143
20161220,25.69261629,25.90013357,25.14911864,25.17876396,8335,209865,N/A,N/A,3779523,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.17876396,25.17876396
20161221,25.01077378,25.51474433,25.00089200,25.15900041,5318,133796,N/A,N/A,3776557,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.15900041,25.15900041
20161222,24.99101023,25.47521723,24.87242892,25.35663592,3766,95493,N/A,N/A,3806223,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.35663592,25.35663592
20161223,25.35663592,25.59379853,25.16888219,25.42580835,2184,55530,N/A,N/A,3816607,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.42580835,25.42580835
20161226,25.35663592,25.59379853,25.16888219,25.42580835,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.73000000,25.42580835
20161227,25.59379853,25.59379853,25.21829106,25.48509900,3993,101762,N/A,N/A,3825507,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.48509900,25.48509900
20161228,25.42580835,25.51474433,24.66491164,24.92183780,11765,293205,N/A,N/A,3740957,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.92183780,24.92183780
20161229,24.80325649,25.03053733,24.52656678,24.72420229,5861,144909,N/A,N/A,3711290,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.72420229,24.72420229
20161230,24.67479341,24.98112845,24.17082286,24.24987707,8247,199989,N/A,N/A,3640091,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.24987707,24.24987707
20170102,24.67479341,24.98112845,24.17082286,24.24987707,0,0,N/A,N/A,0,0,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.54000000,24.24987707
20170103,24.12141398,24.57597566,23.64708876,24.11153221,17592,424170,N/A,N/A,3619324,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.11153221,24.11153221
20170104,24.06212333,24.83290182,24.00283268,24.73408406,13605,336507,N/A,N/A,3712774,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",24.73408406,24.73408406
20170105,24.30916772,25.37639947,24.30916772,25.34675415,13607,344893,N/A,N/A,3804740,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.34675415,25.34675415
20170106,25.29734527,25.91001535,25.20840929,25.56415321,13051,333638,N/A,N/A,3837373,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.56415321,25.56415321
20170109,25.41592657,25.95942423,25.05030088,25.70249806,11878,305294,N/A,N/A,3858140,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.70249806,25.70249806
20170110,25.60368031,26.10765086,25.54537783,25.89025180,8180,211782,N/A,N/A,3886323,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.89025180,25.89025180
20170111,26.07800553,26.44363123,25.79143404,26.09776908,7124,185921,N/A,N/A,3917473,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",26.09776908,26.09776908
20170112,25.95942423,26.13729618,25.78155227,25.87048825,7022,181663,N/A,N/A,3883357,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",25.87048825,25.87048825
20170113,25.97918778,26.25587749,25.87048825,26.04836021,5341,139124,N/A,N/A,3910056,148333,"NYSE","Consumer Cyclical","Consumer Cyclical/Diversified Media","Common Stock",26.04836021,26.04836021
