Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19900329,27.07445438,27.07445438,27.07445438,27.07445438,8,217,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",27.07445438,27.07445438
19900330,28.25160457,30.01732985,28.25160457,30.01732985,154,4623,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",30.01732985,30.01732985
19900402,26.48587928,26.48587928,26.48587928,26.48587928,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",26.48587928,26.48587928
19900403,26.48587928,26.48587928,26.48587928,26.48587928,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",26.48587928,26.48587928
19900404,30.01732985,30.01732985,30.01732985,30.01732985,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",30.01732985,30.01732985
19900405,30.01732985,30.01732985,28.54589211,29.13446721,15,437,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",29.13446721,29.13446721
19900406,29.13446721,29.13446721,29.13446721,29.13446721,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",29.13446721,29.13446721
19900409,29.42875476,29.42875476,29.42875476,29.42875476,2,59,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",29.42875476,29.42875476
19900410,29.42875476,30.01732985,26.48587928,27.36874192,88,2408,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",27.36874192,27.36874192
19900411,26.48587928,26.48587928,25.30872909,25.89730418,41,1062,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.89730418,25.89730418
19900412,25.89730418,27.07445438,25.89730418,25.89730418,2,52,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.89730418,25.89730418
19900413,25.89730418,27.07445438,25.89730418,25.89730418,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",11.00000000,25.89730418
19900416,25.89730418,28.84017966,25.89730418,28.84017966,2,58,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",28.84017966,28.84017966
19900417,28.84017966,28.84017966,25.89730418,25.89730418,8,207,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.89730418,25.89730418
19900418,25.89730418,25.89730418,25.89730418,25.89730418,1,26,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.89730418,25.89730418
19900419,25.89730418,25.89730418,25.89730418,25.89730418,0,0,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.89730418,25.89730418
19900420,25.30872909,25.30872909,25.30872909,25.30872909,1,25,N/A,N/A,0,0,"NYSE","Healthcare","Healthcare/Medical Research","Common Stock",25.30872909,25.30872909
