Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20201116,9.75000000,9.75000000,9.65900000,9.71500000,10,97,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71500000,9.71500000
20201117,9.70000000,9.72000000,9.65400000,9.72000000,85,826,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72000000,9.72000000
20201118,9.62000000,9.68500000,9.62000000,9.65000000,937,9042,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20201119,9.66000000,9.87000000,9.60000000,9.65000000,2226,21481,N/A,N/A,0,0,"NYSE","","","Common Stock",9.65000000,9.65000000
20201120,9.63000000,9.69000000,9.62000000,9.68000000,372,3601,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20201123,9.75000000,9.80000000,9.63000000,9.71500000,1208,11736,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71500000,9.71500000
20201124,9.80000000,9.80000000,9.68000000,9.76000000,516,5036,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20201125,9.79000000,9.80000000,9.74300000,9.80000000,1602,15700,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20201126,9.79000000,9.80000000,9.74300000,9.80000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20201127,9.77000000,10.88000000,9.77000000,9.94000000,847,8419,N/A,N/A,0,0,"NYSE","","","Common Stock",9.94000000,9.94000000
20201130,10.06000000,10.06000000,9.76000000,9.81000000,671,6583,N/A,N/A,0,0,"NYSE","","","Common Stock",9.81000000,9.81000000
20201201,9.96000000,9.96000000,9.79000000,9.79000000,197,1929,N/A,N/A,0,0,"NYSE","","","Common Stock",9.79000000,9.79000000
20201202,9.79000000,9.81000000,9.65000000,9.77000000,140,1368,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20201203,9.76000000,9.84000000,9.73000000,9.75000000,228,2223,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20201204,9.87000000,9.87000000,9.70000000,9.86000000,1941,19138,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20201207,9.90000000,10.15000000,9.90000000,10.05000000,1413,14201,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20201208,10.38000000,10.38000000,9.90000000,9.95000000,889,8846,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95000000,9.95000000
20201209,9.99000000,10.02000000,9.80000000,9.94000000,2593,25774,N/A,N/A,0,0,"NYSE","","","Common Stock",9.94000000,9.94000000
20201210,10.29000000,10.40000000,9.79000000,10.12000000,10212,103345,N/A,N/A,0,0,"NYSE","","","Common Stock",10.12000000,10.12000000
20201211,10.20000000,10.25000000,9.96000000,10.25000000,2256,23124,N/A,N/A,0,0,"NYSE","","","Common Stock",10.25000000,10.25000000
20201214,10.35000000,10.35000000,10.00000000,10.21500000,2244,22922,N/A,N/A,0,0,"NYSE","","","Common Stock",10.21500000,10.21500000
20201215,10.30000000,10.30000000,10.05000000,10.17000000,1349,13719,N/A,N/A,0,0,"NYSE","","","Common Stock",10.17000000,10.17000000
20201216,10.27000000,10.29000000,10.07000000,10.17000000,983,9997,N/A,N/A,0,0,"NYSE","","","Common Stock",10.17000000,10.17000000
20201217,10.12000000,10.16000000,10.08000000,10.11000000,1597,16146,N/A,N/A,0,0,"NYSE","","","Common Stock",10.11000000,10.11000000
20201218,10.12000000,10.15000000,10.08000000,10.14000000,1500,15210,N/A,N/A,0,0,"NYSE","","","Common Stock",10.14000000,10.14000000
