Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210419,9.75000000,9.75000000,9.75000000,9.75000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210420,10.03300000,10.05000000,10.03000000,10.05000000,9,90,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210421,9.90000000,10.05000000,9.80000000,10.05000000,22,221,N/A,N/A,0,0,"NYSE","","","Common Stock",10.05000000,10.05000000
20210422,9.80000000,9.80000000,9.80000000,9.80000000,1001,9810,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210423,9.78000000,9.78000000,9.78000000,9.78000000,4,39,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210426,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210427,9.76000000,9.76000000,9.76000000,9.76000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210428,9.76000000,9.76000000,9.76000000,9.76000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210429,9.99000000,9.99000000,9.96000000,9.97000000,99,987,N/A,N/A,0,0,"NYSE","","","Common Stock",9.97000000,9.97000000
20210430,9.86000000,9.86000000,9.86000000,9.86000000,10,99,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86000000,9.86000000
20210503,9.86000000,9.86000000,9.76000000,9.76000000,13,127,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210504,9.75000000,9.75000000,9.75000000,9.75000000,250,2438,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210505,9.77500000,9.77500000,9.77500000,9.77500000,751,7341,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77500000,9.77500000
20210506,9.76000000,9.78000000,9.76000000,9.78000000,28,274,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210507,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210510,9.78000000,9.78000000,9.78000000,9.78000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210511,9.77000000,9.77000000,9.77000000,9.77000000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210512,9.75000000,9.82000000,9.75000000,9.82000000,16,157,N/A,N/A,0,0,"NYSE","","","Common Stock",9.82000000,9.82000000
20210513,9.95600000,9.95600000,9.95600000,9.95600000,2,20,N/A,N/A,0,0,"NYSE","","","Common Stock",9.95600000,9.95600000
20210514,9.77000000,9.77000000,9.77000000,9.77000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210517,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210518,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210519,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210520,9.77000000,9.77000000,9.77000000,9.77000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210521,9.75000000,9.75000000,9.73000000,9.73000000,22,214,N/A,N/A,0,0,"NYSE","","","Common Stock",9.73000000,9.73000000
20210524,9.66000000,9.66000000,9.66000000,9.66000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210525,9.67000000,9.67000000,9.67000000,9.67000000,702,6788,N/A,N/A,0,0,"NYSE","","","Common Stock",9.67000000,9.67000000
20210526,9.83800000,9.83800000,9.83800000,9.83800000,8,79,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210527,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210528,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210531,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210601,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210602,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210603,9.83800000,9.83800000,9.83800000,9.83800000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.83800000,9.83800000
20210604,9.84000000,9.84000000,9.84000000,9.84000000,2000,19680,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84000000,9.84000000
20210607,9.84000000,9.84000000,9.84000000,9.84000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.84000000,9.84000000
20210608,9.84000000,9.84000000,9.67000000,9.68000000,33,319,N/A,N/A,0,0,"NYSE","","","Common Stock",9.68000000,9.68000000
20210609,9.71000000,9.80000000,9.71000000,9.71000000,20,194,N/A,N/A,0,0,"NYSE","","","Common Stock",9.71000000,9.71000000
20210610,9.72600000,9.72600000,9.72600000,9.72600000,2,19,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72600000,9.72600000
20210611,9.72600000,9.72600000,9.72600000,9.72600000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.72600000,9.72600000
20210614,10.00000000,10.00000000,9.71000000,9.87000000,8,79,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210615,9.90000000,9.90000000,9.75000000,9.89000000,20,198,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210616,9.75000000,9.92000000,9.70500000,9.92000000,29,288,N/A,N/A,0,0,"NYSE","","","Common Stock",9.92000000,9.92000000
20210617,9.92000000,9.92000000,9.72500000,9.80000000,15,147,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210618,9.88000000,9.93000000,9.85000000,9.87000000,13159,129879,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210621,9.95000000,9.95000000,9.86000000,9.87000000,2682,26471,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210622,9.90000000,9.90000000,9.87000000,9.87000000,607,5991,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210623,9.90000000,9.91000000,9.87000000,9.87000000,437,4313,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210624,9.89000000,9.89000000,9.87000000,9.87000000,643,6346,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210625,9.86000000,9.88000000,9.86000000,9.87000000,305,3010,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210628,9.89000000,9.89000000,9.88000000,9.88000000,1121,11075,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210629,9.90000000,9.90000000,9.88000000,9.89000000,1168,11552,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210630,9.90000000,9.90000000,9.87000000,9.87000000,517,5103,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210701,9.90000000,9.90000000,9.87000000,9.89000000,74,732,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210702,9.90000000,9.90000000,9.87000000,9.88000000,46,454,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210705,9.90000000,9.90000000,9.87000000,9.88000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210706,9.89000000,9.89500000,9.87000000,9.89000000,1512,14954,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210707,9.90000000,9.90000000,9.88000000,9.89000000,769,7605,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210708,9.90000000,9.90000000,9.87000000,9.90000000,110,1089,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210709,9.90000000,9.90000000,9.88500000,9.90000000,1173,11613,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210712,9.90000000,9.90000000,9.90000000,9.90000000,8,79,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210713,9.89000000,9.90000000,9.88500000,9.90000000,99,980,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210714,9.90000000,9.90000000,9.88000000,9.90000000,209,2069,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210715,9.89000000,9.92000000,9.88000000,9.90000000,2511,24859,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210716,9.92000000,9.92000000,9.87000000,9.88000000,139,1373,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210719,9.84000000,9.89000000,9.84000000,9.89000000,33,326,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210720,9.92000000,9.92000000,9.86000000,9.89000000,82,811,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210721,9.92000000,9.92000000,9.87000000,9.89000000,1519,15023,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210722,9.92000000,9.92000000,9.87000000,9.89000000,1633,16150,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210723,9.90000000,9.92000000,9.87000000,9.87000000,1500,14805,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210726,9.89000000,9.89000000,9.87000000,9.87000000,3618,35710,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210727,9.84000000,9.89000000,9.84000000,9.89000000,250,2473,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210728,9.87000000,9.89000000,9.87000000,9.87000000,466,4599,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210729,9.87000000,9.90000000,9.87000000,9.89000000,601,5944,N/A,N/A,0,0,"NYSE","","","Common Stock",9.89000000,9.89000000
20210730,9.92000000,9.92000000,9.85000000,9.87000000,1604,15831,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210802,9.90000000,9.90000000,9.87000000,9.88000000,285,2816,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210803,9.90000000,9.90000000,9.86000000,9.87000000,1446,14272,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210804,9.92000000,9.92000000,9.87000000,9.88000000,98,968,N/A,N/A,0,0,"NYSE","","","Common Stock",9.88000000,9.88000000
20210805,9.90000000,9.90000000,9.86000000,9.87000000,609,6011,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210806,9.86500000,9.90000000,9.86500000,9.86500000,75,740,N/A,N/A,0,0,"NYSE","","","Common Stock",9.86500000,9.86500000
20210809,9.90000000,9.90000000,9.87000000,9.87000000,1143,11281,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210810,9.86000000,9.88300000,9.86000000,9.87000000,3885,38345,N/A,N/A,0,0,"NYSE","","","Common Stock",9.87000000,9.87000000
20210811,9.90000000,9.90000000,9.88000000,9.90000000,2734,27067,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210812,9.90000000,9.90000000,9.87000000,9.90000000,4423,43788,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
20210813,9.90000000,9.90000000,9.86000000,9.90000000,611,6049,N/A,N/A,0,0,"NYSE","","","Common Stock",9.90000000,9.90000000
