Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210125,11.10000000,11.10000000,10.20000000,10.88000000,3452,37558,N/A,N/A,0,0,"NYSE","","","Common Stock",10.88000000,10.88000000
20210126,11.30000000,11.30000000,10.59000000,10.63000000,2707,28775,N/A,N/A,0,0,"NYSE","","","Common Stock",10.63000000,10.63000000
20210127,10.68000000,10.68000000,10.15000000,10.32000000,1273,13137,N/A,N/A,0,0,"NYSE","","","Common Stock",10.32000000,10.32000000
20210128,10.49000000,11.38000000,10.41000000,10.76000000,892,9598,N/A,N/A,0,0,"NYSE","","","Common Stock",10.76000000,10.76000000
20210129,11.00000000,11.00000000,10.40000000,10.65000000,2272,24197,N/A,N/A,0,0,"NYSE","","","Common Stock",10.65000000,10.65000000
20210201,10.88000000,10.95000000,10.57000000,10.80000000,861,9299,N/A,N/A,0,0,"NYSE","","","Common Stock",10.80000000,10.80000000
20210202,10.95000000,11.02000000,10.70000000,10.95000000,2824,30923,N/A,N/A,0,0,"NYSE","","","Common Stock",10.95000000,10.95000000
20210203,10.91000000,11.00000000,10.76000000,10.95000000,1764,19316,N/A,N/A,0,0,"NYSE","","","Common Stock",10.95000000,10.95000000
20210204,10.98000000,11.03000000,10.70000000,10.99000000,1812,19914,N/A,N/A,0,0,"NYSE","","","Common Stock",10.99000000,10.99000000
20210205,11.20000000,11.95000000,11.10000000,11.66000000,2978,34723,N/A,N/A,0,0,"NYSE","","","Common Stock",11.66000000,11.66000000
20210208,11.87000000,11.98000000,11.50000000,11.93000000,2904,34645,N/A,N/A,0,0,"NYSE","","","Common Stock",11.93000000,11.93000000
20210209,11.88000000,11.90000000,11.25000000,11.58000000,1277,14788,N/A,N/A,0,0,"NYSE","","","Common Stock",11.58000000,11.58000000
20210210,11.88000000,11.88000000,11.53000000,11.65000000,2123,24733,N/A,N/A,0,0,"NYSE","","","Common Stock",11.65000000,11.65000000
