Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20210422,9.80000000,9.80000000,9.80000000,9.80000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210423,9.80000000,9.85000000,9.75000000,9.85000000,12,118,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210426,9.85000000,9.85000000,9.75000000,9.75000000,1287,12548,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210427,9.75000000,9.80000000,9.75000000,9.78000000,922,9017,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210428,9.80000000,9.80000000,9.75000000,9.78000000,1346,13164,N/A,N/A,0,0,"NYSE","","","Common Stock",9.78000000,9.78000000
20210429,9.81000000,9.85000000,9.80000000,9.81000000,459,4503,N/A,N/A,0,0,"NYSE","","","Common Stock",9.81000000,9.81000000
20210430,9.83000000,9.83000000,9.72000000,9.74000000,1492,14532,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74000000,9.74000000
20210503,9.75000000,9.80000000,9.75000000,9.80000000,58,568,N/A,N/A,0,0,"NYSE","","","Common Stock",9.80000000,9.80000000
20210504,9.85000000,9.85000000,9.75000000,9.77000000,159,1553,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210505,9.80000000,9.80000000,9.76000000,9.76000000,7,68,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210506,9.75500000,9.77000000,9.75000000,9.77000000,26,254,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210507,9.77000000,9.77000000,9.75300000,9.77000000,13,127,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210510,9.85000000,9.85000000,9.82100000,9.85000000,626,6166,N/A,N/A,0,0,"NYSE","","","Common Stock",9.85000000,9.85000000
20210511,9.86000000,9.86000000,9.76000000,9.76000000,12,117,N/A,N/A,0,0,"NYSE","","","Common Stock",9.76000000,9.76000000
20210512,9.76000000,9.76000000,9.75000000,9.75000000,57,556,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210513,9.72000000,9.77000000,9.70000000,9.75000000,246,2399,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210514,9.74000000,9.77900000,9.73000000,9.77900000,61,597,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77900000,9.77900000
20210517,9.77000000,9.77000000,9.77000000,9.77000000,1,10,N/A,N/A,0,0,"NYSE","","","Common Stock",9.77000000,9.77000000
20210518,9.75000000,9.75000000,9.66000000,9.66000000,41,396,N/A,N/A,0,0,"NYSE","","","Common Stock",9.66000000,9.66000000
20210519,9.72000000,9.77000000,9.72000000,9.75000000,63,614,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210520,9.75000000,9.75000000,9.75000000,9.75000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
20210521,9.74100000,9.74100000,9.74100000,9.74100000,5,49,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74100000,9.74100000
20210524,9.74100000,9.74100000,9.74100000,9.74100000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74100000,9.74100000
20210525,9.74100000,9.74100000,9.74100000,9.74100000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",9.74100000,9.74100000
20210526,9.75000000,9.75000000,9.75000000,9.75000000,25,244,N/A,N/A,0,0,"NYSE","","","Common Stock",9.75000000,9.75000000
