Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20200923,33.55000000,44.00000000,31.00000000,40.80000000,19782,807106,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",40.80000000,40.80000000
20200924,39.52000000,39.99000000,33.90000000,37.50000000,4451,166913,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",37.50000000,37.50000000
20200925,36.16000000,48.00000000,35.67200000,45.00000000,3047,137115,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",45.00000000,45.00000000
20200928,48.44000000,51.89000000,44.11000000,46.50000000,3127,145406,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",46.50000000,46.50000000
20200929,46.85000000,47.44000000,41.43000000,44.07000000,1554,68485,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",44.07000000,44.07000000
20200930,41.68000000,47.23000000,41.60000000,45.87000000,1365,62613,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",45.87000000,45.87000000
20201001,45.32000000,47.22000000,43.20000000,43.20000000,2207,95342,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",43.20000000,43.20000000
20201002,42.40000000,43.00000000,41.22000000,41.72000000,2031,84733,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",41.72000000,41.72000000
20201005,42.56000000,43.11000000,41.73000000,42.86000000,666,28545,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",42.86000000,42.86000000
20201006,43.21000000,43.72000000,41.90000000,42.60000000,1353,57638,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",42.60000000,42.60000000
20201007,42.95000000,43.95000000,42.80900000,43.00000000,1373,59039,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",43.00000000,43.00000000
20201008,42.71000000,43.95000000,40.02000000,43.90000000,1582,69450,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",43.90000000,43.90000000
20201009,46.12000000,46.42000000,43.10000000,44.00000000,2237,98428,N/A,N/A,0,0,"NYSE MKTS LLC","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",44.00000000,44.00000000
