Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20181011,16.25000000,16.98000000,16.00000000,16.97000000,114227,1938432,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.97000000,16.97000000
20181012,17.12000000,17.30000000,16.25000000,16.25000000,42224,686140,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.25000000,16.25000000
20181015,16.44000000,16.44000000,15.91000000,16.00000000,19725,315600,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.00000000,16.00000000
20181016,16.20000000,16.45000000,16.00000000,16.05000000,19562,313970,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.05000000,16.05000000
20181017,16.06000000,16.41000000,16.01000000,16.40000000,17596,288574,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.40000000,16.40000000
20181018,16.30000000,16.73000000,16.28000000,16.38000000,8801,144160,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.38000000,16.38000000
20181019,16.35000000,16.50000000,16.25000000,16.34000000,4499,73514,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.34000000,16.34000000
20181022,16.34000000,16.73000000,16.10000000,16.44000000,6461,106219,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",16.44000000,16.44000000
20181023,16.22000000,16.31000000,15.30000000,15.57000000,14070,219070,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.57000000,15.57000000
20181024,15.51000000,15.75000000,14.00000000,14.35000000,15831,227175,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",14.35000000,14.35000000
20181025,14.50000000,15.43000000,14.50000000,15.20000000,14404,218941,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.20000000,15.20000000
20181026,15.02000000,15.99000000,14.86000000,15.68000000,9328,146263,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.68000000,15.68000000
20181029,15.87000000,15.88000000,15.32000000,15.55000000,5361,83364,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.55000000,15.55000000
20181030,15.57000000,15.65000000,15.01000000,15.25000000,14246,217252,N/A,N/A,0,0,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.25000000,15.25000000
20181031,15.27000000,16.10000000,15.27000000,15.60000000,6548,102149,N/A,N/A,2230800,143000,"NYSE","Basic Materials","Basic Materials/Metals & Minerals","Common Stock",15.60000000,15.60000000
