Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20040726,21.75000000,21.85000000,20.85000000,21.15000000,1851,39149,N/A,N/A,0,0,"NYSE","","","Common Stock",21.15000000,21.15000000
20040727,21.21000000,21.50000000,21.15000000,21.43000000,730,15644,N/A,N/A,0,0,"NYSE","","","Common Stock",21.43000000,21.43000000
20040728,21.30000000,21.95000000,21.29000000,21.95000000,733,16089,N/A,N/A,0,0,"NYSE","","","Common Stock",21.95000000,21.95000000
20040729,21.95000000,22.80000000,21.95000000,22.43000000,2683,60180,N/A,N/A,0,0,"NYSE","","","Common Stock",22.43000000,22.43000000
20040730,22.53000000,23.35000000,22.50000000,23.15000000,1220,28243,N/A,N/A,0,0,"NYSE","","","Common Stock",23.15000000,23.15000000
20040802,23.05000000,24.53000000,22.95000000,24.18000000,970,23455,N/A,N/A,0,0,"NYSE","","","Common Stock",24.18000000,24.18000000
20040803,24.25000000,24.45000000,23.10000000,23.25000000,383,8905,N/A,N/A,0,0,"NYSE","","","Common Stock",23.25000000,23.25000000
20040804,23.35000000,23.65000000,23.25000000,23.60000000,873,20603,N/A,N/A,0,0,"NYSE","","","Common Stock",23.60000000,23.60000000
20040805,23.63000000,23.90000000,23.63000000,23.80000000,1286,30607,N/A,N/A,0,0,"NYSE","","","Common Stock",23.80000000,23.80000000
20040806,23.80000000,23.80000000,23.15000000,23.16000000,1761,40785,N/A,N/A,0,0,"NYSE","","","Common Stock",23.16000000,23.16000000
20040809,23.10000000,23.24000000,21.80000000,22.52000000,1870,42112,N/A,N/A,0,0,"NYSE","","","Common Stock",22.52000000,22.52000000
20040810,22.60000000,23.45000000,22.60000000,23.21000000,347,8054,N/A,N/A,0,0,"NYSE","","","Common Stock",23.21000000,23.21000000
20040811,23.05000000,23.74000000,22.95000000,23.35000000,411,9597,N/A,N/A,0,0,"NYSE","","","Common Stock",23.35000000,23.35000000
20040812,23.38000000,23.42000000,22.65000000,22.80000000,606,13817,N/A,N/A,0,0,"NYSE","","","Common Stock",22.80000000,22.80000000
20040813,22.90000000,23.15000000,22.60000000,22.60000000,359,8113,N/A,N/A,0,0,"NYSE","","","Common Stock",22.60000000,22.60000000
20040816,22.60000000,22.95000000,22.35000000,22.45000000,293,6578,N/A,N/A,0,0,"NYSE","","","Common Stock",22.45000000,22.45000000
20040817,22.35000000,23.15000000,22.30000000,23.05000000,302,6961,N/A,N/A,0,0,"NYSE","","","Common Stock",23.05000000,23.05000000
20040818,23.20000000,23.65000000,23.20000000,23.60000000,236,5570,N/A,N/A,0,0,"NYSE","","","Common Stock",23.60000000,23.60000000
20040819,23.30000000,23.60000000,23.07000000,23.10000000,835,19289,N/A,N/A,0,0,"NYSE","","","Common Stock",23.10000000,23.10000000
20040820,23.20000000,23.40000000,23.20000000,23.39000000,471,11017,N/A,N/A,0,0,"NYSE","","","Common Stock",23.39000000,23.39000000
20040823,23.45000000,23.65000000,23.40000000,23.65000000,116,2743,N/A,N/A,0,0,"NYSE","","","Common Stock",23.65000000,23.65000000
20040824,23.80000000,24.20000000,23.80000000,24.05000000,872,20972,N/A,N/A,0,0,"NYSE","","","Common Stock",24.05000000,24.05000000
20040825,24.05000000,24.55000000,24.05000000,24.51000000,507,12427,N/A,N/A,0,0,"NYSE","","","Common Stock",24.51000000,24.51000000
20040826,24.80000000,25.55000000,24.70000000,25.50000000,1510,38505,N/A,N/A,0,0,"NYSE","","","Common Stock",25.50000000,25.50000000
20040827,25.55000000,25.60000000,25.20000000,25.25000000,754,19039,N/A,N/A,0,0,"NYSE","","","Common Stock",25.25000000,25.25000000
20040830,25.25000000,25.36000000,25.10000000,25.36000000,1435,36392,N/A,N/A,0,0,"NYSE","","","Common Stock",25.36000000,25.36000000
20040831,25.40000000,25.40000000,24.70000000,24.85000000,240,5964,N/A,N/A,0,0,"NYSE","","","Common Stock",24.85000000,24.85000000
20040901,25.25000000,25.25000000,24.85000000,25.01000000,754,18858,N/A,N/A,0,0,"NYSE","","","Common Stock",25.01000000,25.01000000
20040902,25.02000000,25.12000000,24.88000000,25.00000000,547,13675,N/A,N/A,0,0,"NYSE","","","Common Stock",25.00000000,25.00000000
20040903,24.90000000,25.00000000,24.90000000,25.00000000,134,3350,N/A,N/A,0,0,"NYSE","","","Common Stock",25.00000000,25.00000000
20040906,24.90000000,25.00000000,24.90000000,25.00000000,0,0,N/A,N/A,0,0,"NYSE","","","Common Stock",25.00000000,25.00000000
20040907,25.10000000,26.30000000,24.95000000,26.27000000,840,22067,N/A,N/A,0,0,"NYSE","","","Common Stock",26.27000000,26.27000000
20040908,26.20000000,26.57000000,26.00000000,26.35000000,1662,43794,N/A,N/A,0,0,"NYSE","","","Common Stock",26.35000000,26.35000000
20040909,26.40000000,26.40000000,24.80000000,25.31000000,1602,40547,N/A,N/A,0,0,"NYSE","","","Common Stock",25.31000000,25.31000000
20040910,25.40000000,26.12000000,25.40000000,25.96000000,1161,30140,N/A,N/A,0,0,"NYSE","","","Common Stock",25.96000000,25.96000000
20040913,26.21000000,26.95000000,26.21000000,26.31000000,1488,39149,N/A,N/A,0,0,"NYSE","","","Common Stock",26.31000000,26.31000000
20040914,26.40000000,26.60000000,26.35000000,26.38000000,1682,44371,N/A,N/A,0,0,"NYSE","","","Common Stock",26.38000000,26.38000000
20040915,26.55000000,26.68000000,26.15000000,26.60000000,997,26520,N/A,N/A,0,0,"NYSE","","","Common Stock",26.60000000,26.60000000
20040916,26.85000000,26.90000000,26.47000000,26.49000000,530,14040,N/A,N/A,0,0,"NYSE","","","Common Stock",26.49000000,26.49000000
20040917,26.44000000,26.50000000,26.40000000,26.40000000,148,3907,N/A,N/A,0,0,"NYSE","","","Common Stock",26.40000000,26.40000000
20040920,26.38000000,26.38000000,25.67000000,25.67000000,659,16917,N/A,N/A,0,0,"NYSE","","","Common Stock",25.67000000,25.67000000
20040921,25.67000000,26.16000000,25.67000000,26.11000000,821,21436,N/A,N/A,0,0,"NYSE","","","Common Stock",26.11000000,26.11000000
20040922,26.06000000,26.24000000,25.96000000,26.20000000,799,20934,N/A,N/A,0,0,"NYSE","","","Common Stock",26.20000000,26.20000000
20040923,26.15000000,26.60000000,26.09000000,26.60000000,438,11651,N/A,N/A,0,0,"NYSE","","","Common Stock",26.60000000,26.60000000
20040924,26.55000000,26.63000000,26.26000000,26.62000000,464,12352,N/A,N/A,0,0,"NYSE","","","Common Stock",26.62000000,26.62000000
20040927,26.54000000,26.58000000,25.70000000,25.73000000,1016,26142,N/A,N/A,0,0,"NYSE","","","Common Stock",25.73000000,25.73000000
20040928,25.65000000,25.65000000,24.55000000,25.00000000,998,24950,N/A,N/A,0,0,"NYSE","","","Common Stock",25.00000000,25.00000000
20040929,25.15000000,25.55000000,24.95000000,25.55000000,2159,55162,N/A,N/A,0,0,"NYSE","","","Common Stock",25.55000000,25.55000000
20040930,25.53000000,25.88000000,25.30000000,25.66000000,5137,131815,N/A,N/A,0,0,"NYSE","","","Common Stock",25.66000000,25.66000000
