Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20161110,30.08080920,30.37185323,27.99655837,28.47537275,350191,9971819,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",28.47537275,28.47537275
20161111,27.97778134,28.25004834,27.08587220,28.06227799,60201,1689377,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",28.06227799,28.06227799
20161114,27.54590955,28.56925792,26.99198703,28.34393351,44819,1270347,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",28.34393351,28.34393351
20161115,27.82756506,28.82274789,27.80878803,28.56925792,36672,1047692,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",28.56925792,28.56925792
20161116,28.88846751,30.08080920,28.73825123,29.76159961,43423,1292338,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",29.76159961,29.76159961
20161117,29.47994410,31.04313221,28.76172253,30.52206951,52520,1603019,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.52206951,30.52206951
20161118,30.17469437,31.07599202,29.84609627,30.68167430,42534,1305014,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.68167430,30.68167430
20161121,30.28735658,30.51268099,29.37667041,29.79915368,50367,1500894,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",29.79915368,29.79915368
20161122,29.59260630,31.12293461,28.56925792,30.70045134,56017,1719747,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.70045134,30.70045134
20161123,30.70045134,31.42336716,30.51268099,31.00088389,36195,1122077,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.00088389,31.00088389
20161124,30.70045134,31.42336716,30.51268099,31.00088389,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",33.02000000,31.00088389
20161125,30.75678244,30.77555947,30.29674509,30.59717765,8278,253283,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.59717765,30.59717765
20161128,30.29674509,31.45153271,30.20285992,30.73800540,19285,592782,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.73800540,30.73800540
20161129,31.02904944,31.32009347,30.71922837,31.16048868,21395,666679,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.16048868,31.16048868
20161130,31.22620830,32.20261409,30.98210685,31.43275568,27649,869084,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.43275568,31.43275568
20161201,31.01966092,31.22620830,30.21694270,30.52206951,29149,889688,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.52206951,30.52206951
20161202,30.19347140,31.17926571,30.05264365,30.97271833,12131,375730,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",30.97271833,30.97271833
20161205,30.86005613,31.69563416,30.74739392,31.59236047,20047,633332,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.59236047,31.59236047
20161206,31.40459013,31.78951933,31.17926571,31.75196526,16229,515303,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",31.75196526,31.75196526
20161207,31.98667820,32.84103326,31.92095857,32.62509737,38094,1242820,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",32.62509737,32.62509737
20161208,32.77531364,33.79866202,32.49365813,33.73294240,26030,878068,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",33.73294240,33.73294240
20161209,33.62966871,34.27747640,33.42312133,34.15542568,19931,680752,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.15542568,34.15542568
20161212,34.15542568,34.93936686,34.08970605,34.48402378,12583,433912,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.48402378,34.48402378
20161213,34.70934819,34.82201040,33.48884095,34.34319602,18140,622986,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.34319602,34.34319602
20161214,34.38075009,34.73751374,32.83164475,33.00063806,38863,1282504,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",33.00063806,33.00063806
20161215,32.91614140,33.10766715,32.06178633,32.27772223,15551,501951,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",32.27772223,32.27772223
20161216,32.24016816,33.30107061,32.18383706,33.10391175,37840,1252652,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",33.10391175,33.10391175
20161219,33.15085433,33.64844574,32.17444854,32.37160740,19832,641994,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",32.37160740,32.37160740
20161220,32.12750595,32.96308399,32.10872892,32.81286771,9449,310049,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",32.81286771,32.81286771
20161221,32.52182368,33.06635768,32.35283037,32.87858733,7036,231334,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",32.87858733,32.87858733
20161222,32.85981030,34.38075009,32.67203995,34.10848309,14385,490651,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.10848309,34.10848309
20161223,34.18359123,34.80323336,33.77049647,34.59668598,8883,307322,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.59668598,34.59668598
20161226,34.18359123,34.80323336,33.77049647,34.59668598,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",36.85000000,34.59668598
20161227,34.40891564,35.19755109,34.37136157,35.05672333,8222,288236,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.05672333,35.05672333
20161228,34.97222667,35.35715588,34.74690226,34.95344964,5338,186582,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.95344964,34.95344964
20161229,35.08488888,35.63881140,34.87176954,35.46042957,6585,233507,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.46042957,35.46042957
20161230,35.43226402,36.16456836,35.37123866,35.53553771,7730,274690,N/A,N/A,5528331,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.53553771,35.53553771
20170102,35.43226402,36.16456836,35.37123866,35.53553771,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",37.85000000,35.53553771
20170103,35.40409847,36.23967650,35.07550036,35.19755109,20070,706415,N/A,N/A,5475749,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.19755109,35.19755109
20170104,35.36654440,36.06129467,34.19767400,34.71873671,17123,594489,N/A,N/A,5401259,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.71873671,34.71873671
20170105,34.71873671,35.40409847,34.24931085,34.38075009,10996,378051,N/A,N/A,5348678,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.38075009,34.38075009
20170106,34.19297974,34.69995967,33.85499312,34.57790895,13680,473026,N/A,N/A,5379351,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.57790895,34.57790895
20170109,34.55913192,34.82201040,33.89254719,34.63424005,13338,461951,N/A,N/A,5388114,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.63424005,34.63424005
20170110,36.41805833,36.57766312,33.97704385,34.58729747,37126,1284088,N/A,N/A,5380811,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.58729747,34.58729747
20170111,34.45585823,34.92528409,33.81743905,34.63424005,21859,757070,N/A,N/A,5388114,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.63424005,34.63424005
20170112,34.44646971,34.74690226,33.91132423,34.69995967,12352,428614,N/A,N/A,5398338,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.69995967,34.69995967
20170113,34.63424005,35.01916926,34.31503047,34.94406112,10102,353005,N/A,N/A,5436314,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.94406112,34.94406112
20170116,34.63424005,35.01916926,34.31503047,34.94406112,0,0,N/A,N/A,0,0,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",37.22000000,34.94406112
20170117,34.86895298,34.94406112,34.50280081,34.63424005,19072,660544,N/A,N/A,5388114,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.63424005,34.63424005
20170118,34.50280081,34.62485154,34.18359123,34.39952712,12142,417679,N/A,N/A,5351599,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.39952712,34.39952712
20170119,34.54035488,34.73751374,34.10848309,34.69995967,8904,308968,N/A,N/A,5398338,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.69995967,34.69995967
20170120,34.69057116,35.26327071,34.52157785,34.84078743,13370,465821,N/A,N/A,5420247,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.84078743,34.84078743
20170123,34.71873671,35.13183147,34.23616692,34.52157785,20353,702618,N/A,N/A,5370587,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.52157785,34.52157785
20170124,34.41830416,35.36654440,34.35258454,35.19755109,11996,422230,N/A,N/A,5475749,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.19755109,35.19755109
20170125,35.15999702,35.48859512,34.21175678,34.42769267,11833,407383,N/A,N/A,5355981,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.42769267,34.42769267
20170126,34.33993193,34.79289063,34.20781897,34.28331209,10153,348078,N/A,N/A,5306321,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.28331209,34.28331209
20170127,34.34936857,34.48148152,33.79260682,34.38711512,10884,374269,N/A,N/A,5322388,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.38711512,34.38711512
20170130,34.16063577,34.84951047,34.16063577,34.70796087,9123,316641,N/A,N/A,5372048,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",34.70796087,34.70796087
20170131,34.61359448,35.43458213,34.61359448,35.25528598,16252,572969,N/A,N/A,5456762,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.25528598,35.25528598
20170201,35.46289205,35.83092100,35.06655318,35.64218821,22122,788476,N/A,N/A,5516646,146059,"NYSE","Consumer Non-Cyclical","Consumer Non-Cyclical/Food Products","Common Stock",35.64218821,35.64218821
