Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19940128,4.16519065,4.46270427,4.11560505,4.28915466,7192,30848,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.28915466,4.28915466
19940131,4.26436186,4.28915466,4.18998345,4.23956905,869,3684,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.23956905,4.23956905
19940201,4.21477625,4.23956905,4.18998345,4.21477625,569,2398,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.21477625,4.21477625
19940202,4.21477625,4.26436186,4.21477625,4.21477625,436,1838,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.21477625,4.21477625
19940203,4.21477625,4.26436186,4.21477625,4.26436186,429,1829,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.26436186,4.26436186
19940204,4.21477625,4.26436186,4.18998345,4.18998345,565,2367,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.18998345,4.18998345
19940207,4.18998345,4.26436186,4.18998345,4.23956905,409,1734,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.23956905,4.23956905
19940208,4.26436186,4.41311867,4.26436186,4.36353306,2054,8963,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.36353306,4.36353306
19940209,4.38832586,4.51228987,4.38832586,4.41311867,769,3394,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.41311867,4.41311867
19940210,4.41311867,4.56187547,4.41311867,4.56187547,425,1939,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.56187547,4.56187547
19940211,4.53708267,4.73542508,4.53708267,4.66104668,494,2303,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.66104668,4.66104668
19940214,4.61146108,4.85938909,4.61146108,4.73542508,974,4612,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.73542508,4.73542508
19940215,4.71063228,4.76021789,4.58666828,4.58666828,621,2848,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.58666828,4.58666828
19940216,4.58666828,4.68583948,4.58666828,4.63625388,267,1238,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.63625388,4.63625388
19940217,4.68583948,4.78501069,4.68583948,4.78501069,89,426,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.78501069,4.78501069
19940218,4.78501069,4.83459629,4.76021789,4.80980349,279,1342,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.80980349,4.80980349
19940221,4.78501069,4.83459629,4.76021789,4.80980349,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",24.25000000,4.80980349
19940222,4.76021789,4.78501069,4.71063228,4.71063228,250,1178,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.71063228,4.71063228
19940223,4.76021789,4.76021789,4.61146108,4.63625388,481,2230,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.63625388,4.63625388
19940224,4.61146108,4.73542508,4.56187547,4.61146108,485,2237,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.61146108,4.61146108
19940225,4.56187547,4.56187547,4.51228987,4.53708267,360,1633,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.53708267,4.53708267
19940228,4.58666828,4.58666828,4.46270427,4.48749707,145,651,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.48749707,4.48749707
19940301,4.48749707,4.61146108,4.46270427,4.56187547,749,3417,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.56187547,4.56187547
19940302,4.61146108,4.71063228,4.56187547,4.66104668,217,1011,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.66104668,4.66104668
19940303,4.66104668,4.66104668,4.56187547,4.56187547,86,392,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.56187547,4.56187547
19940304,4.61146108,4.61146108,4.51228987,4.56187547,50,228,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.56187547,4.56187547
19940307,4.51228987,4.58666828,4.51228987,4.53708267,132,599,N/A,N/A,0,0,"NYSE","Financials","Financials/Residential REIT","Common Stock",4.53708267,4.53708267
