Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19881005,10.48664410,10.57331058,10.39997762,10.48664410,115,1206,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.48664410,10.48664410
19881006,10.57331058,10.65997706,10.57331058,10.57331058,127,1343,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.57331058,10.57331058
19881007,10.57331058,10.91997650,10.57331058,10.91997650,120,1310,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.91997650,10.91997650
19881010,10.74664354,10.91997650,10.74664354,10.91997650,346,3778,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.91997650,10.91997650
19881011,10.83331002,10.83331002,10.48664410,10.57331058,1470,15543,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.57331058,10.57331058
19881012,10.48664410,10.48664410,10.31331114,10.31331114,3682,37974,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.31331114,10.31331114
19881013,10.57331058,10.83331002,10.57331058,10.74664354,2461,26447,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",10.74664354,10.74664354
19881014,10.83331002,11.17997594,10.83331002,11.00664298,654,7198,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.00664298,11.00664298
19881017,11.26664242,11.52664186,11.26664242,11.43997538,596,6818,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.43997538,11.43997538
19881018,11.52664186,11.52664186,11.35330890,11.43997538,139,1590,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.43997538,11.43997538
19881019,11.52664186,11.69997482,11.09330946,11.35330890,2536,28792,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.35330890,11.35330890
19881020,11.69997482,12.04664074,11.69997482,12.04664074,1582,19058,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.04664074,12.04664074
19881021,11.87330778,12.39330666,11.61330834,12.13330722,2414,29290,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.13330722,12.13330722
19881024,12.39330666,12.39330666,12.13330722,12.13330722,756,9173,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.13330722,12.13330722
19881025,11.95997426,12.13330722,11.95997426,12.04664074,706,8505,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.04664074,12.04664074
19881026,12.04664074,12.13330722,12.04664074,12.13330722,163,1978,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.13330722,12.13330722
19881027,12.04664074,12.04664074,11.87330778,11.95997426,1256,15022,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",11.95997426,11.95997426
19881028,11.95997426,12.21997370,11.95997426,12.13330722,237,2876,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Commercial Services","Common Stock",12.13330722,12.13330722
