Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
19800801,1.54709417,1.56515364,1.54107435,1.55913382,6291,9809,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.55913382,1.55913382
19800804,1.55913382,1.58321310,1.54709417,1.56515364,2413,3777,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.56515364,1.56515364
19800805,1.56515364,1.58321310,1.52301489,1.52301489,3796,5781,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.52301489,1.52301489
19800806,1.51699506,1.51699506,1.49291578,1.51097524,346,523,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.51097524,1.51097524
19800807,1.51097524,1.52301489,1.48087613,1.48087613,3323,4921,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.48087613,1.48087613
19800808,1.48689596,1.49893560,1.48689596,1.49291578,646,964,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.49291578,1.49291578
19800811,1.49291578,1.49893560,1.46883649,1.49893560,3232,4845,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.49893560,1.49893560
19800812,1.49893560,1.49893560,1.49291578,1.49291578,3942,5885,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.49291578,1.49291578
19800813,1.48689596,1.48689596,1.45077703,1.46281667,901,1318,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.46281667,1.46281667
19800814,1.45679685,1.45679685,1.44475720,1.45077703,446,647,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.45077703,1.45077703
19800815,1.45077703,1.45679685,1.44475720,1.44475720,1320,1907,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.44475720,1.44475720
19800818,1.43873738,1.43873738,1.39659863,1.43873738,3906,5620,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.43873738,1.43873738
19800819,1.42669774,1.42669774,1.39659863,1.39659863,1839,2568,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Construction Materials","Common Stock",1.39659863,1.39659863
