Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20110121,96.39568718,96.79075147,94.81543001,94.81543001,488,46270,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110124,94.10431429,95.36852002,91.10182567,94.34135286,141,13302,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.34135286,94.34135286
20110125,94.65740429,94.65740429,94.02530143,94.42036572,53,5004,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.42036572,94.42036572
20110126,94.26234000,98.76607293,94.02530143,94.18332714,204,19213,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.18332714,94.18332714
20110127,95.21049430,95.21049430,93.78826285,94.34135286,159,15000,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.34135286,94.34135286
20110128,94.18332714,94.81543001,94.02530143,94.02530143,60,5642,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.02530143,94.02530143
20110131,94.02530143,94.81543001,92.84010855,94.81543001,50,4741,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110201,94.42036572,95.76358431,94.42036572,94.81543001,139,13179,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110202,95.36852002,95.36852002,94.02530143,94.73641715,49,4642,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.73641715,94.73641715
20110203,94.10431429,94.97345573,94.02530143,94.49937858,63,5953,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.49937858,94.49937858
20110204,94.10431429,94.81543001,94.02530143,94.57839144,47,4445,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.57839144,94.57839144
20110207,94.26234000,94.97345573,94.10431429,94.81543001,103,9766,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110208,94.02530143,94.81543001,94.02530143,94.49937858,35,3307,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.49937858,94.49937858
20110209,94.42036572,95.60555859,94.42036572,95.36852002,74,7057,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.36852002,95.36852002
20110210,95.21049430,95.60555859,94.02530143,94.89444287,215,20402,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.89444287,94.89444287
20110211,94.81543001,95.44753288,94.81543001,95.21049430,123,11711,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.21049430,95.21049430
20110214,95.21049430,95.60555859,94.81543001,94.81543001,62,5879,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110215,94.89444287,94.97345573,94.81543001,94.81543001,99,9387,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110216,94.81543001,94.89444287,94.42036572,94.81543001,75,7111,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110217,94.42036572,94.81543001,94.02530143,94.02530143,62,5830,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.02530143,94.02530143
20110218,94.81543001,94.81543001,93.31418570,93.47221142,68,6356,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.47221142,93.47221142
20110221,94.81543001,94.81543001,93.31418570,93.47221142,0,0,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",11.83000000,93.47221142
20110222,93.86727571,93.86727571,91.73392854,92.68208284,91,8434,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",92.68208284,92.68208284
20110223,92.76109569,92.84010855,91.65491568,91.81294139,47,4315,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",91.81294139,91.81294139
20110224,90.86478709,93.86727571,90.86478709,93.55122428,82,7671,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.55122428,93.55122428
20110225,93.63023714,94.10431429,92.76109569,94.02530143,29,2727,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.02530143,94.02530143
20110228,93.47221142,94.49937858,90.86478709,94.42036572,147,13880,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.42036572,94.42036572
20110301,94.65740429,94.81543001,92.84010855,93.15615999,35,3260,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.15615999,93.15615999
20110302,94.34135286,95.68457145,94.26234000,95.36852002,130,12398,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.36852002,95.36852002
20110303,95.84259717,96.15864860,95.52654574,95.76358431,111,10630,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.76358431,95.76358431
20110304,95.84259717,96.79075147,94.81543001,96.00062289,38,3648,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",96.00062289,96.00062289
20110307,96.00062289,96.00062289,95.05246859,95.52654574,44,4203,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.52654574,95.52654574
20110308,95.28950716,96.39568718,94.97345573,96.31667432,91,8765,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",96.31667432,96.31667432
20110309,95.76358431,96.07963574,94.81543001,95.28950716,55,5241,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.28950716,95.28950716
20110310,94.49937858,95.36852002,94.49937858,95.21049430,22,2095,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.21049430,95.21049430
20110311,95.21049430,96.15864860,94.81543001,95.60555859,22,2103,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.60555859,95.60555859
20110314,95.21049430,95.28950716,94.02530143,94.49937858,35,3307,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.49937858,94.49937858
20110315,92.84010855,94.34135286,92.84010855,93.86727571,52,4881,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.86727571,93.86727571
20110316,93.86727571,96.15864860,93.23517284,95.05246859,64,6083,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.05246859,95.05246859
20110317,94.81543001,95.44753288,94.26234000,94.81543001,25,2370,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110318,94.81543001,95.05246859,93.15615999,93.23517284,34,3170,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.23517284,93.23517284
20110321,93.23517284,94.89444287,93.23517284,94.26234000,32,3016,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.26234000,94.26234000
20110322,93.55122428,94.49937858,93.47221142,93.55122428,39,3648,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",93.55122428,93.55122428
20110323,93.07714713,95.21049430,92.84010855,95.05246859,52,4943,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.05246859,95.05246859
20110324,95.44753288,95.44753288,94.02530143,94.10431429,31,2917,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.10431429,94.10431429
20110325,94.49937858,95.92161003,94.10431429,94.81543001,21,1991,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110328,94.73641715,95.60555859,94.02530143,95.05246859,39,3707,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.05246859,95.05246859
20110329,94.97345573,95.76358431,93.31418570,94.57839144,34,3216,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.57839144,94.57839144
20110330,94.97345573,95.28950716,93.78826285,94.18332714,33,3108,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.18332714,94.18332714
20110331,93.78826285,96.23766146,93.63023714,96.23766146,543,52257,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",96.23766146,96.23766146
20110401,96.23766146,96.47470004,94.26234000,94.81543001,56,5310,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110404,94.49937858,95.68457145,94.34135286,94.81543001,31,2939,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.81543001,94.81543001
20110405,94.34135286,95.21049430,93.63023714,95.13148144,44,4186,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.13148144,95.13148144
20110406,95.44753288,96.39568718,94.81543001,96.31667432,30,2890,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",96.31667432,96.31667432
20110407,95.60555859,95.60555859,94.73641715,95.21049430,15,1428,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",95.21049430,95.21049430
20110408,95.28950716,96.00062289,93.15615999,94.10431429,18,1694,N/A,N/A,0,0,"NYSE","Financials","Financials/Asset Managers","Common Stock",94.10431429,94.10431429
