Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20200723,16.50000000,22.91000000,16.41000000,22.00000000,50420,1109240,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.00000000,22.00000000
20200724,20.06000000,24.69000000,19.71000000,22.39000000,10238,229229,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.39000000,22.39000000
20200727,22.39000000,22.70000000,21.75000000,21.75000000,3402,73994,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",21.75000000,21.75000000
20200728,21.15000000,22.23000000,20.00000000,21.48000000,2681,57588,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",21.48000000,21.48000000
20200729,21.28000000,23.26000000,20.93000000,22.28000000,3210,71519,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.28000000,22.28000000
20200730,21.74000000,22.75000000,21.04000000,22.22000000,2801,62238,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.22000000,22.22000000
20200731,22.53000000,22.62000000,21.18000000,21.75000000,1508,32799,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",21.75000000,21.75000000
20200803,21.78000000,24.87000000,21.75000000,23.99000000,2707,64941,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",23.99000000,23.99000000
20200804,24.21000000,24.50000000,23.39000000,24.37000000,3230,78715,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",24.37000000,24.37000000
20200805,24.50000000,25.92000000,23.86000000,24.06000000,2413,58057,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",24.06000000,24.06000000
20200806,24.02000000,25.00000000,23.22000000,25.00000000,1418,35450,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",25.00000000,25.00000000
20200807,24.63000000,24.85000000,23.11000000,23.25000000,1667,38758,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",23.25000000,23.25000000
20200810,23.26000000,23.30000000,21.96000000,22.80000000,1884,42955,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.80000000,22.80000000
20200811,22.58000000,22.98000000,21.96000000,22.46000000,648,14554,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",22.46000000,22.46000000
20200812,22.42000000,24.67000000,22.11000000,23.70000000,1201,28464,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",23.70000000,23.70000000
20200813,23.86000000,25.00000000,22.82500000,24.74000000,2124,52548,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",24.74000000,24.74000000
20200814,24.40000000,26.00000000,23.78000000,25.72000000,1954,50257,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",25.72000000,25.72000000
20200817,25.61000000,25.61000000,23.81000000,23.81000000,1763,41977,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",23.81000000,23.81000000
20200818,23.88000000,26.48600000,23.26000000,26.04000000,2945,76688,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",26.04000000,26.04000000
20200819,26.25000000,26.70000000,25.39000000,25.62000000,1768,45296,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",25.62000000,25.62000000
20200820,24.96000000,26.93200000,24.86000000,25.17000000,1736,43695,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",25.17000000,25.17000000
20200821,25.33000000,26.48000000,25.18000000,26.14000000,1224,31995,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Waste Services","Common Stock",26.14000000,26.14000000
