Date,Open,High,Low,Close,TotalVolume,$ Volume,Split,Dividend,MarketCap,SharesOut,Exchange,Sector,Industry,Category,VolRatio,OIRatio
20041216,7.85085075,8.26917001,7.65936659,8.18963043,79632,652157,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.18963043,8.18963043
20041217,8.08652357,8.09536130,7.76836527,7.94806579,13994,111225,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",7.94806579,7.94806579
20041220,8.01287582,8.01287582,7.89503941,7.92155260,3039,24074,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",7.92155260,7.92155260
20041221,7.91860669,8.08357766,7.91271487,8.03644310,3798,30522,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.03644310,8.03644310
20041222,7.98930853,8.10125312,7.96279534,8.01287582,5406,43318,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.01287582,8.01287582
20041223,7.98341671,8.24854863,7.97163307,8.24265681,5446,44890,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.24265681,8.24265681
20041224,7.98341671,8.24854863,7.97163307,8.24265681,0,0,N/A,N/A,0,0,"NYSE","Industrials","Industrials/Airport Services","Common Stock",27.98000000,8.24265681
20041227,8.24854863,8.36638504,8.24854863,8.32219639,2724,22670,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.32219639,8.32219639
20041228,8.32219639,8.66097607,8.29273729,8.54313966,2745,23451,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.54313966,8.54313966
20041229,8.54313966,8.71989427,8.54313966,8.57554467,4356,37355,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.57554467,8.57554467
20041230,8.55197739,8.68454335,8.54313966,8.57259876,1333,11427,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.57259876,8.57259876
20041231,8.60205786,8.67570562,8.59322013,8.64624651,2006,17344,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.64624651,8.64624651
20050103,8.60205786,8.63151696,8.49895100,8.52546420,6337,54026,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.52546420,8.52546420
20050104,8.57259876,8.57259876,8.41057370,8.48422145,2438,20685,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.48422145,8.48422145
20050105,8.51368055,8.58438240,8.49895100,8.54313966,2242,19154,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.54313966,8.54313966
20050106,8.54313966,8.55197739,8.53135602,8.54313966,1648,14079,N/A,N/A,0,8,"NYSE","Industrials","Industrials/Airport Services","Common Stock",8.54313966,8.54313966
